name value uncertainty
Mode 0 0
logP -0.12 0
V_A 0.753 0
V_Sk -0.253 0
V_Ac 1.096 0
V_mean_mag 16.662 0.003
V_R21 0.333 0.014
V_R31 0.082 0.02
V_P21 3.131 0.066
V_P31 5.138 0.388
I_A 0.409 0
I_Sk 2.623 0
I_Ac 0.848 0
I_mean_mag 15.556 0
I_R21 0.338 0.002
I_R31 0.132 0.002
I_P21 3.399 0.008
I_P31 0.067 0.019
