name value uncertainty
Mode 0 0
logP -0.191 0
V_A 0.604 0
V_Sk -0.167 0
V_Ac 1.439 0
V_mean_mag 18.926 0.01
V_R21 0.353 0.061
V_R31 0.239 0.064
V_P21 2.757 0.245
V_P31 6.014 0.416
I_A 0.486 0
I_Sk -0.165 0
I_Ac 1.012 0
I_mean_mag 18.111 0.002
I_R21 0.476 0.017
I_R31 0.287 0.016
I_P21 3.05 0.044
I_P31 6.243 0.069
