name value uncertainty
Mode 1 0
logP -0.593 0
V_A 1.03 0
V_Sk 0.575 0
V_Ac Inf 0
V_mean_mag 19.63 0.106
V_R21 0.681 2.807
V_R31 1.084 4.38
V_P21 5.272 5.573
V_P31 1.999 6.207
