n l nu dnu
 11 0 416.03700 0.03400
 12 0 448.49900 0.03200
 13 0 481.21800 0.02700
 14 0 514.34100 0.02100
 15 0 547.54000 0.02200
 16 0 580.63300 0.02500
 17 0 614.06900 0.07100
 18 0 647.58900 0.07200
 19 0 681.04300 0.09900
 20 0 715.40500 0.13900
 -6 1 434.58600 0.02100
 -5 1 450.96700 0.00300
 -4 1 464.74100 0.06100
 -2 1 496.25000 0.03400
 -1 1 506.63600 0.00900
  0 1 528.86500 0.01800
  1 1 539.02400 0.00800
  2 1 562.65800 0.03000
  3 1 574.85900 0.00500
  4 1 596.98600 0.02500
  5 1 614.59300 0.02300
  6 1 632.24300 0.03500
  7 1 657.09600 0.06900
  8 1 669.82900 0.04200
  9 1 697.78500 0.03300
-13 2 511.47800 0.03200
-10 2 544.49000 0.02600
 -7 2 578.00900 0.03200
 -5 2 611.14400 0.05200
 -3 2 644.17400 0.16400
 
