n l nu dnu
  9 0 312.28500 0.10000
 10 0 341.34900 0.02400
 11 0 370.54900 0.01800
 12 0 400.13700 0.01700
 13 0 429.81800 0.01800
 14 0 459.49300 0.01500
 15 0 489.42400 0.04200
 16 0 519.53600 0.04700
 18 0 581.21900 0.23300
-15 1 328.71500 0.02500
-12 1 356.82100 0.01300
-10 1 379.80600 0.01100
 -9 1 387.20900 0.01300
 -8 1 398.98200 0.02100
 -7 1 412.87200 0.00800
 -6 1 421.16000 0.00700
 -5 1 437.63000 0.00900
 -4 1 446.59900 0.01600
 -3 1 462.51600 0.00900
 -2 1 474.77500 0.01700
 -1 1 489.56100 0.01000
  0 1 504.20100 0.03000
  2 1 534.50000 0.04600
-28 2 366.91700 0.05100
-24 2 396.73100 0.02200
