n l nu dnu
 10 0 397.83800 0.12500
 11 0 431.74200 0.03300
 12 0 465.56200 0.02800
 13 0 499.89600 0.02400
 14 0 534.47200 0.02100
 15 0 568.98600 0.01600
 16 0 603.62100 0.02700
 17 0 638.31300 0.05400
 18 0 673.55800 0.05800
 19 0 708.98300 0.13600
 20 0 744.28000 0.15900
 -6 1 414.33500 0.06500
 -4 1 444.24600 0.02500
 -3 1 454.37700 0.03200
 -2 1 474.52600 0.01000
 -1 1 486.23600 0.01900
  0 1 507.30000 0.01000
  1 1 520.22800 0.01600
  2 1 543.42200 0.00800
  3 1 555.96300 0.01300
  4 1 581.60100 0.01200
  5 1 594.83600 0.01500
  6 1 619.97400 0.02800
  8 1 658.59500 0.04100
  9 1 686.79600 0.08800
 10 1 702.83200 0.18000
-14 2 462.12400 0.04300
-11 2 496.61900 0.06700
 -6 2 565.72700 0.02300
 -1 2 635.86500 0.03800
 
