n l nu dnu
 11 0 491.07000 0.02400
 12 0 531.00200 0.05000
 13 0 570.07400 0.05000
 14 0 609.62000 0.03700
 15 0 649.21900 0.03400
 16 0 688.62400 0.03900
 18 0 768.56800 0.08400
 19 0 808.59500 0.19200
  2 1 511.51900 0.02600
  3 1 533.04500 0.01400
  4 1 552.94800 0.04000
  5 1 580.55900 0.02400
  6 1 598.16400 0.02500
  7 1 627.32800 0.03200
  8 1 653.08900 0.01400
  9 1 674.47200 0.03600
 10 1 705.72900 0.03500
 11 1 731.74200 0.04200
 12 1 756.27200 0.03800
 13 1 789.66200 0.08000
 14 1 820.80400 0.13900
 -5 2 526.58100 0.01800
 -2 2 566.49400 0.05400
  0 2 605.91000 0.03500
  1 2 645.61400 0.03800
  3 2 685.29600 0.04000
  6 2 764.84300 0.24500
