n l nu dnu
 11 0 516.27000 0.01100
 12 0 556.61000 0.04000
 13 0 597.24200 0.04700
 14 0 638.19700 0.02700
 15 0 679.26600 0.03300
 16 0 720.35800 0.04800
 17 0 761.71600 0.04500
 18 0 803.15800 0.10000
  2 1 576.43900 0.05300
  4 1 619.38600 0.04500
  5 1 648.77900 0.01200
  6 1 664.18200 0.01200
  7 1 697.61500 0.01400
  8 1 722.62600 0.01200
  9 1 743.32100 0.04900
 10 1 778.32200 0.06000
 11 1 805.88400 0.03300
 12 1 828.90800 0.02700
-11 2 511.85700 0.01100
 -1 2 675.34100 0.06200
  0 2 716.50300 0.03800
  2 2 757.93700 0.09500
 
