l n nu dnu n_g
0 3 176.863 0.158 0 
0 4 209.828 0.150 0 
0 5 241.815 0.143 0 
0 6 274.246 0.136 0 
0 7 307.363 0.130 0 
0 8 340.691 0.062 0 
0 9 374.379 0.035 0 
0 10 408.036 0.038 0 
0 11 440.915 0.025 0 
0 12 473.495 0.024 0 
0 13 507.017 0.018 0 
0 14 541.458 0.017 0 
0 15 576.442 0.021 0 
0 16 611.611 0.033 0 
0 17 646.590 0.061 0 
0 18 681.463 0.170 0 
0 19 715.665 0.213 0 
0 20 750.510 0.223 0 
0 21 785.391 0.234 0 
0 22 820.573 0.246 0 
0 23 854.574 0.258 0 
0 24 889.509 0.271 0 
1 -6 170.618 0.218 9 
1 -9 180.479 0.208 12 
1 -8 185.778 0.198 12 
1 -7 196.533 0.188 11 
1 -6 214.706 0.179 10 
1 -5 217.344 0.171 9 
1 -4 238.823 0.163 9 
1 1 248.748 0.155 4 
1 -2 267.248 0.148 8 
1 3 281.265 0.140 3 
1 0 302.325 0.134 7 
1 3 314.732 0.127 4 
1 4 340.881 0.121 4 
1 3 353.130 0.116 5 
1 6 377.053 0.112 3 
1 7 396.377 0.056 3 
1 6 419.179 0.042 4 
1 9 441.430 0.031 2 
1 10 461.796 0.025 2 
1 9 488.581 0.019 4 
1 10 515.050 0.019 3 
1 11 534.616 0.016 3 
1 12 561.656 0.020 3 
1 13 594.040 0.028 3 
1 14 627.001 0.058 3 
1 15 654.737 0.119 2 
1 16 671.553 0.249 2 
1 17 699.954 0.262 2 
1 18 733.468 0.275 2 
1 19 767.290 0.289 2 
1 20 801.797 0.303 2 
1 21 835.139 0.318 2 
1 22 869.325 0.334 2 
1 23 902.502 0.351 1 
2 -20 171.153 0.223 23 
2 -19 173.632 0.213 22 
2 -18 181.646 0.202 21 
2 -17 190.514 0.193 20 
2 -16 195.850 0.184 20 
2 -15 201.019 0.175 19 
2 -14 210.324 0.167 18 
2 -13 214.556 0.159 17 
2 -12 225.670 0.151 16 
2 -11 236.005 0.144 16 
2 -10 240.715 0.137 15 
2 -9 256.191 0.130 14 
2 -8 265.927 0.124 14 
2 -7 274.055 0.118 13 
2 -6 285.908 0.113 12 
2 -5 299.630 0.107 12 
2 -4 304.985 0.102 11 
2 -3 324.457 0.097 10 
2 -2 336.325 0.093 10 
2 -1 354.303 0.088 9 
2 0 370.226 0.084 9 
2 1 390.690 0.080 8 
2 2 403.852 0.076 8 
2 3 434.372 0.073 8 
2 4 437.301 0.069 7 
2 5 469.839 0.046 7 
2 6 489.550 0.037 6 
2 7 503.485 0.030 6 
2 8 537.984 0.029 6 
2 9 560.033 0.045 5 
2 10 573.049 0.075 5 
2 11 608.529 0.205 5 
2 12 643.199 0.349 5 
2 13 648.334 0.367 4 
2 14 677.791 0.385 4 
2 15 713.415 0.404 4 
2 16 747.444 0.424 4 
2 17 759.323 0.446 3 
2 18 781.995 0.468 3 
2 19 817.058 0.491 3 
2 20 851.814 0.516 3 
2 21 886.964 0.542 3 
