l n nu dnu n_g
0 3 147.262 0.115 0 
0 4 176.587 0.109 0 
0 5 205.734 0.104 0 
0 6 234.482 0.099 0 
0 7 262.144 0.047 0 
0 8 288.851 0.027 0 
0 9 316.287 0.029 0 
0 10 344.546 0.019 0 
0 11 372.550 0.019 0 
0 12 400.136 0.014 0 
0 13 428.242 0.014 0 
0 14 457.111 0.017 0 
0 15 486.116 0.027 0 
0 16 514.964 0.048 0 
0 17 543.867 0.136 0 
0 18 573.218 0.170 0 
0 19 602.176 0.179 0 
0 20 631.302 0.188 0 
0 21 660.370 0.197 0 
0 22 689.715 0.207 0 
0 23 718.863 0.217 0 
1 -14 133.062 0.415 17 
1 -31 136.014 0.395 34 
1 -30 140.950 0.377 33 
1 -29 144.779 0.359 32 
1 -28 149.505 0.342 31 
1 -7 153.292 0.325 10 
1 -26 155.624 0.310 29 
1 -25 160.243 0.295 29 
1 -24 166.154 0.281 28 
1 -15 172.003 0.268 19 
1 -2 177.489 0.255 6 
1 -7 180.959 0.243 11 
1 -20 186.870 0.231 25 
1 -3 192.710 0.220 8 
1 -2 197.450 0.210 7 
1 -13 205.654 0.200 18 
1 -16 213.191 0.190 21 
1 -15 217.216 0.181 21 
1 -14 225.512 0.173 20 
1 -13 236.682 0.164 19 
1 -8 242.719 0.156 14 
1 -11 250.374 0.149 18 
1 -6 263.535 0.142 13 
1 1 269.512 0.135 6 
1 -8 280.727 0.129 16 
1 3 292.822 0.123 5 
1 -6 300.237 0.117 15 
1 5 315.716 0.111 4 
1 -4 323.470 0.106 13 
1 7 339.422 0.101 3 
1 2 349.200 0.049 8 
1 7 365.028 0.036 4 
1 0 376.994 0.027 11 
1 9 391.857 0.022 3 
1 2 408.235 0.016 10 
1 9 420.059 0.016 4 
1 4 442.245 0.013 10 
1 9 452.760 0.016 6 
1 12 473.556 0.023 3 
1 7 495.082 0.046 8 
1 12 505.677 0.092 4 
1 13 529.944 0.197 4 
1 10 553.185 0.207 7 
1 13 564.570 0.217 6 
1 16 588.586 0.228 3 
1 13 614.717 0.239 7 
1 14 630.497 0.251 6 
1 17 648.641 0.264 4 
1 16 675.206 0.277 6 
1 17 700.884 0.291 5 
1 18 718.725 0.305 5 
2 -59 132.368 0.659 61 
2 -57 134.578 0.628 60 
2 -56 137.504 0.598 59 
2 -55 139.710 0.570 58 
2 -54 142.920 0.543 57 
2 -53 143.866 0.517 56 
2 -52 144.535 0.492 55 
2 -51 147.759 0.469 54 
2 -50 151.691 0.446 53 
2 -49 153.506 0.425 52 
2 -48 156.697 0.405 51 
2 -46 162.518 0.386 49 
2 -45 165.006 0.367 49 
2 -44 167.606 0.350 48 
2 -43 170.267 0.333 47 
2 -42 173.196 0.317 46 
2 -41 175.067 0.302 45 
2 -40 178.720 0.288 44 
2 -39 183.083 0.274 43 
2 -38 186.984 0.261 42 
2 -37 191.914 0.249 41 
2 -36 196.868 0.237 41 
2 -35 200.402 0.225 40 
2 -34 202.494 0.215 39 
2 -33 206.973 0.204 38 
2 -32 211.930 0.195 37 
2 -31 217.113 0.185 36 
2 -30 221.324 0.177 35 
2 -29 226.401 0.168 35 
2 -28 230.931 0.160 34 
2 -27 233.109 0.153 33 
2 -26 239.559 0.145 32 
2 -25 247.005 0.138 31 
2 -24 254.923 0.132 31 
2 -23 258.733 0.126 30 
2 -22 263.648 0.120 29 
2 -21 272.811 0.114 28 
2 -20 282.382 0.108 28 
2 -19 285.424 0.103 27 
2 -18 292.861 0.098 26 
2 -17 303.761 0.094 25 
2 -16 312.345 0.089 25 
2 -15 315.662 0.085 24 
2 -14 326.204 0.081 23 
2 -13 336.583 0.077 22 
2 -12 342.029 0.073 22 
2 -11 349.600 0.070 21 
2 -10 364.394 0.067 20 
2 -9 369.927 0.063 20 
2 -8 381.618 0.060 19 
2 -7 397.351 0.039 19 
2 -6 400.662 0.031 18 
2 -5 421.463 0.025 17 
2 -4 425.618 0.023 17 
2 -3 444.943 0.036 16 
2 -2 454.497 0.060 16 
2 -1 471.248 0.159 15 
2 0 483.447 0.263 15 
2 1 501.911 0.276 14 
2 2 512.902 0.289 14 
2 3 534.961 0.304 13 
2 4 541.051 0.319 13 
2 5 569.816 0.335 13 
2 6 574.155 0.352 12 
2 7 599.267 0.369 12 
2 8 618.105 0.388 11 
2 9 628.634 0.407 11 
2 10 658.489 0.428 11 
2 11 669.689 0.449 10 
2 12 687.509 0.472 10 
2 13 715.756 0.495 10 
