n l nu dnu
10 2 626.264793944 1.67083146755
11 0 632.196627531 0.612834056016
11 1 653.326034934 0.301526484942
11 2 675.365938695 1.13357929511
12 0 681.595502176 0.342531099415
12 1 702.737655605 0.354691370159
12 2 726.934926838 1.07635717689
13 0 731.850688031 0.506901642999
13 1 753.944886742 0.267640914775
13 2 779.586082819 0.668178836743
14 0 784.157653791 0.35419821123
14 1 806.153895241 0.259853695974
14 2 832.759879138 0.539300505009
15 0 837.067151584 0.286032082309
15 1 859.137098733 0.235986359325
15 2 885.102449611 0.567791109768
16 0 889.336840164 0.394860768207
16 1 911.300963952 0.213121491472
16 2 936.311699436 0.510268686071
17 0 940.713414679 0.360124364202
17 1 962.460566265 0.193526056106
17 2 987.161454182 0.457317045161
18 0 992.257138978 0.315578053256
18 1 1014.03173769 0.230432029493
18 2 1039.84605757 0.724107128893
19 0 1043.25618747 0.537715787895
19 1 1067.21303837 0.262373198754
19 2 1094.31813897 0.676470360787
20 0 1097.55359029 0.494325018313
20 1 1120.98493923 0.320295489936
20 2 1146.73227462 0.689526560112
21 0 1150.17359078 0.572027620262
21 1 1174.87891554 0.382075017801
21 2 1200.46167612 1.08028049204
22 0 1202.88753122 0.718616824738
22 1 1228.47716777 0.618311753742
22 2 1252.40509067 1.69285575517
23 0 1255.2364911 1.10911625089
23 1 1281.17997972 0.54210625543
23 2 1306.09283152 1.26630760265
24 0 1310.73986702 0.79449195772
24 1 1334.23013409 0.64783771344
24 2 1356.35093219 1.52744501363
25 0 1364.42622555 0.732262296969
25 1 1391.33650195 1.30740400957
