n l nu dnu
12 0 1460.31761524 0.307746411102
12 1 1509.94690358 0.789484374877
12 2 1563.14492903 2.94865777118
13 0 1569.29064243 3.91170970009
13 1 1617.69414357 2.37354533226
13 2 1670.85892945 2.95631234396
14 0 1678.15818677 0.750333683666
14 1 1728.40868178 0.585952769001
14 2 1778.29838955 1.38647921437
15 0 1787.33576368 0.32514445911
15 1 1836.4669572 0.389018349746
15 2 1886.3512628 1.64396028846
16 0 1894.08193665 0.330435343379
16 1 1943.95089177 0.249816586658
16 2 1993.26930023 0.508807111807
17 0 2001.70617229 0.165008840983
17 1 2051.64527421 0.156251972908
17 2 2101.2150373 0.314576527921
18 0 2109.82476153 0.100420208405
18 1 2160.75845665 0.0921175291112
18 2 2210.42804587 0.263174296118
19 0 2219.19226561 0.0904456346659
19 1 2270.52805188 0.108686185064
19 2 2320.8842901 0.192415338271
20 0 2328.69916359 0.105950869473
20 1 2380.10113465 0.111631647201
20 2 2429.6785395 0.335753748896
21 0 2438.21707125 0.127237600011
21 1 2489.70071266 0.166306672152
21 2 2540.24880886 0.424611878282
22 0 2547.70024111 0.201150380941
22 1 2598.91198804 0.23706302372
22 2 2649.75499083 0.70869411926
23 0 2657.22916343 0.335639360752
23 1 2708.86539112 0.314974215264
23 2 2760.16638042 1.23432103108
24 0 2767.10840866 0.678691954365
24 1 2820.24345043 0.517061167297
24 2 2869.22201415 2.46341596527
25 0 2876.18370884 0.78150990257
25 1 2930.66842956 0.76783121853
25 2 2978.97773911 2.30304256071
26 0 2988.02640715 0.986813327171
26 1 3042.89917807 1.01611242221
