MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,FIRSTREF,FIRSTURL,PLANETDISCMETH
1.8,0.1,0.1,0.1,1.52093,0.145785,0.145785,0.145785,9.9,0.4,0.4,0.4,,,,,,,,,,,,,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,RV
1.78,0.18,0.18,0.18,1.76867,0.236437,0.236437,0.236437,5.29,0.09,0.09,0.09,,,,,,,,,,,,,Wittenmyer 2016,http://adsabs.harvard.edu/abs/2016ApJ...818...35W,RV
1.78,0.18,0.18,0.18,1.96,0.12,0.12,0.12,5.29,0.41,0.41,0.41,,,,,,,,,,,,,Wittenmyer 2016,http://adsabs.harvard.edu/abs/2016ApJ...818...35W,RV
1.75,,,,9,3,3,3,,,,,,,,,,,,,,,,,Lagrange 2009,http://adsabs.harvard.edu/abs/2009A%26A...493L..21L,Imaging
1.75,0.05,0.05,0.05,,,,,,,,,0.76,,,,,,,,,,,,Macintosh 2015,http://adsabs.harvard.edu/abs/2015Sci...350...64M,Imaging
1.74,0.06,0.28,0.17,2.37727,0.235127,0.235127,0.235127,5.55146,0.177695,0.177695,0.177695,,,,,,,,,,,,,Sato 2013,http://adsabs.harvard.edu/abs/2013ApJ...762....9S,RV
1.74,0.06,0.28,0.17,2.36493,0.267128,0.267128,0.267128,5.55146,0.177695,0.177695,0.177695,,,,,,,,,,,,,Sato 2013,http://adsabs.harvard.edu/abs/2013ApJ...762....9S,RV
1.74,0.21,0.21,0.21,4.31096,0.36306,0.36306,0.36306,15.7275,0.503292,0.503292,0.503292,,,,,,,,,,,,,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60.1317S,RV
1.734,0.044,0.044,0.044,0.100437,0.0217279,0.0217279,0.0217279,1.759,0.03,0.03,0.03,0.550851,0.0124788,0.0124788,0.0124788,,,,,,,,,Schwamb 2013,http://adsabs.harvard.edu/abs/2013ApJ...768..127S,Transit
1.73,0.19,0.19,0.19,2.8638,0.324005,0.324005,0.324005,5.60612,0.179443,0.179443,0.179443,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV
1.72,0.12,0.12,0.12,1.40289,0.175684,0.175684,0.175684,5.26341,0.168461,0.168461,0.168461,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV
1.72,0.1,0.1,0.1,6.515,1.575,1.575,1.575,1.71,0.04,0.04,0.04,1.406,0.038,0.038,0.038,,,,,,,,,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Transit
1.718,0.03,0.022,0.026,2.24797,0.0920325,0.0920325,0.0920325,1.86203,0.0598637,0.0598637,0.0598637,,,,,,,,,,,,,McCarthy 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..575M,RV
1.718,0.03,0.022,0.026,2.57917,0.147917,0.147917,0.147917,1.86203,0.0598637,0.0598637,0.0598637,,,,,,,,,,,,,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,RV
1.71,0.06,0.06,0.06,1.86459,0.125805,0.125805,0.125805,5.17,0.15,0.15,0.15,,,,,,,,,,,,,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J,RV
1.71,0.2,0.46,0.33,1.33352,0.19253,0.19253,0.19253,9.3,1.1,1.2999999999999998,1.2,,,,,,,,,,,,,Omiya 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...34O,RV
1.7,0.1,0.1,0.1,3.28703,,,,14.3,0.2,0.2,0.2,,,,,,,,,,,,,Trifonov 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..64T,RV
1.7,0.1,0.1,0.1,2.5485,,,,14.3,0.2,0.2,0.2,,,,,,,,,,,,,Trifonov 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..64T,RV
1.7,0.09,0.09,0.09,3.14944,0.255312,0.255312,0.255312,4.76324,0.152854,0.152854,0.152854,,,,,,,,,,,,,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,RV
1.7,0.1,0.1,0.1,7.8,0.8,0.8,0.8,47.2,1.3,1.3,1.3,,,,,,,,,,,,,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,RV
1.69,0.12,0.12,0.12,1.89038,0.218694,0.218694,0.218694,4.51552,0.144547,0.144547,0.144547,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV
1.69,0.42,0.42,0.42,5.31949,1.18142,1.18142,1.18142,,,,,,,,,,,,,,,,,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,RV
1.68,0.11,0.11,0.11,0.951497,0.0483033,0.0483033,0.0483033,3.42909,0.109844,0.109844,0.109844,,,,,,,,,,,,,Johnson 2010,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J,RV
1.66,0.08,0.08,0.08,1.47372,0.113215,0.113215,0.113215,5.5,0.4,0.4,0.4,,,,,,,,,,,,,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,RV
1.65,0.12,0.12,0.12,1.79425,0.202365,0.202365,0.202365,5.30151,0.16968,0.16968,0.16968,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV
1.64,0.09,0.12,0.105,0.00915206,0.00396485,0.00396485,0.00396485,2.55,0.35,0.39,0.37,0.124,0.00026,0.037739999999999996,0.019,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
