MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,FIRSTREF,FIRSTURL,PLANETDISCMETH
1.06,0.05,0.05,0.05,0.0743252,0.00521037,0.00521037,0.00521037,1.10851,0.036053,0.036053,0.036053,,,,,,,,,,,,,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,RV
1.06,0.09,0.09,0.09,0.48,0.03,0.03,0.03,1.05,0.05,0.05,0.05,1.2,0.06,0.06,0.06,0.922,0.073,0.073,0.073,0.28,0.04,0.04,0.04,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,Transit
1.06,0.05,0.05,0.05,0.0101747,0.00297427,0.00297427,0.00297427,1.1,0.11,0.09000000000000001,0.1,0.128,0.00012,0.024880000000000003,0.0125,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.08,0.06000000000000001,0.07,0.11109,0.0146469,0.0146469,0.0146469,1.07,0.24,0.10000000000000003,0.17,0.572,0.00074,0.18326,0.092,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.07,0.07,0.07,0.00364938,0.00184208,0.00184208,0.00184208,1.08,0.26,0.10999999999999999,0.185,0.095,0.00042,0.033580000000000006,0.017,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.05,0.05,0.05,0.0131362,0.00101794,0.00101794,0.00101794,1.09,0.1,0.07999999999999999,0.09,0.159,0.00044,0.02656,0.0135,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,,,,1.34632,0.0733264,0.0733264,0.0733264,1.12815,0.0442307,0.0442307,0.0442307,,,,,,,,,,,,,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,RV
1.06,0.09,0.09,0.09,0.0123746,0.00417793,0.00417793,0.00417793,1.09,0.27,0.13999999999999996,0.205,0.149,0.00059,0.05741,0.029,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.06,0.06,0.06,0.0120821,0.00509191,0.00509191,0.00509191,1.06,0.23,0.1,0.165,0.145,0.00323,0.05777,0.0305,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.07,0.07,0.07,0.0257931,0.00763825,0.00763825,0.00763825,1.08,0.23,0.11000000000000001,0.17,0.262,0.00009,0.10190999999999999,0.051,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.08,0.06000000000000001,0.07,0.0150076,0.00324742,0.00324742,0.00324742,1.09,0.36,0.12,0.24,0.181,0.00096,0.08004,0.0405,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.09,0.08000000000000002,0.085,0.0130579,0.00415097,0.00415097,0.00415097,1.08,0.3,0.14,0.22,0.158,0.00136,0.06864,0.035,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.1,0.1,0.1,5.00638,0.349873,0.349873,0.349873,1.31501,0.0447078,0.0447078,0.0447078,,,,,,,,,,,,,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L,RV
1.06,0.06,0.05,0.055,0.00965491,0.00472116,0.00472116,0.00472116,1.29,0.24,0.2,0.22,0.126,0.0004,0.0446,0.0225,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.08,0.06999999999999999,0.075,0.0131362,0.00360863,0.00360863,0.00360863,1.09,0.26,0.10999999999999999,0.185,0.159,0.00014,0.06686,0.0335,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.13,0.09,0.11,0.0252452,0.00902239,0.00902239,0.00902239,1.11,0.3,0.16000000000000003,0.23,0.259,0.00531,0.12569,0.0655,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.06,0.06,0.06,0.00709482,0.00330735,0.00330735,0.00330735,1.08,0.23,0.1,0.165,0.115,0.00043,0.03757,0.019,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.06,0.07,0.06,0.065,0.0147338,0.00243296,0.00243296,0.00243296,1.08,0.26,0.09999999999999998,0.18,0.178,0.00071,0.059289999999999995,0.03,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.056,0.094,0.064,0.079,1.46957,0.0871971,0.0871971,0.0871971,1.03281,0.0357399,0.0357399,0.0357399,,,,,,,,,,,,,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,RV
1.054,0.071,0.054000000000000006,0.0625,1.56347,0.062134,0.062134,0.062134,1.16572,0.0393222,0.0393222,0.0393222,,,,,,,,,,,,,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,RV
1.054,0.071,0.054000000000000006,0.0625,0.804926,0.0463822,0.0463822,0.0463822,1.16572,0.0393222,0.0393222,0.0393222,,,,,,,,,,,,,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,RV
1.054,0.039,0.036,0.0375,0.461143,0.0163902,0.0163902,0.0163902,1.02451,0.0355286,0.0355286,0.0355286,,,,,,,,,,,,,Mayor 1995,http://adsabs.harvard.edu/abs/1995Natur.378..355M,RV
1.054,0.028,0.096,0.062,1.83614,0.0956385,0.0956385,0.0956385,1.18013,0.0397412,0.0397412,0.0397412,,,,,,,,,,,,,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,RV
1.052,0.0259999,0.0220001,0.024,0.249652,0.0202388,0.0202388,0.0202388,2.05,0.21,0.21,0.21,,,,,,,,,,,,,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M,RV
1.05,0.07,0.04999999999999999,0.06,0.0208973,0.00611836,0.00611836,0.00611836,1.08,0.33,0.10999999999999999,0.22,0.232,0.00013,0.10686999999999999,0.0535,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.07,0.07,0.07,0.00338324,0.00188304,0.00188304,0.00188304,1.06,0.28,0.10999999999999999,0.195,0.093,0.00055,0.03745,0.019,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.08,0.08,0.08,0.0503054,0.0178657,0.0178657,0.0178657,1.07,0.23,0.11999999999999997,0.175,0.353,0.00129,0.11771,0.0595,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.12,0.09,0.105,0.0208973,0.00556192,0.00556192,0.00556192,1.08,0.27,0.13999999999999996,0.205,0.232,0.0002,0.0948,0.0475,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.06,0.06,0.06,0.00709482,0.00364628,0.00364628,0.00364628,1.07,0.28,0.09999999999999998,0.19,0.115,0.00068,0.042319999999999997,0.0215,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.08,0.06000000000000001,0.07,0.00628541,0.00345218,0.00345218,0.00345218,1.4,0.3,0.3,0.3,0.111,0.00032,0.04468,0.0225,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.07,0.07,0.07,0.0219292,0.00518367,0.00518367,0.00518367,1.07,0.2,0.10999999999999999,0.155,0.239,0.00303,0.07797,0.0405,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.06,0.06,0.06,0.0188877,0.00364685,0.00364685,0.00364685,1.06,0.23,0.1,0.165,0.217,0.00055,0.06645000000000001,0.0335,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.06,0.06,0.06,0.39615,0.0157947,0.0157947,0.0157947,,,,,,,,,,,,,,,,,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L,RV
1.05,0.04,0.04,0.04,0.241296,0.0170643,0.0170643,0.0170643,0.95,0.02,0.02,0.02,0.747,0,0.034,0.017,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.07,0.04999999999999999,0.06,0.0136995,0.00271293,0.00271293,0.00271293,1.31,0.29,0.26000000000000006,0.275,0.166,0.00039,0.06961,0.035,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.07,0.06,0.065,0.00648186,0.00255291,0.00255291,0.00255291,1.15,0.18,0.13,0.155,0.112,0.00037,0.02963,0.015,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.04,0.04,0.04,0.0345375,0.00911115,0.00911115,0.00911115,1.15,0.19,0.13,0.16,0.302,0.0005,0.0835,0.042,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.11,0.11,0.11,10.3882,0.768933,0.768933,0.768933,1.08,0.18,0.06,0.12,1.007,0.044,0.044,0.044,1.24,0.42,0.26000000000000006,0.34,13.4823,2.03046,2.03046,2.03046,Parviainen 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.1122P,Transit
1.05,0.03,0.03,0.03,0.0169068,0.000683918,0.000683918,0.000683918,0.98,0.03,0.03,0.03,0.2,0.00037,0.012629999999999999,0.0065,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,,,,1.3131,0.519393,0.519393,0.519393,0.952526,0.0313161,0.0313161,0.0313161,,,,,,,,,,,,,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,RV
1.05,0.05,0.05,0.05,0.0450611,0.0118968,0.0118968,0.0118968,1.12,0.16,0.11000000000000001,0.135,0.338,0.00043,0.08257,0.0415,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.03,0.03,0.03,0.0170154,0.00172737,0.00172737,0.00172737,1.37,0.04,0.030000000000000006,0.035,0.201,0.00194,0.032060000000000005,0.017,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.03,0.03,0.03,0.0309268,0.00340538,0.00340538,0.00340538,0.98,0.03,0.03,0.03,0.287,0.00045,0.03155,0.016,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.07,0.07,0.07,0.0163773,0.00275999,0.00275999,0.00275999,1.06,0.21,0.11000000000000001,0.16,0.195,0.00052,0.05948,0.03,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.08,0.06000000000000001,0.07,0.00590412,0.00334653,0.00334653,0.00334653,1.4,0.3,0.3,0.3,0.109,0.00035,0.045649999999999996,0.023,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.04,0.04,0.04,0.00407386,0.00172208,0.00172208,0.00172208,1.12,0.18,0.10999999999999999,0.145,0.098,0.00037,0.027630000000000002,0.014,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.06,0.08000000000000002,0.07,0.0147338,0.00265172,0.00265172,0.00265172,1.08,0.27,0.13,0.2,0.178,0.00062,0.06538000000000001,0.033,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.05,0.05,0.05,2.95364,0.331379,0.331379,0.331379,1.025,0.026,0.026,0.026,1.166,0.035,0.035,0.035,,,,,2.32,0.31,0.31,0.31,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,Transit
1.05,0.05,0.039999999999999994,0.045,0.021778,0.0040332,0.0040332,0.0040332,1.06,0.09,0.07,0.08,0.238,0.00074,0.06026,0.0305,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.05,0.12,0.09,0.105,0.0124263,0.00594448,0.00594448,0.00594448,1.08,0.27,0.13999999999999996,0.205,0.136,0.00038,0.04762,0.024,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.048,0.043,0.032,0.0375,9.4752,0.410905,0.410905,0.410905,1.06384,0.036555,0.036555,0.036555,,,,,,,,,,,,,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,RV
1.0479,0.0033,0.003,0.00315,0.220004,0.011,0.010000000000000002,0.0105,1.1618,0.0027,0.0030999999999999995,0.0029,0.764,0.014,0.011999999999999999,0.013,,,,,0.613,0.045,0.040999999999999995,0.043,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W,Transit
1.045,0.033,0.033,0.033,3.50088,0.22126,0.22126,0.22126,1.12584,0.0375626,0.0375626,0.0375626,,,,,,,,,,,,,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,RV
1.043,0.055,0.055,0.055,0.026473,0.00195006,0.00195006,0.00195006,0.964,0.017,0.017,0.017,0.265621,0.0106961,0.0106961,0.0106961,1.163,0.013,0.013,0.013,,,,,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,Transit
1.043,0.055,0.055,0.055,0.0729242,0.00624615,0.00624615,0.00624615,0.964,0.017,0.017,0.017,0.419091,0.0178269,0.0178269,0.0178269,1.163,0.013,0.013,0.013,,,,,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,Transit
1.04,0.02,0.02,0.02,0.0147338,0.000398856,0.000398856,0.000398856,0.96,0.03,0.020000000000000004,0.025,0.178,0.00032,0.008679999999999998,0.0045,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.02,0.02,0.02,0.00351465,0.000445573,0.000445573,0.000445573,0.96,0.03,0.020000000000000004,0.025,0.094,0.00035,0.0066500000000000005,0.0035,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.07,0.06,0.065,0.00142986,0.000809401,0.000809401,0.000809401,1.07,0.31,0.12,0.215,0.073,0.00019,0.03081,0.0155,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.11,0.09000000000000001,0.1,0.0186391,0.00498076,0.00498076,0.00498076,1.05,0.26,0.13,0.195,0.215,0.00009,0.09891,0.0495,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,,,,0.00441201,0.00441201,0.00441201,0.00441201,0.94,,,,0.100246,,,,,,,,,,,,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Transit
1.04,0.07,0.07,0.07,0.0118667,0.00343743,0.00343743,0.00343743,1.04,0.2,0.09999999999999998,0.15,0.142,0.0006,0.0414,0.021,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.27,0.27,0.27,4.9174,0.85196,0.85196,0.85196,7.09522,0.227312,0.227312,0.227312,,,,,,,,,,,,,Sato 2003,http://adsabs.harvard.edu/abs/2003ApJ...597L.157S,RV
1.04,0.07,0.06,0.065,0.0313841,0.00953065,0.00953065,0.00953065,1.06,0.26,0.10999999999999999,0.185,0.289,0.00081,0.10019,0.0505,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.06,0.06,0.06,0.015288,0.00271171,0.00271171,0.00271171,1.05,0.24,0.09000000000000002,0.165,0.184,0,0.095,0.0475,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.07,0.07,0.07,0.0161718,0.00319168,0.00319168,0.00319168,1.04,0.28,0.09999999999999998,0.19,0.193,0.00072,0.07128,0.036,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.07,0.07,0.07,0.0161718,0.002717,0.002717,0.002717,1.04,0.2,0.10999999999999999,0.155,0.193,0.00105,0.058949999999999995,0.03,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.06,0.06,0.06,0.0440759,0.015641,0.015641,0.015641,1.04,0.23,0.1,0.165,0.335,0.00079,0.11821,0.0595,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.03,0.03,0.03,0.476871,0.117141,0.117141,0.117141,1.03,0.09,0.06,0.075,0.796,0.00006,0.11594,0.058,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.1,0.1,0.1,2.46001,0.277402,0.277402,0.277402,1.5121,0.0494171,0.0494171,0.0494171,1.02,0.07,0.07,0.07,,,,,2.82,0.38,0.38,0.38,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,Transit
1.04,0.07,0.06,0.065,0.0129028,0.00337517,0.00337517,0.00337517,1.07,0.23,0.11999999999999997,0.175,0.156,0.00052,0.06048,0.0305,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.08,0.06999999999999999,0.075,0.0127496,0.0028369,0.0028369,0.0028369,1.05,0.18,0.10999999999999999,0.145,0.154,0.00051,0.053489999999999996,0.027,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.05,0.039999999999999994,0.045,0.015383,0.00240292,0.00240292,0.00240292,1.11,0.17,0.11000000000000001,0.14,0.185,0.00148,0.05452,0.028,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.06,0.06,0.06,0.0172355,0.00315892,0.00315892,0.00315892,1.04,0.22,0.09,0.155,0.203,0.00009,0.06491,0.0325,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.04,0.04,0.04,0.0243624,0.00280893,0.00280893,0.00280893,1.05,0.08,0.06000000000000001,0.07,0.254,0.00042,0.03458000000000001,0.0175,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,,,,0.0149563,0.0149563,0.0149563,0.0149563,0.94,,,,0.180443,,,,,,,,,,,,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Transit
1.04,0.07,0.07,0.07,1,0,0,0,1.06,0.24,0.12,0.18,1.523,0.0001,0.5139,0.257,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.06,0.06,0.06,0.0182069,0.000725866,0.000725866,0.000725866,1.32,0.04,0.04,0.04,0.211437,0.006245,0.006245,0.006245,,,,,0.3,2.2,2.2,2.2,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Transit
1.04,0.04,0.030000000000000006,0.035,0.0101747,0.00174546,0.00174546,0.00174546,1.01,0.05,0.039999999999999994,0.045,0.128,0.00038,0.01362,0.007,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.07,0.07,0.07,0.0154788,0.00272921,0.00272921,0.00272921,1.06,0.25,0.09999999999999998,0.175,0.186,0.00053,0.06347,0.032,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.08,0.06999999999999999,0.075,0.00485109,0.0022935,0.0022935,0.0022935,1.05,0.18,0.10999999999999999,0.145,0.103,0.00038,0.033620000000000004,0.017,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.08,0.06999999999999999,0.075,0.00215846,0.000985911,0.000985911,0.000985911,1.05,0.21,0.11000000000000001,0.16,0.082,0.00024,0.025759999999999998,0.013,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.07,0.07,0.07,0.0142915,0.00231749,0.00231749,0.00231749,1.04,0.23,0.1,0.165,0.173,0.00005,0.058949999999999995,0.0295,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.07,0.07,0.07,0.564429,0.269106,0.269106,0.269106,1.06,0.2,0.10999999999999999,0.155,0.93,0.00067,0.27233,0.1365,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.04,0.04,0.04,0.00648186,0.00138006,0.00138006,0.00138006,1.05,0.08,0.06000000000000001,0.07,0.112,0.00029,0.014709999999999999,0.0075,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.05,0.05,0.05,0.0383032,0.0100742,0.0100742,0.0100742,1.12,0.17,0.11999999999999997,0.145,0.316,0.00068,0.08232,0.0415,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.04,0.04,0.04,0.0126737,0.000771322,0.000771322,0.000771322,1.04,0.07,0.06,0.065,0.153,0.00036,0.020640000000000002,0.0105,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.04,0.04,0.04,0.0220818,0.00319417,0.00319417,0.00319417,1.07,0.12,0.08000000000000002,0.1,0.24,0.0004,0.0456,0.023,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.06,0.07,0.065,0.0183949,0.00384004,0.00384004,0.00384004,1.04,0.25,0.09999999999999998,0.175,0.213,0.00017,0.07382999999999999,0.037,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.07,0.07,0.07,0.0127496,0.0034734,0.0034734,0.0034734,1.06,0.28,0.10999999999999999,0.195,0.154,0.001,0.057999999999999996,0.0295,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.04,0.06,0.06,0.06,0.0199023,0.000815921,0.000815921,0.000815921,1.32,0.04,0.04,0.04,0.224819,0.006245,0.006245,0.006245,0.65,0.02,0.02,0.02,0.65,2.3,2.3,2.3,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Transit
1.04,0.06,0.06,0.06,0.0120099,0.00470284,0.00470284,0.00470284,1.06,0.3,0.10000000000000003,0.2,0.144,0.00074,0.055260000000000004,0.028,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.037,0.026,0.024000000000000004,0.025,1.9422,0.152362,0.152362,0.152362,1.14277,0.0386933,0.0386933,0.0386933,,,,,,,,,,,,,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,RV
1.037,0.026,0.024000000000000004,0.025,0.510056,0.0173157,0.0173157,0.0173157,1.14277,0.0386933,0.0386933,0.0386933,,,,,,,,,,,,,Butler 1998,http://adsabs.harvard.edu/abs/1998PASP..110.1389B,RV
1.031,0.046,0.039999999999999994,0.043,1.8189,0.0888784,0.0888784,0.0888784,0.951872,0.0337071,0.0337071,0.0337071,,,,,,,,,,,,,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,RV
1.03,0.06,0.06,0.06,0.0257931,0.00804835,0.00804835,0.00804835,1.04,0.22,0.1,0.16,0.262,0.00578,0.10322,0.0545,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.06,0.05,0.055,0.0109866,0.00571303,0.00571303,0.00571303,1.03,0.29,0.10000000000000003,0.195,0.131,0.00045,0.05055,0.0255,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.07,0.07,0.07,0.372141,0.157838,0.157838,0.157838,1.03,0.21,0.1,0.155,0.745,0.00014,0.22386,0.112,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.07,0.07,0.07,0.0240196,0.00568515,0.00568515,0.00568515,1.05,0.28,0.10999999999999999,0.195,0.252,0.00057,0.07843,0.0395,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.06,0.06,0.06,0.0257931,0.00709225,0.00709225,0.00709225,1.04,0.25,0.09999999999999998,0.175,0.262,0.0009,0.0921,0.0465,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.039,0.039,0.039,0.837,0.029,0.029,0.029,1.503,0.101,0.04299999999999998,0.072,1.065,0.098,0.098,0.098,0.427,0.03,0.07,0.05,0.85,0.19,0.19,0.19,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B,Transit
1.03,0.06,0.06,0.06,0.00437411,0.00181652,0.00181652,0.00181652,1.14,0.18,0.13,0.155,0.1,0.00029,0.027710000000000002,0.014,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.06,0.05,0.055,0.00501732,0.00163407,0.00163407,0.00163407,1.07,0.13,0.09,0.11,0.104,0.00037,0.02163,0.011,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.04,0.04,0.04,0.0162741,0.0024919,0.0024919,0.0024919,1.05,0.12,0.08000000000000002,0.1,0.194,0.00276,0.05124,0.027,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.05,0.039999999999999994,0.045,0.0124487,0.00160013,0.00160013,0.00160013,1.1,0.17,0.11000000000000001,0.14,0.15,0.00047,0.03853,0.0195,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.05,0.06,0.055,0.0240196,0.00633244,0.00633244,0.00633244,1.03,0.26,0.08999999999999997,0.175,0.252,0.00045,0.08954999999999999,0.045,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.054,0.061000000000000006,0.0575,2.13797,0.0798674,0.0798674,0.0798674,0.945,0.051,0.036,0.0435,1.038,0.007,0.047,0.027,1.22,0.17,0.15,0.16,2.53485,0.267156,0.267156,0.267156,Queloz 2010,http://adsabs.harvard.edu/abs/2010A%26A...517L...1Q,Transit
1.03,0.12,0.08000000000000002,0.1,0.0124263,0.00661514,0.00661514,0.00661514,1.08,0.28,0.14999999999999997,0.215,0.136,0.00043,0.05457,0.0275,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.06,0.06,0.06,0.014205,0.00212293,0.00212293,0.00212293,1.04,0.21,0.09,0.15,0.172,0.00095,0.05305,0.027,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.03,0.05,0.039999999999999994,0.045,0.0283318,0.00640256,0.00640256,0.00640256,1.09,0.16,0.1,0.13,0.275,0.0022,0.0698,0.036,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
