MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY
2.17,0.21,0.29000000000000004,0.25,1.70083,0.179947,0.179947,0.179947,12.3,0.88,0.82,0.85,,,,,,,,,,,,
2.148,0.229,0.573,0.40099999999999997,1,0,0,0,2.777,0.43,1.291,0.8604999999999999,6.8275610278308685,1.0571880070533881,3.1742404464944762,2.115714226773932,,,,,,,,
2.15,0.05,0.858,0.454,1,0,0,0,7.119,0.201,1.713,0.9570000000000001,3.479352934606087,0.09813559559145375,0.8377211296397734,0.46792836261561355,,,,,,,,
2.15,0.02,0.33999999999999997,0.18,2.7597,0.211572,0.211572,0.211572,10.5,1,1,1,,,,,,,,,,,,
2.15,0.15,0.15,0.15,4.68383,0.22621,0.22621,0.22621,11.38,0.26,0.26,0.26,,,,,,,,,,,,
2.13,0.01,0.22999999999999998,0.12,1.47736,0.141961,0.141961,0.141961,10.5,0.7,0.7,0.7,,,,,,,,,,,,
2.123,0.18,0.927,0.5535,1,0,0,0,6.261,0.394,1.595,0.9944999999999999,1.3007427124758142,0.08118490180747537,0.3318767414547345,0.20653082163110492,,,,,,,,
2.096,0.727,1.091,0.909,1,0,0,0,8.052,2.606,4.84,3.723,4.365249720263483,1.4122604347388297,2.6237889694042313,2.0180247020715307,,,,,,,,
2.122,0.585,1.087,0.836,1,0,0,0,5.949,1.541,3.595,2.568,1.7173729228504404,0.44428660549585425,1.0375608879350973,0.7409237467154757,,,,,,,,
2.1,0.1,0.1,0.1,8.2,0.2,0.2,0.2,7.73738,0.247708,0.247708,0.247708,,,,,,,,,,,,
2.1,,,,2.6907,0.100151,0.100151,0.100151,20.8234,0.666348,0.666348,0.666348,,,,,,,,,,,,
2.079,0.693,0.847,0.77,1,0,0,0,8.834,2.175,3.262,2.7184999999999997,1.6406487299334858,0.4041402254811686,0.6057642673327008,0.5049522464069347,,,,,,,,
2.08,0.14,0.14,0.14,2.76572,0.162166,0.162166,0.162166,7.27656,0.232907,0.232907,0.232907,,,,,,,,,,,,
2.08,0.09,0.09,0.09,2.75822,0.141572,0.141572,0.141572,8.15609,0.261035,0.261035,0.261035,,,,,,,,,,,,
