l n n_p n_g nu dnu
0 7 7 0 274.496740194189 0.00960738590679661
0 8 8 0 307.811205956893 0.0107733922084912
0 9 9 0 340.510358034176 0.0119178625311961
0 10 10 0 371.768753259304 0.0130119063640756
0 11 11 0 403.740116766851 0.0141309040868398
0 12 12 0 436.912463773886 0.015291936232086
0 13 13 0 470.826889336732 0.0164789411267856
0 14 14 0 504.194730899764 0.0176468155814917
0 15 15 0 537.300914748561 0.0188055320161996
0 16 16 0 570.517318437254 0.0199681061453039
0 17 17 0 604.493106912205 0.0211572587419272
0 18 18 0 638.836913452553 0.0223592919708393
0 19 19 0 673.423939974183 0.0235698378990964
0 20 20 0 707.84683743014 0.0247746393100549
0 21 21 0 742.165763835412 0.0259758017342394
0 22 22 0 776.26224572435 0.0271691786003523
2 -16 6 22 271.799844288685 0.19025989100208
2 -15 6 21 279.854155013358 0.195897908509351
2 -14 6 20 292.261613172897 0.204583129221028
2 -13 7 20 303.245599870122 0.212271919909086
2 -12 7 19 307.073926550343 0.21495174858524
2 -11 7 18 322.86928970574 0.226008502794018
2 -10 8 18 336.094303530481 0.235266012471337
2 -9 8 17 340.031737345619 0.238022216141934
2 -8 8 16 356.236293196165 0.249365405237315
2 -7 9 16 368.050076119924 0.257635053283947
2 -6 9 15 374.246757093814 0.261972729965669
2 -5 10 15 395.666910319496 0.276966837223647
2 -4 10 14 400.426705718167 0.280298694002717
2 -3 10 13 422.014397085417 0.295410077959792
2 -2 11 13 433.49717097005 0.303448019679035
2 -1 11 12 452.547898675583 0.316783529072908
2 0 12 12 467.517743292551 0.327262420304786
2 1 12 11 487.450249975104 0.341215174982573
2 2 13 11 501.079062452373 0.350755343716661
2 3 13 10 526.792169651718 0.368754518756202
2 4 14 10 534.37487412194 0.374062411885358
2 5 15 10 567.196939303995 0.397037857512796
2 6 15 9 571.423389357339 0.399996372550137
2 7 16 9 601.472346769445 0.421030642738611
2 8 16 8 622.042461886698 0.435429723320689
2 9 17 8 635.953405286767 0.445167383700737
2 10 18 8 670.426940310666 0.469298858217466
2 11 18 7 685.720943181559 0.480004660227091
2 12 19 7 704.992559394418 0.493494791576092
2 13 20 7 739.264191290321 0.517484933903225
2 14 20 6 768.881667534136 0.538217167273895
2 15 21 6 773.605298408492 0.541523708885945
1 -7 6 13 271.544193259245 0.00950404676407359
1 -6 6 12 282.539995426701 0.00988889983993453
1 -5 7 12 293.825860471222 0.0102839051164928
1 -4 7 11 311.664256232032 0.0109082489681211
1 -3 8 11 320.915505419778 0.0112320426896922
1 -2 8 10 339.617869032725 0.0118866254161454
1 -1 8 9 351.895057472574 0.0123163270115401
1 1 9 9 370.835248702962 0.0129792337046037
1 2 9 8 383.875254953141 0.0134356339233599
1 3 10 8 406.652940152574 0.0142328529053401
1 4 11 8 420.153676072312 0.0147053786625309
1 5 11 7 442.447828542309 0.0154856739989808
1 6 12 7 463.956868373245 0.0162384903930636
1 7 12 6 481.980939782045 0.0168693328923716
1 8 13 6 502.248513061573 0.0175786979571551
1 9 14 6 527.282503310143 0.018454887615855
1 10 15 6 552.246399795306 0.0193286239928357
1 11 15 5 566.932720560388 0.0198426452196136
1 12 16 5 592.590262450308 0.0207406591857608
1 13 17 5 624.207224290561 0.0218472528501696
1 14 18 5 654.922852961485 0.022922299853652
1 15 18 4 668.696049923159 0.0234043617473105
1 16 19 4 693.678771226654 0.0242787569929329
1 17 20 4 726.571023750076 0.0254299858312527
1 18 21 4 759.876544425448 0.0265956790548907
1 19 22 4 792.700643003156 0.0277445225051105
