l n n_p n_g nu dnu
0 8 8 0 350.334931006748 0.0122617225852362
0 9 9 0 388.361970134825 0.0135926689547189
0 10 10 0 426.844211373075 0.0149395473980576
0 11 11 0 465.322798131355 0.0162862979345974
0 12 12 0 502.871268808609 0.0176004944083013
0 13 13 0 539.94618510462 0.0188981164786617
0 14 14 0 577.877664423402 0.0202257182548191
0 15 15 0 616.835836494101 0.0215892542772935
0 16 16 0 656.50180345559 0.0229775631209456
0 17 17 0 696.543911160222 0.0243790368906078
0 18 18 0 736.420239148037 0.0257747083701813
0 19 19 0 775.894166129908 0.0271562958145468
0 20 20 0 815.191106651021 0.0285316887327857
0 21 21 0 854.479691311896 0.0299067891959164
0 22 22 0 893.809683865827 0.0312833389353039
0 23 23 0 933.290831765837 0.0326651791118043
2 -3 7 10 344.318922786976 0.241023245950884
2 -2 7 9 351.223546185623 0.245856482329936
2 -1 8 9 380.707900769481 0.266495530538637
2 0 8 8 384.084304999357 0.26885901349955
2 1 9 8 421.571595620413 0.295100116934289
2 2 9 7 423.58728223301 0.296511097563107
2 3 10 7 461.072726994771 0.32275090889634
2 4 10 6 475.636835171538 0.332945784620077
2 5 11 6 499.055195243011 0.349338636670108
2 6 12 6 536.180840278768 0.375326588195138
2 7 12 5 542.09407889764 0.379465855228348
2 8 13 5 574.283331229503 0.401998331860652
2 9 14 5 613.230526565819 0.429261368596073
2 10 14 4 629.374785329975 0.440562349730983
2 11 15 4 653.005226062033 0.457103658243423
2 12 16 4 693.061897356603 0.485143328149622
2 13 17 4 732.967556597152 0.513077289618006
2 14 17 3 754.521494429001 0.528165046100301
2 15 18 3 772.595198404501 0.540816638883151
2 16 19 3 811.855761588684 0.568299033112079
2 17 20 3 851.126192184085 0.59578833452886
2 18 21 3 890.417154102975 0.623292007872082
2 19 22 3 929.757194708329 0.65083003629583
2 20 22 2 945.585769740242 0.661910038818169
1 3 7 5 359.942386351174 0.0125979835222911
1 4 8 5 390.870502539818 0.0136804675888936
1 5 8 4 402.578324284412 0.0140902413499544
1 6 9 4 432.692700292775 0.0151442445102471
1 7 10 4 460.570373215785 0.0161199630625525
1 8 11 4 485.314679396649 0.0169860137788827
1 9 11 3 507.777263776295 0.0177722042321703
1 10 12 3 530.745452979561 0.0185760908542846
1 11 13 3 562.593912776796 0.0196907869471879
1 12 14 3 598.466875106179 0.0209463406287163
1 13 15 3 634.697247440319 0.0222144036604111
1 14 15 2 656.708868133102 0.0229848103846586
1 15 16 2 679.827177805132 0.0237939512231796
1 16 17 2 717.480911124374 0.0251118318893531
1 17 18 2 756.223036188299 0.0264678062665905
1 18 19 2 794.92728289599 0.0278224549013596
1 19 20 2 833.603473981949 0.0291761215893682
1 20 21 2 872.001900202248 0.0305200665070787
1 21 21 1 908.0683181491 0.0317823911352185
1 22 22 1 926.284683010042 0.0324199639053515
1 23 23 1 953.957828586769 0.0333885240005369
