l n n_p n_g nu dnu
0 7 7 0 265.148905119187 0.00928021167917154
0 8 8 0 297.165325755618 0.0104007864014466
0 9 9 0 327.665645902159 0.0114682976065756
0 10 10 0 358.079750821705 0.0125327912787597
0 11 11 0 389.907617597338 0.0136467666159068
0 12 12 0 421.929420522318 0.0147675297182811
0 13 13 0 453.445020841552 0.0158705757294543
0 14 14 0 484.880515519919 0.0169708180431972
0 15 15 0 516.929545998202 0.0180925341099371
0 16 16 0 549.686177811656 0.019239016223408
0 17 17 0 582.51317855142 0.0203879612492997
0 18 18 0 615.244055157692 0.0215335419305192
0 19 19 0 647.917660305052 0.0226771181106768
0 20 20 0 680.638775850854 0.0238223571547799
0 21 21 0 713.609580129451 0.0249763353045308
0 22 22 0 746.595625194748 0.0261308468818162
2 -24 6 30 260.370229653602 0.182259160757521
2 -23 6 29 263.203462867794 0.184242424007456
2 -22 6 28 271.667080407506 0.190166956285254
2 -21 6 27 279.685079619959 0.195779555733972
2 -20 6 26 288.172256328099 0.20172057942967
2 -19 7 26 293.519771479862 0.205463840035903
2 -18 7 25 299.017775269484 0.209312442688639
2 -17 7 24 310.814841067745 0.217570388747422
2 -16 8 24 323.166358986742 0.22621645129072
2 -15 8 23 324.670578914854 0.227269405240398
2 -14 8 22 337.072777507465 0.235950944255226
2 -13 8 21 349.934162120042 0.244953913484029
2 -12 9 21 354.892169363567 0.248424518554497
2 -11 9 20 364.205499306659 0.254943849514661
2 -10 9 19 380.86600792426 0.266606205546982
2 -9 10 19 386.718796881211 0.270703157816847
2 -8 10 18 400.561456262345 0.280393019383641
2 -7 11 18 418.657892878373 0.293060525014861
2 -6 11 17 422.532823618487 0.295772976532941
2 -5 11 16 445.811791174527 0.312068253822169
2 -4 12 16 450.593255892925 0.315415279125047
2 -3 12 15 470.261199205452 0.329182839443817
2 -2 13 15 481.984651104835 0.337389255773384
2 -1 13 14 496.019762857899 0.34721383400053
2 0 14 14 514.035785116183 0.359825049581328
2 1 14 13 526.605159842237 0.368623611889566
2 2 15 13 546.823623995727 0.382776536797009
2 3 15 12 563.952658734948 0.394766861114464
2 4 16 12 579.702287173215 0.40579160102125
2 5 16 11 608.200999778003 0.425740699844602
2 6 17 11 612.606712384353 0.428824698669047
2 7 18 11 645.096613627589 0.451567629539312
2 8 18 10 659.915931070556 0.461941151749389
2 9 19 10 677.895827341906 0.474527079139334
2 10 20 10 710.666255353888 0.497466378747722
2 11 20 9 718.405366471832 0.502883756530282
2 12 21 9 743.856147492712 0.520699303244899
1 -11 6 17 263.344736013128 0.00921706576045947
1 -10 6 16 272.030296869019 0.00952106039041565
1 -9 7 16 281.2043890949 0.0098421536183215
1 -8 7 15 293.235211267196 0.0102632323943519
1 -7 7 14 305.678705896991 0.0106987547063947
1 -6 8 14 314.890035148747 0.0110211512302061
1 -5 8 13 331.70327463765 0.0116096146123177
1 -4 9 13 340.564024844672 0.0119197408695635
1 -3 9 12 358.199230628512 0.0125369730719979
1 -2 9 11 369.844882014351 0.0129445708705023
1 -1 10 11 386.412252485144 0.01352442883698
1 1 10 10 402.451702321084 0.0140858095812379
1 2 11 10 417.01367616673 0.0145954786658356
1 3 12 10 436.754373234067 0.0152864030631923
1 4 12 9 452.043567881058 0.015821524875837
1 5 13 9 470.714075861914 0.016474992655167
1 6 13 8 491.258403674357 0.0171940441286025
1 7 14 8 507.752349580781 0.0177713322353273
1 8 15 8 531.065841506978 0.0185873044527442
1 9 15 7 548.804190193865 0.0192081466567853
1 10 16 7 571.134807848082 0.0199897182746829
1 11 17 7 597.513871011492 0.0209129854854022
1 12 17 6 612.777373770713 0.021447208081975
1 13 18 6 636.214646141792 0.0222675126149627
1 14 19 6 666.35875306439 0.0233225563572536
1 15 19 5 693.884287827086 0.024285950073948
1 16 20 5 705.891745033193 0.0247062110761618
1 17 21 5 732.922124833182 0.0256522743691614
1 18 22 5 764.667432108508 0.0267633601237978
