l n n_p n_g nu dnu
0 8 8 0 354.961959280115 0.012423668574804
0 9 9 0 393.55597467706 0.0137744591136971
0 10 10 0 432.525125589971 0.015138379395649
0 11 11 0 471.664627128874 0.0165082619495106
0 12 12 0 510.170662080945 0.0178559731728331
0 13 13 0 547.890997543825 0.0191761849140339
0 14 14 0 586.086496830808 0.0205130273890783
0 15 15 0 625.419298385635 0.0218896754434972
0 16 16 0 665.519686903482 0.0232931890416219
0 17 17 0 706.058271287854 0.0247120394950749
0 18 18 0 746.690953732313 0.026134183380631
0 19 19 0 787.015421488507 0.0275455397520977
0 20 20 0 826.974652342627 0.0289441128319919
0 21 21 0 866.860037439588 0.0303401013103856
0 22 22 0 906.779853907598 0.0317372948867659
0 23 23 0 946.691446474785 0.0331342006266175
2 -1 7 8 364.95200773447 0.255466405414129
2 0 8 8 388.519731302167 0.271963811911517
2 1 8 7 404.531425896943 0.28317199812786
2 2 9 7 427.868865625162 0.299508205937614
2 3 9 6 455.32643629215 0.318728505404505
2 4 10 6 467.419662672942 0.32719376387106
2 5 11 6 506.2167406155 0.35435171843085
2 6 11 5 519.529883906769 0.363670918734738
2 7 12 5 544.240508886007 0.380968356220205
2 8 13 5 582.445723374048 0.407712006361834
2 9 13 4 602.80492250632 0.421963445754424
2 10 14 4 621.872734373518 0.435310914061463
2 11 15 4 661.968404057099 0.46337788283997
2 12 16 4 702.48825085833 0.491741775600831
2 13 16 3 721.132216228213 0.504792551359749
2 14 17 3 743.266882524539 0.520286817767178
2 15 18 3 783.607859422642 0.548525501595849
2 16 19 3 823.57363500264 0.576501544501848
2 17 20 3 863.421523283526 0.604395066298469
2 18 21 3 901.766997564109 0.631236898294876
2 19 21 2 904.744418865098 0.633321093205569
2 20 22 2 943.333786596885 0.660333650617819
2 21 23 2 983.127825678455 0.688189477974918
1 3 7 5 363.332282966466 0.0127166299038263
1 4 8 5 380.16565293655 0.0133057978527792
1 5 8 4 402.908191866796 0.0141017867153378
1 6 9 4 434.677704792377 0.0152137196677332
1 7 10 4 457.973186729332 0.0160290615355266
1 8 10 3 481.473320861019 0.0168515662301357
1 9 11 3 505.331595303717 0.0176866058356301
1 10 12 3 534.5886653117 0.0187106032859095
1 11 13 3 568.705826051656 0.019904703911808
1 12 14 3 604.144738383477 0.0211450658434217
1 13 14 2 627.740572653137 0.0219709200428598
1 14 15 2 649.523510110756 0.0227333228538765
1 15 16 2 686.98886507985 0.0240446102777948
1 16 17 2 726.55426772456 0.0254293993703596
1 17 18 2 766.331588513465 0.0268216055979713
1 18 19 2 805.73550089053 0.0282007425311686
1 19 19 1 844.45590616037 0.0295559567156129
1 20 20 1 877.47058365166 0.0307114704278081
1 21 21 1 893.10525136347 0.0312586837977214
1 22 22 1 927.118221109459 0.0324491377388311
1 23 23 1 965.888504618835 0.0338060976616592
