l n n_p n_g nu dnu
0 7 7 0 278.450272745949 0.00974575954610822
0 8 8 0 312.485314663579 0.0109369860132253
0 9 9 0 345.836230450289 0.0121042680657601
0 10 10 0 378.073055258355 0.0132325569340424
0 11 11 0 410.103230836967 0.0143536130792938
0 12 12 0 443.621209585697 0.0155267423354994
0 13 13 0 477.983507015525 0.0167294227455434
0 14 14 0 512.451447812652 0.0179358006734428
0 15 15 0 546.282830080613 0.0191198990528214
0 16 16 0 580.102261892787 0.0203035791662475
0 17 17 0 614.222688339801 0.021497794091893
0 18 18 0 649.039207265976 0.0227163722543092
0 19 19 0 684.101429818745 0.0239435500436561
0 20 20 0 719.333947216293 0.0251766881525702
0 21 21 0 754.388276246296 0.0264035896686204
0 22 22 0 789.262782745937 0.0276241973961078
2 -13 6 19 288.208864604624 0.201746205223237
2 -12 7 19 302.912895232245 0.212039026662572
2 -11 7 18 307.861284845805 0.215502899392064
2 -10 7 17 318.908286987021 0.223235800890915
2 -9 7 16 333.939822531303 0.233757875771912
2 -8 8 16 341.778407201064 0.239244885040745
2 -7 8 15 350.946915550703 0.245662840885492
2 -6 9 15 371.069442668005 0.259748609867604
2 -5 9 14 374.698930599714 0.2622892514198
2 -4 9 13 395.912042683533 0.277138429878473
2 -3 10 13 406.551395811523 0.284585977068066
2 -2 10 12 424.433579439103 0.297103505607372
2 -1 11 12 440.086505063657 0.30806055354456
2 0 11 11 456.83290739562 0.319783035176934
2 1 12 11 474.542830934412 0.332179981654089
2 2 12 10 493.069220897117 0.345148454627982
2 3 13 10 509.229760501994 0.356460832351396
2 4 13 9 533.984880939988 0.373789416657991
2 5 14 9 543.308077748097 0.380315654423668
2 6 15 9 576.866125527062 0.403806287868943
2 7 15 8 582.387217164688 0.407671052015282
2 8 16 8 611.216411626112 0.427851488138278
2 9 16 7 641.822597754367 0.449275818428057
2 10 17 7 646.266549395631 0.452386584576941
2 11 18 7 681.10723177775 0.476775062244425
2 12 19 7 716.122362643585 0.50128565385051
2 13 19 6 720.09008734714 0.504063061142998
2 14 20 6 751.450643512466 0.526015450458726
2 15 21 6 786.307100369553 0.550414970258687
2 16 22 6 820.530397083454 0.574371277958418
1 -5 6 11 286.408231905243 0.0100242881166835
1 -4 7 11 297.967996107006 0.0104288798637452
1 -3 7 10 316.826630970339 0.0110889320839619
1 -2 8 10 326.315195604573 0.01142103184616
1 -1 8 9 347.931041336306 0.0121775864467707
1 1 8 8 358.535684394659 0.0125487489538131
1 2 9 8 382.449942004109 0.0133857479701438
1 3 10 8 393.704662477744 0.013779663186721
1 4 10 7 416.63396040735 0.0145821886142573
1 5 11 7 437.462723111366 0.0153111953088978
1 6 11 6 453.567223071188 0.0158748528074916
1 7 12 6 477.16145181504 0.0167006508135264
1 8 13 6 501.809850673345 0.0175633447735671
1 9 13 5 522.295976568664 0.0182803591799032
1 10 14 5 540.288957908307 0.0189101135267907
1 11 15 5 568.233148432594 0.0198881601951408
1 12 16 5 598.915234708976 0.0209620332148141
1 13 16 4 621.796451698865 0.0217628758094603
1 14 17 4 637.409965644626 0.0223093487975619
1 15 18 4 669.099880627173 0.0234184958219511
1 16 19 4 702.976228503886 0.024604167997636
1 17 20 4 736.822078631672 0.0257887727521085
1 18 20 3 764.716203272269 0.0267650671145294
1 19 21 3 777.286419131523 0.0272050246696033
1 20 22 3 807.929102692893 0.0282775185942512
