l n n_p n_g nu dnu
0 10 10 0 518.636814328558 0.0181522885014995
0 11 11 0 565.995828179076 0.0198098539862677
0 12 12 0 614.104412175517 0.0214936544261431
0 13 13 0 662.543578787637 0.0231890252575673
0 14 14 0 710.791716549735 0.0248777100792407
0 15 15 0 758.449372725112 0.0265457280453789
0 16 16 0 805.560940546447 0.0281946329191256
0 17 17 0 852.708338952578 0.0298447918633402
0 18 18 0 900.498661996364 0.0315174531698727
0 19 19 0 949.066442710851 0.0332173254948798
0 20 20 0 998.180674417908 0.0349363236046268
0 21 21 0 1047.5606183728 0.036664621643048
0 22 22 0 1096.98992450365 0.0383946473576279
0 23 23 0 1146.32039424073 0.0401212137984255
0 24 24 0 1195.41010638043 0.0418393537233152
0 25 25 0 1243.97037831253 0.0435389632409384
2 8 9 1 513.736627226831 0.359615639058782
2 9 10 1 561.419046112581 0.392993332278807
2 10 11 1 609.751703610088 0.426826192527062
2 11 12 1 658.348576789697 0.460844003752788
2 12 13 1 706.703897119691 0.494692727983784
2 13 14 1 754.271343669978 0.527989940568984
2 14 14 0 780.457435962721 0.546320205173905
2 15 15 0 802.17034385675 0.561519240699725
2 16 16 0 849.031336788534 0.594321935751974
2 17 17 0 896.709384040231 0.627696568828162
2 18 18 0 945.192383484734 0.661634668439314
2 19 19 0 994.253688237151 0.695977581766006
2 20 20 0 1043.61020518789 0.73052714363152
2 21 21 0 1093.03788587743 0.765126520114202
2 22 22 0 1142.38212695259 0.799667488866812
2 23 23 0 1191.50761282 0.834055328974001
2 24 24 0 1240.11149862402 0.868078049036812
1 9 9 1 494.009143806272 0.0172903200332195
1 10 10 1 540.492455402281 0.0189172359390798
1 11 11 1 588.042182544875 0.0205814763890706
1 12 12 1 636.210689518431 0.0222673741331451
1 13 12 0 684.484741780779 0.0239569659623273
1 14 13 0 732.338711556274 0.0256318549044696
1 15 14 0 779.557345086842 0.0272845070780395
1 16 15 0 826.451721446056 0.028925810250612
1 17 16 0 873.683441808906 0.0305789204633117
1 18 17 0 921.678398091966 0.0322587439332188
1 19 18 0 970.393613172157 0.0339637764610255
1 20 19 0 1019.53336805902 0.0356836678820656
1 21 20 0 1068.84640260739 0.0374096240912586
1 22 21 0 1118.13995437887 0.0391348984032605
1 23 22 0 1167.29371295097 0.0408552799532839
1 24 23 0 1216.12647082247 0.0425644264787864
