l n n_p n_g nu dnu
0 9 9 0 428.483901366727 0.0149969365478354
0 10 10 0 471.13840908316 0.0164898443179106
0 11 11 0 514.46430116241 0.0180062505406843
0 12 12 0 557.836645493691 0.0195242825922792
0 13 13 0 600.808239686565 0.0210282883890298
0 14 14 0 643.278093749167 0.0225147332812208
0 15 15 0 685.570871424974 0.0239949804998741
0 16 16 0 728.221418067412 0.0254877496323594
0 17 17 0 771.619731756198 0.0270066906114669
0 18 18 0 815.794259644372 0.028552799087553
0 19 19 0 860.473021920271 0.0301165557672095
0 20 20 0 905.269756318303 0.0316844414711406
0 21 21 0 949.910307525048 0.0332468607633767
0 22 22 0 994.279729580286 0.03479979053531
0 23 23 0 1038.37726311051 0.0363432042088677
0 24 24 0 1081.98400172074 0.037869440060226
2 3 8 5 423.084868584951 0.296159408009465
2 4 8 4 459.753883674983 0.321827718572488
2 5 9 4 466.280823919557 0.32639657674369
2 6 10 4 509.866131429165 0.356906292000416
2 7 10 3 547.719321758929 0.38340352523125
2 8 11 3 553.812871248104 0.387669009873673
2 9 12 3 596.851524162723 0.417796066913906
2 10 13 3 639.463208822803 0.447624246175962
2 11 13 2 672.352740536555 0.470646918375589
2 12 14 2 682.0676965495 0.47744738758465
2 13 15 2 724.579369811057 0.50720555886774
2 14 16 2 767.920490921155 0.537544343644809
2 15 17 2 812.029697481788 0.568420788237252
2 16 18 2 856.616774785397 0.599631742349778
2 17 18 1 892.492297930873 0.624744608551611
2 18 19 1 901.946220468566 0.631362354327996
2 19 20 1 946.223309678796 0.662356316775157
2 20 21 1 990.558382367758 0.693390867657431
2 21 22 1 1034.6331695657 0.724243218695989
2 22 23 1 1078.29270566181 0.754804893963266
1 6 8 3 424.324521660424 0.0148513582581148
1 7 9 3 447.743507364436 0.0156710227577552
1 8 9 2 479.054297021386 0.0167669003957485
1 9 10 2 505.10615161544 0.0176787153065404
1 10 11 2 539.57132418555 0.0188849963464942
1 11 12 2 579.862697777558 0.0202951944222145
1 12 13 2 620.751014701152 0.0217262855145403
1 13 13 1 657.953876647963 0.0230283856826787
1 14 14 1 675.406629232961 0.0236392320231536
1 15 15 1 708.166042294517 0.0247858114803081
1 16 16 1 749.732617865569 0.0262406416252949
1 17 17 1 792.875448513066 0.0277506406979573
1 18 18 1 836.887295109487 0.029291055328832
1 19 19 1 881.316993649463 0.0308460947777312
1 20 20 1 925.787410044839 0.0324025593515694
1 21 21 1 970.068426065731 0.0339523949123006
1 22 22 1 1014.09284211698 0.0354932494740944
1 23 22 0 1057.85981301897 0.0370250934556641
1 24 23 0 1101.20740603228 0.03854225921113
