l n n_p n_g nu dnu
0 8 8 0 298.646348731885 0.010452622205616
0 9 9 0 329.366421393862 0.0115278247487852
0 10 10 0 360.66225632663 0.012623178971432
0 11 11 0 392.693157060449 0.0137442604971157
0 12 12 0 424.211409490459 0.0148473993321661
0 13 13 0 455.358848460517 0.0159375596961181
0 14 14 0 487.173909643292 0.0170510868375152
0 15 15 0 519.607596180528 0.0181862658663185
0 16 16 0 552.086778036629 0.019323037231282
0 17 17 0 584.500727493374 0.0204575254622681
0 18 18 0 617.015446732616 0.0215955406356415
0 19 19 0 649.728135796241 0.0227404847528684
0 20 20 0 682.627252644247 0.0238919538425487
0 21 21 0 715.596792561597 0.0250458877396559
0 22 22 0 748.53392208917 0.0261986872731209
0 23 23 0 781.408706872623 0.0273493047405418
2 -29 6 35 273.912679418152 0.191738875592706
2 -28 6 34 281.529747272307 0.197070823090615
2 -27 6 33 289.222145703693 0.202455501992585
2 -26 7 33 294.990428527709 0.206493299969396
2 -25 7 32 297.532425912031 0.208272698138422
2 -24 7 31 306.102627400969 0.214271839180678
2 -23 7 30 315.602582342387 0.220921807639671
2 -22 8 30 325.221116177238 0.227654781324067
2 -21 8 29 326.651882876615 0.22865631801363
2 -20 8 28 336.27676103225 0.235393732722575
2 -19 8 27 347.145236815601 0.243001665770921
2 -18 9 27 357.242605555239 0.250069823888667
2 -17 9 26 359.492467735596 0.251644727414917
2 -16 9 25 372.586364147616 0.260810454903331
2 -15 10 25 386.558219167753 0.270590753417427
2 -14 10 24 389.768244254668 0.272837770978268
2 -13 10 23 401.433761199462 0.281003632839623
2 -12 10 22 416.949088018596 0.291864361613017
2 -11 11 22 421.403977467549 0.294982784227284
2 -10 11 21 434.848879754677 0.304394215828274
2 -9 12 21 452.303513500948 0.316612459450663
2 -8 12 20 455.095213147898 0.318566649203529
2 -7 12 19 476.727321156078 0.333709124809254
2 -6 13 19 484.338113661591 0.339036679563114
2 -5 13 18 499.902227740993 0.349931559418695
2 -4 14 18 516.659370317212 0.361661559222048
2 -3 14 17 524.457836327094 0.367120485428966
2 -2 15 17 548.988237194873 0.384291766036411
2 -1 15 16 552.234958820472 0.38656447117433
2 0 16 16 581.418171278107 0.406992719894675
2 1 16 15 584.27770215184 0.408994391506288
2 2 17 15 614.134864568842 0.429894405198189
2 3 17 14 620.476610205443 0.43433362714381
2 4 18 14 646.932662881779 0.452852864017245
2 5 18 13 660.526548520957 0.46236858396467
2 6 19 13 679.938581703074 0.475957007192152
2 7 19 12 704.594547179972 0.493216183025981
2 8 20 12 713.101053020275 0.499170737114192
2 9 21 12 745.737346621973 0.522016142635381
2 10 21 11 756.20146686029 0.529341026802203
2 11 22 11 778.811248435561 0.545167873904892
1 -14 6 20 273.800450463964 0.00958301576623874
1 -13 7 20 282.916422747941 0.00990207479617795
1 -12 7 19 291.95069331214 0.0102182742659249
1 -11 7 18 303.107976656067 0.0106087791829623
1 -10 8 18 312.841290795277 0.0109494451778347
1 -9 8 17 323.294570433145 0.0113153099651601
1 -8 8 16 335.808573506145 0.0117533000727151
1 -7 9 16 346.822339349817 0.0121387818772436
1 -6 9 15 358.786786054732 0.0125575375119156
1 -5 9 14 373.70412578771 0.0130796444025698
1 -4 10 14 384.492573547806 0.0134572400741732
1 -3 10 13 402.007430585294 0.0140702600704853
1 -2 11 13 413.435779993099 0.0144702522997585
1 -1 11 12 431.75535975545 0.0151114375914408
1 1 12 12 444.489931922886 0.015557147617301
1 2 12 11 463.696594472702 0.0162293808065446
1 3 13 11 477.088522869569 0.0166980983004349
1 4 13 10 499.477867722054 0.0174817253702719
1 5 14 10 511.713176813522 0.0179099611884733
1 6 15 10 536.398633442864 0.0187739521705002
1 7 15 9 553.132404639467 0.0193596341623813
1 8 16 9 571.496067369289 0.0200023623579251
1 9 17 9 598.46951041162 0.0209464328644067
1 10 17 8 612.788359930066 0.0214475925975523
1 11 18 8 635.753394070211 0.0222513687924574
1 12 18 7 663.572161008565 0.0232250256352998
1 13 19 7 679.030191640183 0.0237660567074064
1 14 20 7 702.495540420127 0.0245873439147044
1 15 21 7 732.454826927064 0.0256359189424473
1 16 21 6 754.702955209313 0.0264146034323259
1 17 22 6 770.654104269687 0.026972893649439
