l n n_p n_g nu dnu
0 7 7 0 277.261519157489 0.00970415317051213
0 8 8 0 311.073015196921 0.0108875555318922
0 9 9 0 344.243343054352 0.0120485170069023
0 10 10 0 376.16582340553 0.0131658038191936
0 11 11 0 408.169218241511 0.0142859226384529
0 12 12 0 441.586842682114 0.015455539493874
0 13 13 0 475.839672378415 0.0166543885332445
0 14 14 0 509.992337676771 0.017849731818687
0 15 15 0 543.585597804098 0.0190254959231434
0 16 16 0 577.208354734344 0.020202292415702
0 17 17 0 611.267239823574 0.0213943533938251
0 18 18 0 645.970797409605 0.0226089779093362
0 19 19 0 680.885947720955 0.0238310081702334
0 20 20 0 715.915455045369 0.0250570409265879
0 21 21 0 750.72212194754 0.0262752742681639
0 22 22 0 785.380762295735 0.0274883266803507
2 -14 6 20 279.899113258538 0.195929379280976
2 -13 6 19 293.636053916643 0.20554523774165
2 -12 7 19 306.077106101593 0.214253974271115
2 -11 7 18 309.345912108302 0.216542138475812
2 -10 7 17 324.96046249708 0.227472323747956
2 -9 8 17 338.767005081383 0.237136903556968
2 -8 8 16 341.862936214932 0.239304055350452
2 -7 8 15 357.378704643166 0.250165093250217
2 -6 9 15 372.461974658242 0.260723382260769
2 -5 9 14 378.577897599412 0.265004528319589
2 -4 10 14 403.180241531743 0.28222616907222
2 -3 10 13 405.058215308445 0.283540750715911
2 -2 10 12 432.634157176965 0.302843910023876
2 -1 11 12 438.186007620526 0.306730205334368
2 0 11 11 465.763634527363 0.326034544169154
2 1 12 11 472.525419105028 0.33076779337352
2 2 13 11 502.774994614944 0.351942496230461
2 3 13 10 507.026252129443 0.35491837649061
2 4 14 10 540.23023828334 0.378161166798338
2 5 14 9 545.079264095862 0.381555484867103
2 6 15 9 574.16970059086 0.401918790413602
2 7 15 8 593.553198971357 0.41548723927995
2 8 16 8 608.322539755114 0.42582577782858
2 9 17 8 642.895782332955 0.450027047633068
2 10 17 7 654.573024603029 0.45820111722212
2 11 18 7 677.925982200954 0.474548187540668
2 12 19 7 712.92032344696 0.499044226412872
2 13 19 6 734.050384939207 0.513835269457445
2 14 20 6 747.839055940039 0.523487339158027
2 15 21 6 782.459322637103 0.547721525845972
1 -6 6 12 278.935257463819 0.00976273401123368
1 -5 6 11 286.72266476076 0.0100352932666266
1 -4 7 11 302.608515528263 0.0105912980434892
1 -3 7 10 318.168588301484 0.011135900590552
1 -2 8 10 329.606583863697 0.0115362304352294
1 -1 8 9 350.18539905178 0.0122564889668123
1 1 9 9 361.020093661932 0.0126357032781676
1 2 9 8 383.136550257125 0.0134097792589994
1 3 10 8 397.866920709518 0.0139253422248331
1 4 10 7 416.613457486529 0.0145814710120285
1 5 11 7 440.243161721589 0.0154085106602556
1 6 12 7 456.214004298702 0.0159674901504546
1 7 12 6 477.6712457374 0.016718493600809
1 8 13 6 502.142941538177 0.0175750029538362
1 9 14 6 525.98810809088 0.0184095837831808
1 10 14 5 541.900417383655 0.0189665146084279
1 11 15 5 566.586633664686 0.019830532178264
1 12 16 5 597.153129751958 0.0209003595413185
1 13 17 5 626.777355892903 0.0219372074562516
1 14 17 4 640.032586937659 0.0224011405428181
1 15 18 4 666.636716486759 0.0233322850770366
1 16 19 4 700.104611153982 0.0245036613903894
1 17 20 4 733.931491784064 0.0256876022124422
1 18 21 4 766.662675563453 0.0268331936447209
1 19 21 3 784.676866326055 0.0274636903214119
1 20 22 3 804.94851093591 0.0281731978827569
