l n n_p n_g nu dnu
0 9 9 0 434.296886405908 0.0152003910242068
0 10 10 0 477.361146409208 0.0167076401243223
0 11 11 0 521.272305096214 0.0182445306783675
0 12 12 0 565.441769845316 0.019790461944586
0 13 13 0 609.292490748772 0.021325237176207
0 14 14 0 652.557604826831 0.0228395161689391
0 15 15 0 695.506062642187 0.0243427121924765
0 16 16 0 738.71207450118 0.0258549226075413
0 17 17 0 782.58302528047 0.0273904058848165
0 18 18 0 827.179009359896 0.0289512653275964
0 19 19 0 872.326562686234 0.0305314296940182
0 20 20 0 917.740968312454 0.0321209338909359
0 21 21 0 963.157356450021 0.0337105074757507
0 22 22 0 1008.35785361793 0.0352925248766277
0 23 23 0 1053.2282099578 0.0368629873485232
0 24 24 0 1097.5931664934 0.0384157608272689
2 3 8 5 428.755895644424 0.300129126951097
2 4 8 4 434.754942378326 0.304328459664828
2 5 9 4 472.369895750431 0.330658927025302
2 6 10 4 516.375603000278 0.361462922100195
2 7 10 3 521.146695180666 0.364802686626466
2 8 11 3 561.169961452384 0.392818973016669
2 9 12 3 605.235209670823 0.423664646769576
2 10 12 2 636.466224292556 0.44552635700479
2 11 13 2 648.882628237444 0.454217839766211
2 12 14 2 691.817078406488 0.484271954884542
2 13 15 2 735.012793581614 0.51450895550713
2 14 16 2 778.825610986427 0.545177927690499
2 15 17 2 823.268400913174 0.576287880639222
2 16 17 1 844.900390408953 0.591430273286267
2 17 18 1 868.674435901611 0.608072105131128
2 18 19 1 913.964414522062 0.639775090165444
2 19 20 1 959.342165197188 0.671539515638032
2 20 21 1 1004.52478814007 0.703167351698051
2 21 22 1 1049.37013549776 0.734559094848432
2 22 23 1 1093.74468643766 0.765621280506364
1 7 8 2 446.270206335652 0.0156194572217478
1 8 9 2 476.277587583242 0.0166697155654135
1 9 10 2 505.748177991608 0.0177011862297063
1 10 11 2 544.590461562199 0.0190606661546769
1 11 12 2 586.139661413642 0.0205148881494775
1 12 12 1 623.723412682039 0.0218303194438714
1 13 13 1 641.69479434916 0.0224593178022206
1 14 14 1 675.520784743702 0.0236432274660296
1 15 15 1 717.059881770015 0.0250970958619505
1 16 16 1 759.897761131475 0.0265964216396016
1 17 17 1 803.678128947241 0.0281287345131534
1 18 18 1 848.203312306032 0.0296871159307111
1 19 19 1 893.209237511022 0.0312623233128858
1 20 20 1 938.403752400855 0.0328441313340299
1 21 21 1 983.520343116527 0.0344232120090784
1 22 21 0 1028.37182826806 0.0359930139893821
1 23 22 0 1072.88628442767 0.0375510199549685
1 24 23 0 1116.91941556182 0.0390921795446637
