l n n_p n_g nu dnu
0 7 7 0 275.564632814103 0.00964476214849361
0 8 8 0 309.06287171398 0.0108172005099893
0 9 9 0 341.960671819347 0.0119686235136771
0 10 10 0 373.457712404367 0.0130710199341528
0 11 11 0 405.447815968755 0.0141906735589064
0 12 12 0 438.708834235342 0.015354809198237
0 13 13 0 472.782694731198 0.0165473943155919
0 14 14 0 506.451541292768 0.0177258039452469
0 15 15 0 539.751519468653 0.0188913031814028
0 16 16 0 573.101539527163 0.0200585538834507
0 17 17 0 607.118473640322 0.0212491465774113
0 18 18 0 641.601177109612 0.0224560411988364
0 19 19 0 676.332117075881 0.0236716240976558
0 20 20 0 710.994757885888 0.0248848165260061
0 21 21 0 745.505136864341 0.0260926797902519
0 22 22 0 779.810252657636 0.0272933588430173
2 -16 6 22 270.988866483943 0.18969220653876
2 -15 6 21 275.422775029777 0.192795942520844
2 -14 6 20 287.348818287498 0.201144172801248
2 -13 7 20 301.465506232323 0.211025854362626
2 -12 7 19 304.769268967568 0.213338488277297
2 -11 7 18 317.533660352544 0.222273562246781
2 -10 8 18 333.662151772852 0.233563506240997
2 -9 8 17 338.04934254077 0.236634539778539
2 -8 8 16 350.157789828264 0.245110452879785
2 -7 9 16 366.851583453406 0.256796108417385
2 -6 9 15 370.369611247715 0.2592587278734
2 -5 9 14 388.898425891267 0.272228898123887
2 -4 10 14 401.93107879348 0.281351755155436
2 -3 10 13 414.854547071528 0.29039818295007
2 -2 11 13 435.197843609492 0.304638490526644
2 -1 11 12 444.929667110136 0.311450766977096
2 0 12 12 469.359371090466 0.328551559763326
2 1 12 11 479.202239471767 0.335441567630237
2 2 13 11 503.239703669793 0.352267792568855
2 3 13 10 517.654402667161 0.362358081867012
2 4 14 10 536.690664303894 0.375683465012726
2 5 14 9 560.604842168495 0.392423389517946
2 6 15 9 570.215509446288 0.399150856612401
2 7 16 9 603.925633696933 0.422747943587853
2 8 16 8 610.802137713727 0.427561496399609
2 9 17 8 638.635220326739 0.447044654228717
2 10 18 8 672.252653518089 0.470576857462662
2 11 18 7 674.322193220379 0.472025535254266
2 12 19 7 708.078370294121 0.495654859205885
2 13 20 7 742.524327620955 0.519767029334668
2 14 20 6 755.22380173996 0.528656661217972
2 15 21 6 776.956034972239 0.543869224480567
1 -6 6 12 282.24482618398 0.00987856891643929
1 -5 7 12 289.957033747763 0.0101484961811717
1 -4 7 11 308.872325388191 0.0108105313885867
1 -3 7 10 319.242014194997 0.0111734704968249
1 -2 8 10 335.794953977679 0.0117528233892188
1 -1 8 9 351.219304484521 0.0122926756569582
1 1 9 9 366.98744827118 0.0128445606894913
1 2 9 8 383.221321448656 0.013412746250703
1 3 10 8 404.133360310601 0.014144667610871
1 4 10 7 417.754795035633 0.0146214178262472
1 5 11 7 441.959879858673 0.0154685957950536
1 6 12 7 461.372074070848 0.0161480225924797
1 7 12 6 479.590030559919 0.0167856510695972
1 8 13 6 502.047855439905 0.0175716749403967
1 9 14 6 527.70022936383 0.018469508027734
1 10 14 5 548.406482336821 0.0191942268817887
1 11 15 5 565.371174070473 0.0197879910924666
1 12 16 5 594.292083593143 0.02080022292576
1 13 17 5 626.075297427169 0.0219126354099509
1 14 17 4 651.179145656989 0.0227912700979946
1 15 18 4 664.872195624004 0.0232705268468401
1 16 19 4 696.051382560047 0.0243617983896016
1 17 20 4 729.455989546742 0.025530959634136
1 18 21 4 762.901458032396 0.0267015510311338
1 19 21 3 794.379954142024 0.0278032983949708
1 20 22 3 808.717479292734 0.0283051117752457
