l n n_p n_g nu dnu
0 9 9 0 431.066879799431 0.0150873407929801
0 10 10 0 473.910250371986 0.0165868587630195
0 11 11 0 517.512130215146 0.0181129245575301
0 12 12 0 561.248779787873 0.0196437072925755
0 13 13 0 604.607055102311 0.0211612469285809
0 14 14 0 647.423621342753 0.0226598267469964
0 15 15 0 690.013755381602 0.0241504814383561
0 16 16 0 732.918567680632 0.0256521498688221
0 17 17 0 776.520326614123 0.0271782114314943
0 18 18 0 820.873243159576 0.0287305635105851
0 19 19 0 865.766930522743 0.030301842568296
0 20 20 0 910.858294861541 0.0318800403201539
0 21 21 0 955.859505462141 0.0334550826911749
0 22 22 0 1000.59564822134 0.0350208476877471
0 23 23 0 1045.02467276039 0.0365758635466137
0 24 24 0 1088.94176528619 0.0381129617850167
2 3 8 5 425.639093040112 0.297947365128079
2 4 8 4 449.166060398947 0.314416242279263
2 5 9 4 468.954437192162 0.328268106034513
2 6 10 4 512.868293057482 0.359007805140237
2 7 10 3 536.367750951587 0.375457425666111
2 8 11 3 557.045020329704 0.389931514230793
2 9 12 3 600.612152050093 0.420428506435065
2 10 13 3 643.513003708326 0.450459102595828
2 11 13 2 657.026423258662 0.459918496281064
2 12 14 2 686.372578868281 0.480460805207797
2 13 15 2 729.24983619091 0.510474885333637
2 14 16 2 772.79920723009 0.540959445061063
2 15 17 2 817.074279606206 0.571951995724345
2 16 18 2 861.640504728197 0.603148353309738
2 17 18 1 872.382150188853 0.610667505132197
2 18 19 1 907.170991552588 0.635019694086811
2 19 20 1 952.107945018388 0.666475561512871
2 20 21 1 996.823523502701 0.69777646645189
2 21 22 1 1041.23277997375 0.728862945981627
2 22 23 1 1085.22394157042 0.759656759099293
1 6 8 3 421.191306661165 0.0147416957331408
1 7 8 2 446.781565733047 0.0156373548006566
1 8 9 2 477.84232795428 0.0167244814783998
1 9 10 2 505.055352569372 0.017676937339928
1 10 11 2 541.783299532409 0.0189624154836343
1 11 12 2 582.806755064362 0.0203982364272527
1 12 12 1 623.490748651139 0.0218221762027899
1 13 13 1 652.48964023287 0.0228371374081505
1 14 14 1 672.75936392373 0.0235465777373306
1 15 15 1 711.963499475977 0.0249187224816592
1 16 16 1 754.244738938776 0.0263985658628571
1 17 17 1 797.684321248364 0.0279189512436927
1 18 18 1 841.928329622267 0.0294674915367793
1 19 19 1 886.631174749089 0.0310320911162181
1 20 20 1 931.445435954721 0.0326005902584152
1 21 21 1 976.106423900222 0.0341637248365078
1 22 21 0 1020.48945496594 0.0357171309238077
1 23 22 0 1064.58058311952 0.0372603204091831
1 24 23 0 1108.24073574005 0.0387884257509018
