l n n_p n_g nu dnu
0 10 10 0 505.565032887078 0.0176947761510477
0 11 11 0 551.629571958378 0.0193070350185432
0 12 12 0 598.330663161342 0.020941573210647
0 13 13 0 645.454879823027 0.0225909207938059
0 14 14 0 692.666442025553 0.0242433254708944
0 15 15 0 739.634981778023 0.0258872243622308
0 16 16 0 786.157395435085 0.027515508840228
0 17 17 0 832.362944844917 0.0291327030695721
0 18 18 0 878.70388400518 0.0307546359401813
0 19 19 0 925.601304373058 0.032396045653057
0 20 20 0 973.151913405775 0.0340603169692021
0 21 21 0 1021.21499530962 0.0357425248358368
0 22 22 0 1069.52697371267 0.0374334440799434
0 23 23 0 1117.84550088679 0.0391245925310377
0 24 24 0 1165.91613789947 0.0408070648264816
0 25 25 0 1213.52715874707 0.0424734505561474
2 7 9 2 500.508654137645 0.350356057896352
2 8 10 2 546.900386782245 0.382830270747571
2 9 11 2 592.536389181824 0.414775472427277
2 10 11 1 595.734311917831 0.417014018342482
2 11 12 1 641.270611406436 0.448889427984505
2 12 13 1 688.59798281211 0.482018587968477
2 13 14 1 735.665876205282 0.514966113343698
2 14 15 1 782.259059909834 0.547581341936884
2 15 16 1 828.481805182488 0.579937263627742
2 16 17 1 874.773037573353 0.612341126301347
2 17 18 1 921.55510654941 0.645088574584587
2 18 19 1 968.869401096419 0.678208580767493
2 19 19 0 1008.88778360281 0.706221448521964
2 20 20 0 1018.75787016035 0.713130509112245
2 21 21 0 1065.72860567525 0.746010023972678
2 22 22 0 1113.93116398343 0.779751814788402
2 23 23 0 1161.98489579381 0.81338942705567
2 24 24 0 1209.58728065236 0.846711096456651
1 9 9 1 494.313925314411 0.0173009873860044
1 10 10 1 531.731389344847 0.0186105986270696
1 11 11 1 575.639153425292 0.0201473703698852
1 12 12 1 621.542961939558 0.0217540036678845
1 13 13 1 668.173287541039 0.0233860650639364
1 14 14 1 714.896816434827 0.0250213885752189
1 15 15 1 761.342491731602 0.0266469872106061
1 16 16 1 807.414192704967 0.0282594967446739
1 17 17 1 853.378723574644 0.0298682553251125
1 18 17 0 899.707846989892 0.0314897746446462
1 19 18 0 946.698170188208 0.0331344359565873
1 20 19 0 994.314705055663 0.0348010146769482
1 21 20 0 1042.34230194035 0.0364819805679121
1 22 21 0 1090.51117658497 0.0381678911804738
1 23 22 0 1138.5918937509 0.0398507162812816
1 24 23 0 1186.21634297092 0.0415175720039823
