l n n_p n_g nu dnu
0 8 8 0 347.399877677406 0.0121589957187092
0 9 9 0 385.086293894543 0.013478020286309
0 10 10 0 423.273418143795 0.0148145696350328
0 11 11 0 461.247110484837 0.0161436488669693
0 12 12 0 498.174088926828 0.017436093112439
0 13 13 0 534.938964424025 0.0187228637548409
0 14 14 0 572.682356015663 0.0200438824605482
0 15 15 0 611.389024392275 0.0213986158537296
0 16 16 0 650.807480460842 0.0227782618161295
0 17 17 0 690.457242388401 0.024166003483594
0 18 18 0 729.770992614607 0.0255419847415112
0 19 19 0 768.752518502397 0.0269063381475839
0 20 20 0 807.647202645047 0.0282676520925766
0 21 21 0 846.525053595376 0.0296283768758382
0 22 22 0 885.559986317055 0.0309945995210969
0 23 23 0 924.815371645688 0.0323685380075991
2 -3 7 10 342.5851244461 0.23980958711227
2 -2 7 9 360.172849913989 0.252120994939792
2 -1 8 9 380.149427771689 0.266104599440182
2 0 8 8 392.45801546628 0.274720610826396
2 1 9 8 418.690504054911 0.293083352838438
2 2 9 7 435.149566475221 0.304604696532654
2 3 10 7 457.111892718997 0.319978324903298
2 4 10 6 488.899571333759 0.342229699933632
2 5 11 6 494.507483747581 0.346155238623307
2 6 12 6 531.282134869989 0.371897494408992
2 7 12 5 556.948208427533 0.389863745899273
2 8 13 5 569.142948160513 0.398400063712359
2 9 14 5 607.833844777062 0.425483691343943
2 10 15 5 646.355221634801 0.452448655144361
2 11 15 4 648.141133532011 0.453698793472408
2 12 16 4 687.029234344817 0.480920464041372
2 13 17 4 726.396302471233 0.508477411729863
2 14 18 4 765.334881795024 0.535734417256516
2 15 18 3 776.92692475199 0.543848847326393
2 16 19 3 804.370321899173 0.563059225329421
2 17 20 3 843.216103268986 0.59025127228829
2 18 21 3 882.207560491563 0.617545292344094
2 19 22 3 921.415972813116 0.644991180969181
1 2 7 6 345.875258557071 0.0121056340494975
1 3 7 5 357.988809956682 0.0125296083484839
1 4 8 5 391.692272365355 0.0137092295327874
1 5 9 5 408.422080880968 0.0142947728308339
1 6 9 4 431.215308664705 0.0150925358032647
1 7 10 4 460.167785189323 0.0161058724816263
1 8 11 4 486.092411967266 0.0170132344188543
1 9 11 3 511.344973656836 0.0178970740779893
1 10 12 3 530.866809948965 0.0185803383482138
1 11 13 3 559.051251127129 0.0195667937894495
1 12 14 3 594.157303680556 0.0207955056288195
1 13 15 3 631.163767480865 0.0220907318618303
1 14 15 2 665.303015831792 0.0232856055541127
1 15 16 2 680.791778659539 0.0238277122530838
1 16 17 2 712.019025239748 0.0249206658833912
1 17 18 2 749.750620580965 0.0262412717203338
1 18 19 2 787.947595252859 0.02757816583385
1 19 20 2 826.259951999207 0.0289190983199722
1 20 21 2 864.577156736957 0.0302602004857935
1 21 21 1 902.752562136889 0.0315963396747911
1 22 22 1 937.522516456391 0.0328132880759737
1 23 23 1 954.072061390834 0.0333925221486792
