l n n_p n_g nu dnu
0 7 7 0 269.43277763449 0.00943014721720715
0 8 8 0 302.176605376287 0.0105761811881701
0 9 9 0 333.587404460965 0.0116755591561338
0 10 10 0 364.311987445551 0.0127509195605943
0 11 11 0 395.997946560703 0.0138599281296246
0 12 12 0 428.933243855746 0.0150126635349511
0 13 13 0 461.621282418306 0.0161567448846407
0 14 14 0 493.91660779895 0.0172870812729633
0 15 15 0 526.155729396563 0.0184154505288797
0 16 16 0 559.172437694385 0.0195710353193035
0 17 17 0 592.67676448672 0.0207436867570352
0 18 18 0 626.391693490689 0.0219237092721741
0 19 19 0 659.988686072855 0.0230996040125499
0 20 20 0 693.436620079778 0.0242702817027922
0 21 21 0 726.867648364829 0.025440367692769
0 22 22 0 760.345786307468 0.0266121025207614
2 -20 6 26 263.605238753428 0.1845236671274
2 -19 6 25 265.558723162583 0.185891106213808
2 -18 6 24 275.0528642352 0.19253700496464
2 -17 6 23 285.751284031026 0.200025898821718
2 -16 7 23 295.119524851217 0.206583667395852
2 -15 7 22 298.705592834918 0.209093914984442
2 -14 7 21 307.046746437406 0.214932722506184
2 -13 7 20 320.490476882981 0.224343333818087
2 -12 8 20 329.923829259095 0.230946680481366
2 -11 8 19 336.445906660395 0.235512134662277
2 -10 8 18 353.864697794062 0.247705288455843
2 -9 9 18 360.778343160343 0.25254484021224
2 -8 9 17 372.73587360576 0.260915111524032
2 -7 10 17 391.071522059223 0.273750065441456
2 -6 10 16 393.403069983202 0.275382148988241
2 -5 10 15 411.613373685975 0.288129361580182
2 -4 11 15 425.610843683339 0.297927590578337
2 -3 11 14 434.948730984495 0.304464111689146
2 -2 12 14 458.406495801825 0.320884547061278
2 -1 12 13 463.387602588796 0.324371321812157
2 0 13 13 490.8547134573 0.34359829942011
2 1 13 12 496.931423577103 0.347851996503972
2 2 14 12 523.156659997246 0.366209661998072
2 3 14 11 535.778286640932 0.375044800648652
2 4 15 11 556.206796020609 0.389344757214426
2 5 15 10 580.11545472605 0.406080818308235
2 6 16 10 589.790864891334 0.412853605423934
2 7 17 10 623.290731835479 0.436303512284835
2 8 17 9 630.000541111694 0.441000378778186
2 9 18 9 657.120594495549 0.459984416146885
2 10 18 8 685.561517243035 0.479893062070124
2 11 19 8 690.927798835904 0.483649459185133
2 12 20 8 724.052484442198 0.506836739109538
2 13 21 8 754.750069223845 0.528325048456692
2 14 21 7 758.037149286307 0.530626004500415
1 -8 6 14 274.925466907768 0.00962239134177188
1 -7 6 13 280.655778818736 0.00982295225865577
1 -6 7 13 297.517157053862 0.0104131004968852
1 -5 7 12 309.626946902219 0.0108369431415777
1 -4 8 12 322.255960655712 0.0112789586229499
1 -3 8 11 337.818519522962 0.0118236481833037
1 -2 9 11 350.232689368427 0.0122581441278949
1 -1 9 10 366.754124118887 0.0128363943441611
1 1 10 10 380.804940007317 0.0133281729002561
1 2 10 9 399.581533806225 0.0139853536832179
1 3 11 9 414.309081305965 0.0145008178457088
1 4 11 8 435.484864966374 0.0152419702738231
1 5 12 8 452.820756719234 0.0158487264851732
1 6 12 7 471.904311535054 0.0165166509037269
1 7 13 7 492.06441737621 0.0172222546081673
1 8 14 7 514.008343588565 0.0179902920255998
1 9 14 6 533.487690294284 0.0186720691602999
1 10 15 6 552.235630024908 0.0193282470508718
1 11 16 6 580.078814212116 0.0203027584974241
1 12 17 6 607.820115116637 0.0212737040290823
1 13 17 5 621.173172804589 0.0217410610481606
1 14 18 5 647.096359228091 0.0226483725729832
1 15 19 5 678.832915401681 0.0237591520390588
1 16 20 5 710.417006248118 0.0248645952186841
1 17 20 4 731.177863747793 0.0255912252311728
1 18 21 4 747.250809083657 0.026153778317928
1 19 22 4 778.688502767154 0.0272540975968504
