l n n_p n_g nu dnu
0 9 9 0 443.867333860866 0.0155353566851303
0 10 10 0 487.617452474961 0.0170666108366236
0 11 11 0 532.291203485169 0.0186301921219809
0 12 12 0 577.550300557057 0.020214260519497
0 13 13 0 622.827924738644 0.0217989773658525
0 14 14 0 667.606730218491 0.0233662355576472
0 15 15 0 711.785901750554 0.0249125065612694
0 16 16 0 755.83964486424 0.0264543875702484
0 17 17 0 800.418781402059 0.0280146573490721
0 18 18 0 845.773133387164 0.0296020596685507
0 19 19 0 891.742129191189 0.0312109745216916
0 20 20 0 938.045378235374 0.0328315882382381
0 21 21 0 984.483180720474 0.0344569113252166
0 22 22 0 1030.8888814236 0.0360811108498259
0 23 23 0 1077.10838947589 0.0376987936316562
0 24 24 0 1122.90809442728 0.0393017833049547
2 5 8 3 467.52740944806 0.327269186613642
2 6 9 3 482.681250281924 0.337876875197347
2 7 10 3 527.623317614362 0.369336322330053
2 8 11 3 571.882785533343 0.40031794987334
2 9 11 2 574.601469360584 0.402221028552408
2 10 12 2 618.74818708666 0.433123730960662
2 11 13 2 663.698379205598 0.464588865443919
2 12 14 2 707.975601498021 0.495582921048614
2 13 15 2 751.806755217797 0.526264728652458
2 14 15 1 760.833508182907 0.532583455728035
2 15 16 1 796.721442752752 0.557705009926927
2 16 17 1 841.976205842207 0.589383344089545
2 17 18 1 887.878088344844 0.621514661841391
2 18 19 1 934.125284020771 0.65388769881454
2 19 20 1 980.512962915781 0.686359074041046
2 20 21 1 1026.84585761784 0.71879210033249
2 21 22 1 1072.84521916449 0.75099165341514
2 22 22 0 1108.38540714775 0.775869785003428
2 23 23 0 1120.44778011808 0.784313446082655
1 7 8 2 445.493296376078 0.0155922653731627
1 8 9 2 473.35858315932 0.0165675504105762
1 9 10 2 510.107740311965 0.0178537709109188
1 10 10 1 549.943332288608 0.0192480166301013
1 11 11 1 575.101368692916 0.0201285479042521
1 12 12 1 603.810877451514 0.021133380710803
1 13 13 1 646.035469378847 0.0226112414282596
1 14 14 1 689.516420273738 0.0241330747095808
1 15 15 1 732.992628740885 0.025654742005931
1 16 16 1 776.839789392774 0.0271893926287471
1 17 17 1 821.458614065335 0.0287510514922867
1 18 18 1 866.837966630061 0.0303393288320521
1 19 19 1 912.734432792643 0.0319457051477425
1 20 19 0 958.896496266102 0.0335613773693136
1 21 20 0 1005.1349262709 0.0351797224194816
1 22 21 0 1051.28199787256 0.0367948699255396
1 23 22 0 1097.17874254238 0.0384012559889835
1 24 23 0 1142.50927733193 0.0399878247066177
