\tablehead{\colhead{Name} & \colhead{$\tau/$Gyr} & \colhead{X$_{\mathrm{c}}$} & \colhead{log g} & \colhead{L$/$L$_\odot$} & \colhead{R$/$R$_\odot$} & \colhead{Y$_{\mathrm{surf}}$}}\startdata
10666592 & 2.25 $\pm$ 0.14 & 0.219 $\pm$ 0.033 & 4.01 $\pm$ 0.0065 & 5.53 $\pm$ 0.34 & 1.95 $\pm$ 0.022 & 0.3 $\pm$ 0.012 \\
10963065 & 5.24 $\pm$ 0.69 & 0.217 $\pm$ 0.039 & 4.29 $\pm$ 0.0067 & 1.9 $\pm$ 0.12 & 1.21 $\pm$ 0.025 & 0.257 $\pm$ 0.013 \\
11133306 & 4.72 $\pm$ 0.63 & 0.258 $\pm$ 0.051 & 4.32 $\pm$ 0.0097 & 1.71 $\pm$ 0.082 & 1.2 $\pm$ 0.02 & 0.247 $\pm$ 0.02 \\
11295426 & 6.8 $\pm$ 0.68 & 0.0962 $\pm$ 0.031 & 4.28 $\pm$ 0.0081 & 1.64 $\pm$ 0.1 & 1.26 $\pm$ 0.016 & 0.258 $\pm$ 0.018 \\
11401755 & 5.96 $\pm$ 0.44 & 0.045 $\pm$ 0.014 & 4.04 $\pm$ 0.0054 & 3.23 $\pm$ 0.16 & 1.66 $\pm$ 0.018 & 0.244 $\pm$ 0.015 \\
11807274 & 3.44 $\pm$ 0.7 & 0.236 $\pm$ 0.079 & 4.15 $\pm$ 0.012 & 3.51 $\pm$ 0.27 & 1.58 $\pm$ 0.032 & 0.256 $\pm$ 0.016 \\
11853905 & 6.63 $\pm$ 0.81 & 0.0476 $\pm$ 0.022 & 4.11 $\pm$ 0.0065 & 2.54 $\pm$ 0.19 & 1.57 $\pm$ 0.036 & 0.262 $\pm$ 0.011 \\
11904151 & 10.2 $\pm$ 1.3 & 0.097 $\pm$ 0.036 & 4.35 $\pm$ 0.0099 & 1.1 $\pm$ 0.06 & 1.06 $\pm$ 0.016 & 0.246 $\pm$ 0.013 \\
16CygA & 6.96 $\pm$ 0.57 & 0.0798 $\pm$ 0.023 & 4.28 $\pm$ 0.0071 & 1.63 $\pm$ 0.083 & 1.25 $\pm$ 0.016 & 0.253 $\pm$ 0.014 \\
16CygB & 7.3 $\pm$ 0.45 & 0.145 $\pm$ 0.023 & 4.35 $\pm$ 0.006 & 1.22 $\pm$ 0.067 & 1.11 $\pm$ 0.017 & 0.269 $\pm$ 0.0076 \\
Tagesstern & 4.4 $\pm$ 0.21 & 0.393 $\pm$ 0.011 & 4.44 $\pm$ 0.004 & 1.02 $\pm$ 0.05 & 1 $\pm$ 0.01 & 0.254 $\pm$ 0.0027 \\
Sun & 4.41 $\pm$ 0.11 & 0.391 $\pm$ 0.0069 & 4.45 $\pm$ 0.0023 & 1.01 $\pm$ 0.012 & 1 $\pm$ 0.0077 & 0.255 $\pm$ 0.0024 \\
