\tablehead{\colhead{Name} & \colhead{M$/$M$_\odot$} & \colhead{Y$_0$} & \colhead{Z$_0$} & \colhead{$\alpha_{\mathrm{MLT}}$} & \colhead{D} & \colhead{$\alpha_{\mathrm{ov}}$}}\startdata
10666592 & 1.44 $\pm$ 0.031 & 0.304 $\pm$ 0.0091 & 0.0254 $\pm$ 0.0025 & 1.75 $\pm$ 0.14 & 0.0745 $\pm$ 0.093 & 0.197 $\pm$ 0.043 \\
10963065 & 1.04 $\pm$ 0.045 & 0.276 $\pm$ 0.0079 & 0.0128 $\pm$ 0.0027 & 1.8 $\pm$ 0.078 & 0.588 $\pm$ 0.35 & 0.208 $\pm$ 0.031 \\
11133306 & 1.11 $\pm$ 0.042 & 0.268 $\pm$ 0.011 & 0.0196 $\pm$ 0.0033 & 1.86 $\pm$ 0.073 & 0.983 $\pm$ 0.59 & 0.167 $\pm$ 0.035 \\
11295426 & 1.1 $\pm$ 0.033 & 0.268 $\pm$ 0.014 & 0.0232 $\pm$ 0.0021 & 1.81 $\pm$ 0.072 & 0.407 $\pm$ 0.36 & 0.183 $\pm$ 0.031 \\
11401755 & 1.1 $\pm$ 0.019 & 0.274 $\pm$ 0.0042 & 0.0116 $\pm$ 0.0011 & 1.77 $\pm$ 0.027 & 0.958 $\pm$ 0.45 & 0.316 $\pm$ 0.032 \\
11807274 & 1.28 $\pm$ 0.062 & 0.273 $\pm$ 0.007 & 0.0195 $\pm$ 0.0034 & 1.81 $\pm$ 0.079 & 0.363 $\pm$ 0.33 & 0.186 $\pm$ 0.035 \\
11853905 & 1.15 $\pm$ 0.052 & 0.28 $\pm$ 0.0083 & 0.0224 $\pm$ 0.0035 & 1.83 $\pm$ 0.089 & 0.858 $\pm$ 0.53 & 0.277 $\pm$ 0.039 \\
11904151 & 0.917 $\pm$ 0.031 & 0.272 $\pm$ 0.008 & 0.015 $\pm$ 0.0026 & 1.85 $\pm$ 0.064 & 0.943 $\pm$ 0.44 & 0.25 $\pm$ 0.04 \\
16CygA & 1.09 $\pm$ 0.035 & 0.263 $\pm$ 0.014 & 0.022 $\pm$ 0.00069 & 1.84 $\pm$ 0.055 & 0.427 $\pm$ 0.23 & 0.193 $\pm$ 0.027 \\
16CygB & 1 $\pm$ 0.024 & 0.279 $\pm$ 0.0069 & 0.0206 $\pm$ 0.00061 & 1.77 $\pm$ 0.061 & 0.421 $\pm$ 0.12 & 0.178 $\pm$ 0.032 \\
Tagesstern & 1.02 $\pm$ 0.013 & 0.268 $\pm$ 0.0022 & 0.0197 $\pm$ 0.00074 & 1.87 $\pm$ 0.053 & 0.758 $\pm$ 0.1 & 0.182 $\pm$ 0.012 \\
Sun & 1.01 $\pm$ 0.011 & 0.269 $\pm$ 0.0017 & 0.0201 $\pm$ 0.0015 & 1.88 $\pm$ 0.015 & 0.738 $\pm$ 0.076 & 0.179 $\pm$ 0.0084 \\
