n l nu dnu
11 0 855.863606 1.62882780159 
12 0 928.591913 1.55769305841 
12 1 961.011936 1.33683212596 
13 0 1003.079665 0.877584032338 
13 1 1034.97819 1.17940688343 
13 2 1068.6622 1.63689824409 
14 0 1077.34604 0.512339463502 
14 1 1111.01774 0.617775020149 
14 2 1143.15856 1.60253087674 
15 0 1152.81164 0.326758534116 
15 1 1186.026425 0.42362308227 
15 2 1217.67346 1.34617169222 
16 0 1227.82076 0.290632022875 
16 1 1260.929185 0.303377775086 
16 2 1292.92329 0.701076406863 
17 0 1301.41432 0.371224653958 
17 1 1334.70683 0.264299633182 
17 2 1368.54835 0.47291604953 
18 0 1376.10244 0.174486153099 
18 1 1409.80862 0.218257353058 
18 2 1444.94912 0.541844819707 
19 0 1451.12515 0.270048779268 
19 1 1485.56065 0.249715612817 
19 2 1521.51405 0.658752685637 
20 0 1528.37159 0.309627523532 
20 1 1562.24826 0.209114968526 
20 2 1596.65645 0.674722507932 
21 0 1603.89325 0.32721787265 
21 1 1638.09231 0.325000366832 
21 2 1671.827405 0.714299833932 
22 0 1679.71206 0.393791630926 
22 1 1713.97041 0.349646227855 
23 0 1756.54255 0.612724972463 
23 1 1791.05555 0.539086750299 
24 0 1831.88985 0.638474378805 
24 1 1868.60205 0.810740894951 
25 0 1908.04939 1.27106898839 
25 1 1944.30964 0.88975959567 
26 1 2020.71253 1.57207807305 
