l n nu dnu n_g
0 2 121.293 0.122 0 
0 3 151.136 0.117 0 
0 4 180.221 0.111 0 
0 5 209.482 0.106 0 
0 6 238.594 0.101 0 
0 7 267.357 0.048 0 
0 8 294.737 0.027 0 
0 9 322.095 0.030 0 
0 10 350.551 0.020 0 
0 11 379.917 0.019 0 
0 12 408.728 0.014 0 
0 13 437.355 0.014 0 
0 14 466.112 0.017 0 
0 15 495.713 0.027 0 
0 16 525.535 0.049 0 
0 17 555.541 0.139 0 
0 18 585.149 0.174 0 
0 19 614.703 0.183 0 
0 20 644.759 0.192 0 
0 21 674.401 0.201 0 
0 22 704.354 0.211 0 
0 23 734.478 0.222 0 
1 -15 130.642 0.360 18 
1 -26 133.615 0.343 29 
1 -25 138.254 0.327 28 
1 -24 143.471 0.311 27 
1 -23 149.146 0.297 26 
1 -22 154.718 0.282 25 
1 -11 156.960 0.269 14 
1 -20 161.544 0.256 24 
1 -19 168.700 0.244 23 
1 -8 175.795 0.232 12 
1 -3 181.116 0.221 7 
1 -16 186.738 0.211 20 
1 -5 192.307 0.201 10 
1 -6 198.584 0.191 11 
1 -13 207.770 0.182 18 
1 -12 217.397 0.173 17 
1 -11 221.065 0.165 17 
1 -10 233.575 0.157 16 
1 -1 245.677 0.150 7 
1 -8 250.004 0.143 15 
1 -7 266.176 0.136 14 
1 2 274.143 0.129 5 
1 -5 286.572 0.123 13 
1 4 299.456 0.117 4 
1 -3 309.657 0.112 12 
1 6 325.259 0.106 3 
1 -1 336.909 0.100 11 
1 6 351.886 0.049 4 
1 1 367.612 0.036 10 
1 8 380.708 0.027 3 
1 9 399.212 0.022 3 
1 4 415.003 0.016 8 
1 11 429.574 0.016 2 
1 6 451.798 0.014 8 
1 7 467.727 0.017 7 
1 12 484.557 0.023 3 
1 9 509.592 0.047 7 
1 10 528.093 0.096 6 
1 13 544.689 0.202 4 
1 12 570.562 0.212 6 
1 13 595.700 0.223 5 
1 14 610.121 0.234 5 
1 17 632.207 0.246 3 
1 16 660.039 0.258 5 
1 17 687.283 0.271 5 
1 18 706.986 0.285 4 
1 19 724.402 0.299 4 
2 -51 127.705 0.531 53 
2 -49 132.181 0.506 51 
2 -48 133.185 0.482 50 
2 -46 138.164 0.459 49 
2 -45 141.688 0.437 48 
2 -44 144.620 0.416 47 
2 -43 145.601 0.396 46 
2 -42 148.421 0.377 45 
2 -41 151.329 0.359 44 
2 -40 154.660 0.342 43 
2 -39 159.070 0.326 42 
2 -38 162.360 0.310 41 
2 -37 164.196 0.296 40 
2 -35 172.144 0.282 39 
2 -34 176.457 0.268 38 
2 -33 177.401 0.255 37 
2 -32 181.891 0.243 36 
2 -31 186.953 0.232 35 
2 -30 192.678 0.221 34 
2 -29 198.144 0.210 34 
2 -28 202.301 0.200 33 
2 -27 204.827 0.191 32 
2 -26 210.694 0.182 31 
2 -25 215.611 0.173 30 
2 -24 220.285 0.165 29 
2 -23 226.866 0.157 28 
2 -22 234.013 0.149 28 
2 -21 235.830 0.142 27 
2 -20 244.129 0.135 26 
2 -19 253.204 0.129 25 
2 -18 262.852 0.123 25 
2 -17 264.097 0.117 24 
2 -16 274.407 0.111 23 
2 -15 285.630 0.106 22 
2 -14 290.690 0.101 22 
2 -13 298.089 0.096 21 
2 -12 309.647 0.092 20 
2 -11 317.912 0.087 20 
2 -10 322.161 0.083 19 
2 -9 334.344 0.079 18 
2 -8 347.317 0.075 18 
2 -7 351.116 0.072 17 
2 -6 370.345 0.068 16 
2 -5 376.872 0.065 16 
2 -4 392.288 0.062 15 
2 -3 405.850 0.040 15 
2 -2 417.243 0.032 14 
2 -1 434.467 0.026 14 
2 0 445.537 0.024 13 
2 1 463.295 0.037 13 
2 2 477.948 0.063 12 
2 3 492.814 0.166 12 
2 4 514.277 0.280 11 
2 5 522.682 0.294 11 
2 6 552.952 0.308 11 
2 7 557.368 0.324 10 
2 8 582.756 0.340 10 
2 9 608.222 0.357 9 
2 10 612.717 0.375 9 
2 11 641.935 0.393 9 
2 12 669.371 0.413 9 
2 13 672.855 0.434 8 
2 14 701.868 0.455 8 
2 15 731.275 0.478 8 
