M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.336424417968762990e+00 2.589419121093725629e-01 1.416528808593749307e-02 1.697289141601567630e+00 1.420384580078112302e-01 2.882705449218763705e-01 3.278277917768417371e+00 2.072263045591468122e-01 4.011321691187543337e+00 4.968046488963948626e+00 1.889150730836480108e+00 2.512356004467153903e-01
1.303912994140633996e+00 2.644278085937495359e-01 1.418006933593740811e-02 1.625009413085941379e+00 1.551607392578115974e-01 3.139343896484383389e-01 3.539680687357392053e+00 2.176090799977511148e-01 4.012480239542317584e+00 4.638247131625635511e+00 1.863139714681253167e+00 2.558616727165767268e-01
1.349542374023444902e+00 2.599246582031244923e-01 1.607156152343764549e-02 2.143519958984374085e+00 7.264886269531217744e-01 3.781068798828154387e-01 3.667778219726353317e+00 1.377067005214796247e-01 4.011152555793176866e+00 4.864913272842367853e+00 1.899606833638910919e+00 2.346017529392585566e-01
1.310559574218750800e+00 2.793837431640608382e-01 1.465897753906260023e-02 2.123849681640645137e+00 8.636646513671805137e-01 3.569037773437532257e-01 3.371354265251090609e+00 1.429459844602765095e-01 4.005013592193273020e+00 5.012011057496112088e+00 1.884907011073051031e+00 2.434064562335844784e-01
1.349754860351568109e+00 2.681456816406235788e-01 1.434308300781246721e-02 1.807567254882818331e+00 1.621437685546865681e-01 2.499428867187528380e-01 2.951000266811581785e+00 1.854190536731920302e-01 4.016883619921054915e+00 5.264058847420970189e+00 1.886204178849255397e+00 2.554996012911567860e-01
1.368821952148444154e+00 2.664609550781228964e-01 1.561263867187499300e-02 1.773722077148445209e+00 1.361163046874998284e-01 2.496335058593779355e-01 2.911629275565577935e+00 1.985505386186470211e-01 4.014705042908729204e+00 5.282575625393260310e+00 1.904540924593552509e+00 2.561400466655411323e-01
1.292164040039068595e+00 2.688248222656241526e-01 1.331926855468746132e-02 1.742112594726558994e+00 4.839766357421801946e-01 2.962834628906275136e-01 3.467381745285109229e+00 1.826322561898246766e-01 4.008047663392646953e+00 4.751040655159268766e+00 1.864494359383730204e+00 2.452524120702078980e-01
1.338229333007813660e+00 2.680824404296853203e-01 1.377774902343747651e-02 1.950988258789081220e+00 3.910634599609325024e-01 2.953217128906264199e-01 3.106207894774790201e+00 1.746572943565276592e-01 4.012299164569173904e+00 5.240683551270047147e+00 1.888074142817373957e+00 2.436114901010573430e-01
1.355688376953135377e+00 2.659544394531218603e-01 1.462085449218746697e-02 1.872250271484390716e+00 1.511686826171860787e-01 2.766929521484392529e-01 3.071306965299675173e+00 1.716972861641887782e-01 4.006798053532434345e+00 5.275299780997083410e+00 1.912699497912575763e+00 2.584041088617367588e-01
1.314523174804693273e+00 2.670778369140609509e-01 1.478362207031243269e-02 1.725234637695320705e+00 1.997546298828107858e-01 2.923433017578139781e-01 3.514874237430341442e+00 1.694175933304947756e-01 4.002581584537900916e+00 4.762986608891360163e+00 1.892169884851921058e+00 2.569796592338337016e-01
1.256204328125000824e+00 2.800901230468744729e-01 1.335574999999994752e-02 1.777489948242183537e+00 5.995987626953075411e-01 2.906821201171906344e-01 3.656438396216797670e+00 1.432383684384967992e-01 4.005394436389804191e+00 4.536372717925134523e+00 1.843705365043200040e+00 2.535906286281848221e-01
1.303570083007816294e+00 2.500664863281242822e-01 1.130631933593751436e-02 1.929971844726565688e+00 6.370759892578075068e-01 2.940869287109396657e-01 3.537991442636031270e+00 1.554903166241606571e-01 4.018060903850860122e+00 4.975782528153146700e+00 1.851117366970491673e+00 2.139547740665888598e-01
1.347278432617198929e+00 2.560605117187473301e-01 1.424615820312498740e-02 1.749792505859383729e+00 1.460211425781238470e-01 3.020703369140631533e-01 3.336347120513937003e+00 1.952980394333483083e-01 4.004169606197074849e+00 5.024401460203545611e+00 1.912717198948586494e+00 2.492644957012263018e-01
1.278887920898440722e+00 2.741461708984380685e-01 1.408164453124993373e-02 1.738477270507814199e+00 5.818512490234335477e-01 2.747375751953144429e-01 3.482027379794934596e+00 1.799261277956451799e-01 4.022144131954012103e+00 4.573194739761530236e+00 1.824169802084577574e+00 2.414856167282642962e-01
