M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.235135851562499054e+00 2.787806074218752150e-01 1.948157714843741853e-02 1.834498034179694370e+00 3.136300166015614788e-01 1.668975195312504545e-01 2.534887349821866476e+00 3.941456205604121354e-01 4.267914324348289767e+00 2.708488513136770415e+00 1.351529786125420740e+00 2.680365971290180616e-01
1.192949128906255707e+00 2.899254003906243660e-01 1.712107812499990764e-02 1.754035500976581119e+00 5.149089951171835766e-01 1.919733710937515936e-01 2.556052037727367221e+00 3.934746318819460353e-01 4.264862278630800141e+00 2.630786157289974003e+00 1.331727387293802911e+00 2.802258993698939493e-01
1.258186175781249139e+00 2.714982685546877272e-01 2.025788769531241401e-02 1.764379585937507544e+00 4.883390624999977003e-01 1.683779082031251206e-01 2.135154594613543289e+00 4.461542235034348103e-01 4.278791160877442046e+00 2.661022601838817003e+00 1.347481357309793903e+00 2.556455591736399580e-01
1.230741398437500633e+00 2.719232822265623684e-01 1.948144824218752541e-02 1.936609926757822731e+00 5.336381943359352897e-01 1.944606943359385720e-01 2.865197113909553561e+00 3.730657967292551058e-01 4.266948507792769796e+00 2.670253956765777925e+00 1.351395977147310745e+00 2.584552253678282785e-01
1.147025298828126871e+00 2.831943808593759271e-01 1.453149121093746422e-02 1.963179023437515269e+00 5.618293847656322115e-02 1.396019306640626512e-01 3.723904656568583604e+00 2.105789513092868603e-01 4.242572979519507292e+00 2.670073875395262863e+00 1.341115517275611513e+00 2.795471833247659132e-01
1.314929057617179264e+00 2.915217265625028586e-01 2.779718554687490156e-02 1.786793180664054681e+00 3.606908017578115966e-01 2.652203535156278935e-01 1.403686512363809813e+00 5.287740050454612373e-01 4.282975707189184966e+00 2.777840625098642047e+00 1.371141613216433797e+00 2.769169567125529530e-01
1.240540980468747723e+00 2.810637988281254329e-01 2.203156347656255384e-02 2.034900510742193802e+00 5.894377353515609652e-01 1.925378037109378437e-01 2.863196500637975817e+00 3.454490489349755777e-01 4.265395304324234083e+00 2.699977801059537885e+00 1.358493433741469802e+00 2.675372194388033753e-01
1.207658287109376394e+00 2.688723574218739309e-01 1.593973437500001422e-02 1.934532984375012310e+00 1.766256249999989258e-01 1.721979482421877594e-01 2.973634319076326360e+00 3.369085605973062281e-01 4.265126616788371905e+00 2.727446099855538098e+00 1.341215556276182497e+00 2.617246710501259233e-01
1.188435970703125122e+00 2.678358457031241868e-01 1.472208496093749437e-02 1.838536422851582808e+00 1.174151904296879406e-01 1.346730712890620851e-01 3.068475397699346185e+00 3.118057595275530725e-01 4.261664114817741655e+00 2.646490510833201082e+00 1.335780684417791964e+00 2.622089021350687554e-01
1.174165525390626685e+00 2.697613740234360846e-01 1.385810742187500513e-02 1.783678907226581734e+00 1.516506601562500889e-01 1.453677509765617659e-01 3.153265091066907555e+00 3.051191227896363767e-01 4.254046263361207281e+00 2.650863582815458308e+00 1.339684683402473597e+00 2.626804736704010934e-01
1.295496219726567810e+00 2.764902304687506529e-01 1.891327636718749886e-02 1.948798579101576500e+00 1.328807800781252491e+00 1.819980800781257624e-01 1.816437716621458476e+00 4.584968109175163731e-01 4.265717556409713396e+00 3.193984419407737807e+00 1.387132050053896837e+00 2.371514102974461580e-01
1.167088644531252273e+00 2.729754228515617887e-01 1.302183398437498259e-02 1.916013440429706227e+00 1.667174453125001288e-01 1.341668164062497226e-01 3.178100911472319101e+00 2.713710034919755154e-01 4.255696375366645690e+00 2.759977718640791000e+00 1.332965591614275747e+00 2.630305178794120624e-01
1.165177031249997608e+00 2.735479384765626132e-01 1.672630566406247549e-02 1.754423692382825584e+00 1.103356601562502370e-01 1.472423759765622564e-01 3.785540971889846062e+00 2.702423617299496983e-01 4.249567723479382941e+00 2.417009479051036802e+00 1.341884412067207322e+00 2.704137474148706199e-01
1.281552977539054838e+00 2.680417480468750280e-01 2.235991503906243835e-02 1.770414673828131225e+00 4.659146035156234711e-01 2.082918906250008639e-01 2.037327778498352782e+00 4.718194659694580628e-01 4.282276361109371265e+00 2.632652538598516223e+00 1.354800499922987456e+00 2.546094403689923014e-01
1.258198586914053729e+00 2.753183730468745649e-01 2.366845996093745047e-02 1.886639025390641544e+00 9.267035800781263655e-01 1.742214082031246780e-01 2.552754903834813405e+00 3.900221117261968296e-01 4.270684379971986466e+00 2.568318981485040897e+00 1.361367717381761544e+00 2.545623741849804000e-01
1.289646526367183688e+00 2.783529853515619434e-01 2.212800292968753260e-02 1.874355363281251741e+00 9.480304697265671265e-01 1.741485839843758543e-01 1.871781571511119902e+00 4.666071055363011366e-01 4.277599852388890511e+00 2.789030669755773406e+00 1.365172259776969099e+00 2.674077383254236384e-01
1.154746528320315990e+00 2.808881523437483096e-01 1.407722656250001009e-02 1.780508332031265128e+00 1.890304931640618413e-01 1.312884560546866142e-01 3.186605114937371308e+00 2.915746424584882424e-01 4.255422294660358595e+00 2.605347973340994105e+00 1.326431715649186938e+00 2.714958343278264241e-01
1.253119541015617067e+00 2.826147490234369730e-01 2.231786914062492549e-02 1.830786753906251230e+00 6.004439648437500665e-01 1.557946220703125273e-01 2.225680666125659624e+00 4.170595574114104864e-01 4.276292232291916129e+00 2.634770376418735349e+00 1.348518667104402491e+00 2.666925515639431699e-01
1.259078641601563131e+00 2.868243740234372452e-01 2.158751074218750315e-02 1.948995465820319684e+00 7.468788496093762275e-01 1.749568710937504656e-01 2.323998856853855433e+00 3.981188334756554648e-01 4.265568248201217827e+00 2.823174120563687328e+00 1.367887287805173102e+00 2.797557246487544225e-01
1.312905567382800953e+00 2.716182353515623205e-01 2.476860156250009284e-02 1.806711876953130291e+00 9.790043203125013971e-01 2.440263115234382607e-01 1.528130183720978197e+00 5.266655870109474558e-01 4.292910883873868322e+00 2.648119628311054186e+00 1.354601827977628181e+00 2.526317471652067548e-01
1.257487731445314116e+00 2.885271611328124597e-01 2.258678906249998730e-02 1.962158554687505774e+00 3.650259150390608998e-01 1.735289521484377484e-01 2.343387205010444507e+00 3.971985049172258031e-01 4.270594745277224824e+00 2.800821629840644977e+00 1.359494898042299615e+00 2.809297398880098995e-01
1.209102329101557682e+00 2.792009511718747117e-01 1.822968749999995253e-02 1.810141906250008148e+00 2.229366845703117384e-01 1.622365703125001613e-01 2.756712099155888218e+00 3.651629444927816937e-01 4.268043199798195353e+00 2.599511429709565835e+00 1.336544508341012127e+00 2.718221165119140692e-01
1.385835898437498770e+00 2.609927626953117974e-01 2.291935644531264277e-02 1.849339169921886628e+00 1.901453554687500436e+00 2.119610312500012084e-01 7.648657977127775176e-01 6.230847728219763848e-01 4.294505012690555290e+00 2.970617855782256012e+00 1.388432653839034803e+00 2.529234833942863858e-01
1.142086586914048407e+00 3.075032968750004425e-01 1.987940136718764281e-02 2.121871903320319497e+00 4.030826054687481341e-01 1.444371562499995043e-01 3.968351504575553967e+00 1.632126347710528280e-01 4.240676580260304362e+00 2.484303546003993279e+00 1.341372277486082787e+00 2.970859264429344671e-01
1.318719463867187303e+00 2.672888115234373640e-01 2.111622753906256325e-02 1.838364086914068052e+00 9.215322763671913719e-01 2.038787060546891072e-01 1.653576139933226274e+00 5.092531914108459068e-01 4.278634765505441528e+00 2.956637586405387541e+00 1.379357975669553538e+00 2.511351240051726275e-01
1.144978493164058309e+00 2.890801787109379961e-01 1.597904199218746699e-02 2.002278967773442719e+00 1.383833330078124146e-01 1.379381181640627618e-01 3.796339151858616479e+00 2.020479236583055949e-01 4.246656369800129838e+00 2.563861880607491095e+00 1.333872540825524977e+00 2.842002315643746835e-01
1.105969508789066191e+00 2.767641972656244009e-01 1.153808789062499285e-02 2.032131912109372163e+00 1.491861542968750121e-01 2.752137421875012757e-01 4.322516626841937715e+00 2.429456674516644044e-01 4.244637627890172737e+00 2.588247938476647469e+00 1.314713774921032252e+00 2.692789247333610692e-01
1.315101384765621662e+00 2.709588261718745006e-01 2.229114257812505467e-02 1.808209477539064691e+00 9.764440527343793974e-01 1.999907597656263303e-01 1.548840774732560766e+00 5.199379223338040923e-01 4.284621761896158176e+00 2.819886383677313368e+00 1.367865936063962673e+00 2.583366333637749368e-01
1.381251462890625836e+00 2.542904453124999464e-01 2.176523242187518997e-02 1.772498505859381845e+00 1.469022275390632570e+00 2.586677851562516062e-01 9.432808839163442372e-01 6.167420637472191824e-01 4.292028254372903362e+00 3.044470276929508223e+00 1.390639767468866195e+00 2.380316132958082420e-01
1.240964868164056822e+00 2.765707265624992583e-01 2.162168847656236945e-02 1.871206034179701216e+00 4.631866093749986146e-01 1.600496142578123060e-01 2.771269124551861474e+00 3.508019828981260302e-01 4.262372232473828682e+00 2.621799895893183407e+00 1.363803803472178222e+00 2.663147910212083080e-01
1.255558370117182410e+00 2.826057382812492413e-01 2.313054980468738642e-02 1.881809605468761415e+00 6.527107783203131008e-01 1.637652597656248932e-01 2.337474857488980096e+00 4.003166392843607868e-01 4.272977695699381684e+00 2.648922102563624925e+00 1.355300381847978519e+00 2.680053171522174260e-01
1.268958271484367240e+00 2.755211113281253454e-01 2.355563769531249588e-02 1.824200119140629850e+00 5.046381533203099234e-01 2.266695947265628119e-01 2.556786153184421817e+00 4.229917596277302239e-01 4.266258918384592036e+00 2.601415465918470282e+00 1.372882765335031285e+00 2.697981618878104171e-01
1.212882880859378565e+00 2.855522031249996817e-01 1.762156738281244958e-02 1.765407583984391238e+00 6.773406025390631413e-01 1.962494335937516321e-01 2.478156829014461771e+00 4.064707976271421663e-01 4.262938488260814118e+00 2.689131406520552936e+00 1.345277732177988739e+00 2.757052658221066377e-01
1.201086569335938270e+00 2.735005498046870209e-01 1.696921874999994181e-02 1.771766889648454413e+00 2.194038945312484223e-01 1.665548964843751312e-01 2.845719428991852151e+00 3.604908248803481152e-01 4.263265457757876575e+00 2.601954647605097648e+00 1.340298084438092951e+00 2.656168062650385853e-01
1.208007000976562217e+00 2.717334980468743555e-01 1.673659863281248827e-02 1.709586318359385348e+00 4.949974228515590102e-01 1.565342373046871016e-01 2.492834817121301505e+00 3.995973877083775494e-01 4.273509569181740630e+00 2.577483632782216372e+00 1.329145596965849441e+00 2.533153973836808071e-01
