M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.123125734375007179e+00 2.457483925781287493e-01 2.223898046875015522e-02 1.840535650390647593e+00 3.965131201171857578e-01 1.816459218749994775e-01 6.904741724221580945e+00 5.450456221857438027e-02 4.288785076910411220e+00 1.650118229781363466e+00 1.258893783715553161e+00 2.374096515506562699e-01
1.092796834960941599e+00 2.652105341796889282e-01 2.352866601562500146e-02 1.765557934570326504e+00 1.744674628906241476e-01 1.727663125000001854e-01 6.950662905832853511e+00 8.551728928397367424e-02 4.286784475101453218e+00 1.568488794817604948e+00 1.245563608787637833e+00 2.604511985364395543e-01
1.097072487304690203e+00 2.587663779296879851e-01 2.312852734374990990e-02 1.732466814453138992e+00 2.590644150390606915e-01 1.512355107421877176e-01 6.998612129316987840e+00 8.183215572210141009e-02 4.285612982700468088e+00 1.565419881634786625e+00 1.249850704173781191e+00 2.519711464938058643e-01
1.063937167968751485e+00 2.691697548828141939e-01 2.173385253906248357e-02 1.796171046875011168e+00 5.299688828125023177e-01 1.879750546874997819e-01 7.460214234627597030e+00 7.981043126078284089e-02 4.283222165024580974e+00 1.539004467558502398e+00 1.233144925154882721e+00 2.583745696404693426e-01
1.106960710937506809e+00 2.529240419921923722e-01 2.215025000000021838e-02 1.812240522460961012e+00 8.545779589843752189e-02 1.896141191406241489e-01 7.029893010719405311e+00 4.241026620809043579e-02 4.288936457163705640e+00 1.616597043065575834e+00 1.249426986180113941e+00 2.509038795311108183e-01
1.073932583007816577e+00 2.735598369140644359e-01 2.149942578125001863e-02 1.919638864257827704e+00 1.003949171875007984e+00 2.244376074218748518e-01 7.145238716048981864e+00 1.103424528930810611e-01 4.273963069224063105e+00 1.651508964081047637e+00 1.252296353162089204e+00 2.522581482873459957e-01
1.087888590820317081e+00 2.784550546875003696e-01 2.111645410156235553e-02 1.933486114257830346e+00 2.039032460937488800e-01 1.916393554687504108e-01 6.364128517237728211e+00 9.608243969003239793e-02 4.277109629150873005e+00 1.778813961727119697e+00 1.255708982033567400e+00 2.736122132534093976e-01
1.100278567382817485e+00 2.563858378906277991e-01 2.200221289062507732e-02 1.831598874023455892e+00 5.919649365234409544e-01 1.864057656249995809e-01 7.000989476285629287e+00 7.699863196843656499e-02 4.285941642008452845e+00 1.615281126597087447e+00 1.250348338481867438e+00 2.440707402995730690e-01
1.128527170898445897e+00 2.420966357421932003e-01 2.219155566406279603e-02 1.827753717773465292e+00 1.317840126953115087e-01 1.827796582031241679e-01 6.806154479765155862e+00 4.289854428279057247e-02 4.296937578320759066e+00 1.630548180099612887e+00 1.249964535763478546e+00 2.392073630463457112e-01
1.082732729492192680e+00 2.803104755859403552e-01 2.217053808593758696e-02 1.893337537109390345e+00 1.801393134765607307e-01 2.154591142578128338e-01 6.485328651424421942e+00 1.056115070739409162e-01 4.284490204115848577e+00 1.673676171645071431e+00 1.241705867594963930e+00 2.760162850380332156e-01
1.117208735351567839e+00 2.552770126953151086e-01 2.193995117187504812e-02 1.874568585937522291e+00 7.406626064453210034e-01 1.871090703124996257e-01 6.592977972221222061e+00 9.843640461184316459e-02 4.282118960919615525e+00 1.698214391416362989e+00 1.265414410068538054e+00 2.393613587794827247e-01
1.033856365234370189e+00 2.695727412109362731e-01 1.926794140624987772e-02 1.783370167968762798e+00 9.848472714843724551e-01 1.768670791015627408e-01 8.017092062419116871e+00 9.701961472347118975e-02 4.276600150974871895e+00 1.499877794274676823e+00 1.226125770706655294e+00 2.469944506635783910e-01
1.074258225585938531e+00 2.612793935546890989e-01 2.164372167968748456e-02 1.761919710937515982e+00 3.313635087890618447e-01 1.687261484374998344e-01 7.475373731156536472e+00 6.369809267082071624e-02 4.285045729434758144e+00 1.537607657408276651e+00 1.237010591191821884e+00 2.540450729910556094e-01
1.106182120117193080e+00 2.643723886718782334e-01 2.223799511718763111e-02 1.870392584960956617e+00 2.646295732421852231e-01 2.009935009765626279e-01 6.486427346376990144e+00 9.101499136873691942e-02 4.288135024046575872e+00 1.673309529803555629e+00 1.249763626155709684e+00 2.582906556592817759e-01
