M Y Z alpha diffusion overshoot age log_g L radius Y_surf X_c mass_cc
1.121220549316408022e+00 2.563162104492197613e-01 2.348729638671909550e-02 1.892169655273467699e+00 1.285067591796856368e+00 1.327953403320321912e-01 6.331969246423868825e+00 4.290598927327510914e+00 1.640914257661407971e+00 1.255902929575803295e+00 2.215762481462308087e-01 8.745669044816237192e-02 1.710175141826766887e-02
1.131828771972658298e+00 2.731280395507807435e-01 2.596923388671905711e-02 1.873387415527358657e+00 1.084404156738267844e+00 1.391388173828134178e-01 5.453051442621409173e+00 4.288767873286491117e+00 1.705944186902563997e+00 1.265635509411918713e+00 2.382218611154590937e-01 1.590803839876663017e-01 3.167632443123057084e-02
1.070456080566407842e+00 2.707613637695323594e-01 2.328838281250031339e-02 1.853729946777368687e+00 1.178215816406222638e+00 1.796039360351560366e-01 6.910551988479794794e+00 4.299466612012647460e+00 1.489759573085473576e+00 1.215411007199830973e+00 2.340366000949550551e-01 6.857759560688329870e-02 1.229436026017055594e-02
1.061391551757798979e+00 2.702257802734372438e-01 2.269368408203146364e-02 1.997180800292979619e+00 1.074837216796850736e+00 2.103833686523439717e-01 7.154355532359277348e+00 4.316598914889853589e+00 1.470232827618154436e+00 1.188354167820919960e+00 2.351231828430161153e-01 1.148690735171810778e-01 2.527153142358693622e-02
1.115316548828110932e+00 2.609252895507788161e-01 2.314267822265680258e-02 1.963442858886744746e+00 1.440988604980456111e+00 1.061161293945340478e-01 6.669862716665043934e+00 4.282279084835584726e+00 1.684980032052222132e+00 1.265044034008695029e+00 2.259825000781043036e-01 1.145957713871179895e-01 3.391555037089371422e-02
9.955848696289152366e-01 2.878896035156291444e-01 2.163671533203123665e-02 1.825250078125007613e+00 9.602350551757541375e-01 2.414523061523403957e-01 7.656022050641372978e+00 4.324299373044730999e+00 1.267559745712048880e+00 1.139738096443376092e+00 2.488332398346832230e-01 5.366790318880531457e-02 4.281033312940575423e-03
1.073444645019530741e+00 2.675520751953129328e-01 2.135272070312536560e-02 1.930067685058615590e+00 1.376326476562483414e+00 1.578107900390631202e-01 6.870155300509201979e+00 4.295260648586855190e+00 1.580289934538850583e+00 1.222765419685568178e+00 2.307803663272119943e-01 7.837909686629448980e-02 1.869015792746889920e-02
1.097856581054691638e+00 2.606047172851586602e-01 2.259427587890651748e-02 1.865238839843766927e+00 1.292973394042944868e+00 1.370556992187513257e-01 6.763253097717821127e+00 4.285288786357583923e+00 1.603238333343682154e+00 1.250346458341350608e+00 2.242127910581438177e-01 7.889815556879446745e-02 1.765489483596991566e-02
1.128593647949223566e+00 2.712012753906248852e-01 2.329614794921911272e-02 1.930131850585944830e+00 1.214908945312489941e+00 1.102539682617205141e-01 5.645487518738929289e+00 4.271184591736039593e+00 1.822445999036114372e+00 1.289041802943672543e+00 2.354368389844500586e-01 1.393342283264005221e-01 3.834259417840654022e-02
1.058558944824212089e+00 2.751586132812501306e-01 2.299357617187518937e-02 1.907186096191419322e+00 1.158925143554662140e+00 1.972259736328109414e-01 6.813253968353391699e+00 4.316810205942953615e+00 1.449657454685632452e+00 1.186339290271453129e+00 2.390136641357634983e-01 1.221043491308095030e-01 2.070240893142648655e-02
1.119256472656254386e+00 2.552829892578154514e-01 2.340118847656274398e-02 1.871545188476590571e+00 1.164657354003884704e+00 1.390193886718754657e-01 6.340454107056467947e+00 4.291868655076817696e+00 1.623993265817281095e+00 1.253002563988178109e+00 2.204849947856104553e-01 7.202250439301705054e-02 1.188843272445495695e-02
1.062712922851571484e+00 2.725773491210961574e-01 2.227265966796890956e-02 1.862695014648457992e+00 1.108402044433571820e+00 2.113169370117185808e-01 6.719492851809733658e+00 4.306288468556100035e+00 1.515729315059298754e+00 1.205108538533605333e+00 2.350943278873178499e-01 8.400456462406800939e-02 1.098209623675439062e-02
1.104021448242190617e+00 2.602524858398444496e-01 2.257147412109410459e-02 1.905871633300811663e+00 1.311958187499981943e+00 1.652536494140624812e-01 6.255067846856913860e+00 4.304417379862248261e+00 1.591879331340110060e+00 1.227343756466431568e+00 2.256379466380522836e-01 1.019059376320741450e-01 1.638625731609250763e-02
1.148903979003904618e+00 2.591083540039053057e-01 2.321545458984437468e-02 1.989487864257822203e+00 1.427955302734368770e+00 7.833547412109434505e-02 5.720044495669807105e+00 4.278349331814742307e+00 1.833957614794232693e+00 1.289400527477401415e+00 2.251066158621323754e-01 1.397870367937732450e-01 3.719827775171943157e-02
1.073406524902335679e+00 2.717659907226556704e-01 2.320156738281289183e-02 1.895254406738300590e+00 1.280963556640602574e+00 1.399138457031261218e-01 7.134090985257485862e+00 4.288578535255585855e+00 1.546812906038851132e+00 1.232345502161053430e+00 2.345900867710803694e-01 8.098605402506817152e-02 2.169976904104118157e-02
1.120679823730458047e+00 2.778730659179682871e-01 2.397085302734407175e-02 1.936763505859390833e+00 1.139269557617173634e+00 1.462820380859388147e-01 5.699928342733418418e+00 4.271399506823762238e+00 1.789920204150807326e+00 1.284234706239874457e+00 2.423633393219924437e-01 1.759355229267541287e-01 4.920805434522981803e-02
1.116475483398445601e+00 2.725082207031259696e-01 2.294230761718780640e-02 1.873820505371093903e+00 1.053050782714830769e+00 1.172750263671891446e-01 5.529686819893570693e+00 4.278089525450390340e+00 1.771470851788773615e+00 1.272332145369541534e+00 2.355065491712723946e-01 1.462934078306586672e-01 3.224031623414264081e-02
1.097818649902341237e+00 2.688898696289059309e-01 2.423252587890660156e-02 1.910990188964861280e+00 1.199073147460919753e+00 1.806091948242186940e-01 6.302744052041104439e+00 4.306601044479355878e+00 1.591411229859572396e+00 1.225168287419735602e+00 2.329654208625694667e-01 1.365159285213449480e-01 2.318518772113178569e-02
1.025307239257806202e+00 2.707931147460961308e-01 2.161194677734394609e-02 2.020428277832038155e+00 9.741373979491968482e-01 2.489915615234385426e-01 7.738913540237308375e+00 4.337267055924636239e+00 1.328142592785620968e+00 1.139007600442631940e+00 2.350897493669660554e-01 6.892291549419550523e-02 8.829359711148919432e-03
1.109015572753915047e+00 2.770892167968740938e-01 2.253680810546907290e-02 1.906286006347661210e+00 1.057095311523429393e+00 1.059308374023451571e-01 5.504923594291926570e+00 4.276830385074258167e+00 1.799684337979937876e+00 1.269642823174778501e+00 2.392596819389373186e-01 1.284678037439557496e-01 3.143955443323150772e-02
1.121932080566410361e+00 2.783705356445301815e-01 2.447075732421919586e-02 1.926548643554702567e+00 1.208680127441402075e+00 1.042352651367201843e-01 5.571251529273981262e+00 4.274317952711855106e+00 1.793702619323601644e+00 1.280713899711600989e+00 2.423450366604398554e-01 1.384408030565995318e-01 3.775633884262599022e-02
1.116581988769537626e+00 2.808100239257801944e-01 2.254510302734411692e-02 1.927075724609385921e+00 1.170566141113278169e+00 1.056361474609392170e-01 5.565264029481208574e+00 4.254708973818334350e+00 1.905804473115348063e+00 1.306947701281141461e+00 2.432574875891006239e-01 1.332184231251552775e-01 4.422483362859608996e-02
1.084605657714846627e+00 2.669598256835943872e-01 2.234953564453159847e-02 1.923477334472691425e+00 1.251022486816394608e+00 1.716357177734376960e-01 6.523993211455067609e+00 4.300737787692114011e+00 1.574946004401587496e+00 1.221629166247801157e+00 2.312508985656444027e-01 6.030932032785187025e-02 1.115272518562375643e-02
1.021007291503908565e+00 2.813345336914087613e-01 2.177013476562518132e-02 1.904896478515641034e+00 1.090008603515596919e+00 2.274183134765605518e-01 7.272222820755284367e+00 4.327205303601020958e+00 1.343561242895895846e+00 1.149967019840641314e+00 2.440319954038078221e-01 7.335731662878493264e-02 8.769780613939211558e-03
1.017810215820306619e+00 2.724857651367225686e-01 2.318338818359396911e-02 2.040420421874983958e+00 1.010368657226542677e+00 2.999062319335943361e-01 7.928535546214422247e+00 4.355358866927826256e+00 1.232583745034133482e+00 1.111939059462420998e+00 2.378551498201652292e-01 8.539915629904004657e-02 7.251137622287103304e-03
1.077399454101565679e+00 2.711268281249998857e-01 2.210709082031279277e-02 1.911421145019549739e+00 1.251874507324202357e+00 1.842279941406246846e-01 6.560545536129800404e+00 4.298473043474035471e+00 1.599939745832881455e+00 1.223651018115109901e+00 2.340529231522586184e-01 9.877882269560057937e-02 1.870201108043256788e-02
1.094394301269536296e+00 2.736470434570291155e-01 2.333560546875009314e-02 1.905449584472689306e+00 9.645875322265639040e-01 1.195591123046871318e-01 5.801183786393729669e+00 4.303014464434053110e+00 1.614996967493042890e+00 1.223424881104367534e+00 2.375438870451996309e-01 7.342358390683810521e-02 1.085100202237787061e-02
1.088689793457036759e+00 2.662531416015633812e-01 2.305854150390648089e-02 1.871361308105495391e+00 1.201205503417949183e+00 1.632844848632818147e-01 6.616683171022676113e+00 4.293951193803317246e+00 1.566432361247581451e+00 1.233484625605111518e+00 2.300088078618932330e-01 7.284103387515328265e-02 1.402691293538617552e-02
1.108422987792977432e+00 2.668921108398454867e-01 2.499029345703145805e-02 1.812598522949221413e+00 1.037000228515606137e+00 1.559451269531258177e-01 6.290986310211759580e+00 4.286635187851097761e+00 1.594301412590856559e+00 1.255810069343767044e+00 2.309379024981573492e-01 1.051926137908595488e-01 2.040184630757380102e-02
1.070410235351567874e+00 2.695855263671877444e-01 2.171021093750027942e-02 1.919852544921899051e+00 1.332753816406231362e+00 1.868274960937496565e-01 6.616901111253399748e+00 4.307900348445924621e+00 1.532061449172291256e+00 1.204146918321857385e+00 2.335081300711344399e-01 8.351736566633395642e-02 1.443214291133480646e-02
1.045689494628919469e+00 2.764547041015674167e-01 2.268140039062491869e-02 1.758197404785162510e+00 9.848433310546681474e-01 1.850283613281239470e-01 6.949410692350483032e+00 4.305646987891425859e+00 1.404598860446191200e+00 1.194500557790411088e+00 2.378927646840151011e-01 7.484874298819788052e-02 7.923859323546262809e-03
1.083565208984373696e+00 2.693146323242192053e-01 2.276235986328156019e-02 1.887460686035161928e+00 1.214260313476540842e+00 1.530203178710939638e-01 6.817856278576129192e+00 4.288141101125034993e+00 1.593229695504752019e+00 1.240425598934529416e+00 2.325399269287123649e-01 9.794721618574894761e-02 2.454159750357999895e-02
1.132822324218748733e+00 2.642403574218757933e-01 2.480700292968782486e-02 1.869065016113302002e+00 1.162489828124985580e+00 1.307470590820321854e-01 5.661528092108645716e+00 4.290795510745724073e+00 1.683970761456711429e+00 1.262517821061306389e+00 2.295237288692602018e-01 1.425253011466168507e-01 2.671667271500690471e-02
