M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.224971538085936507e+00 2.845862714843758190e-01 2.652713769531257412e-02 1.788654454101562319e+00 2.085692275390616246e-01 2.513956240234390682e-01 5.669580984401165757e+00 3.998083304195741705e-02 4.074842935981978442e+00 3.002705710711143894e+00 1.683701215602466883e+00 2.792275107548997659e-01
1.141970820312497858e+00 2.780266191406252640e-01 2.217318457031255963e-02 1.732648232421879042e+00 3.355460146484385286e-01 3.119104824218753014e-01 6.796112563229558035e+00 8.338370558743567196e-02 4.105301633782807436e+00 2.594834726566436434e+00 1.572365416140073302e+00 2.696630325795771332e-01
1.267402587890622323e+00 2.798305517578134616e-01 2.965987890624998541e-02 1.745071294921879401e+00 1.193373271484373943e-01 2.323060849609386580e-01 4.889155823459298666e+00 1.509743481930115594e-01 4.123660852803933352e+00 2.869332388604043160e+00 1.625108029620259575e+00 2.766957248972401473e-01
1.112568992187501271e+00 2.781777402343753036e-01 2.184197167968753364e-02 1.727792426757817523e+00 7.374864150390647577e-01 3.431169306640637906e-01 7.689966363817935857e+00 4.821877826570167280e-02 4.072067245955133252e+00 2.643082170189348545e+00 1.606597370385957735e+00 2.543626602111729862e-01
1.285724579101558795e+00 2.789869560546888727e-01 2.936025781249991529e-02 1.702204183593756248e+00 1.848720732421869073e-01 2.695606962890635394e-01 5.210739948037821812e+00 1.025775369197243214e-01 4.064351629307330960e+00 3.062553671541215383e+00 1.748541085181185561e+00 2.746746265539320997e-01
1.164343833007818185e+00 2.789263730468750091e-01 2.453596093749998985e-02 1.743426963867193535e+00 2.968929580078121244e-01 3.214199658203135135e-01 6.870767000033249694e+00 4.808187019626897901e-02 4.077536635747001093e+00 2.725499795622654542e+00 1.636144552229542359e+00 2.710100701144720348e-01
1.251851372070311719e+00 2.821135244140636211e-01 2.733672753906253236e-02 1.809907391601564441e+00 1.829056972656246949e-01 2.411897333984386327e-01 5.178972212180131152e+00 7.233900304184798236e-02 4.085825850793971092e+00 3.136798834468883079e+00 1.682207287686248609e+00 2.762538789740335843e-01
1.270143714843750882e+00 2.850926132812511282e-01 2.821735253906256305e-02 1.840093271484377846e+00 2.286452929687498858e-01 2.173473193359383437e-01 4.958358849328171836e+00 5.190558658338242926e-02 4.073269553871085691e+00 3.307944003349501561e+00 1.716214864254324235e+00 2.777162665585556911e-01
1.264774224609370501e+00 2.832067763671888283e-01 2.736108789062501739e-02 1.713365218750001473e+00 1.957654638671870728e-01 2.419115878906259731e-01 4.926616307590381716e+00 1.288052128022083853e-01 4.093188848609061736e+00 3.061656853578798021e+00 1.677501228919971554e+00 2.783063332065925932e-01
1.293619032226560162e+00 2.800258769531266401e-01 3.169950292968724131e-02 1.996704284179705358e+00 2.056837412109361607e-01 3.712724755859383441e-01 5.613402641269929383e+00 4.792769505340995634e-02 4.065675318207305544e+00 3.065691581562054235e+00 1.747600716661775744e+00 2.758233905413750575e-01
1.141075519531250304e+00 2.788545732421882084e-01 2.180883886718754452e-02 1.754907842773441917e+00 3.955954072265633337e-01 3.128146220703127423e-01 6.934095683213011618e+00 5.119000199578431498e-02 4.085191903885128539e+00 2.745609228439639615e+00 1.605909611366810319e+00 2.680768052916969735e-01
1.132747246093751103e+00 2.789697490234376853e-01 2.196694824218752701e-02 1.763217060546878656e+00 3.623467177734388533e-01 3.508128984375005199e-01 7.237710236234177863e+00 4.946027906742988395e-02 4.068497191924409506e+00 2.832211912012382982e+00 1.627809545821416348e+00 2.662112201821680291e-01
1.214531394531242370e+00 2.838817558593751400e-01 2.276896093749994701e-02 1.725021786132816981e+00 7.480761015624977084e-01 2.515833349609374325e-01 4.989323820510646712e+00 1.522880044770669739e-01 4.113217504054967222e+00 2.925011692949790909e+00 1.606903518149228161e+00 2.651187302700020454e-01
1.234505480468750305e+00 2.774380000000007396e-01 2.843698242187500322e-02 1.817604048828132646e+00 4.602432978515627049e-01 3.152905712890634593e-01 6.230929401393971112e+00 4.904825502570583917e-02 4.069199480290746962e+00 2.823278926945435696e+00 1.700475979751555178e+00 2.682683871525584074e-01
1.193160513671877698e+00 2.810549238281253026e-01 2.657808984375000308e-02 1.795648193359380640e+00 3.827895468750005525e-01 3.286827021484383105e-01 6.670620108129781123e+00 3.581106802673229145e-02 4.063074191571507399e+00 2.846888416119381482e+00 1.683574652221288437e+00 2.721051121288944330e-01
1.146757609375000486e+00 2.773485009765626619e-01 2.266287890625001342e-02 1.774477337890628226e+00 3.961457353515639990e-01 3.375047226562510883e-01 6.963596629811234173e+00 6.880719605645338466e-02 4.083082184996344566e+00 2.809663683829158654e+00 1.612370106939631675e+00 2.644965745059089102e-01
1.265606580078122212e+00 2.864911816406267575e-01 2.773557421875003093e-02 1.749648484374999313e+00 1.431078769531245742e-01 2.255542568359387989e-01 4.832184938118353479e+00 1.025513194225881192e-01 4.089341391288972893e+00 3.125260793540231230e+00 1.684835932984619422e+00 2.817546142270596077e-01
1.303877578124992942e+00 2.739609355468755614e-01 2.984673242187493858e-02 1.688629382812506075e+00 1.821632695312491168e-01 2.808903906250009852e-01 4.734255232875728581e+00 1.857521142055734709e-01 4.096064874771720987e+00 3.070731168572199188e+00 1.696867883694225254e+00 2.685577691939146083e-01
1.126737471679688074e+00 2.824046210937505852e-01 2.069649218750006098e-02 1.732693889648439178e+00 3.740895791015637073e-01 3.299526337890631433e-01 7.040362107924618584e+00 4.516572729207258413e-02 4.069863361398748935e+00 2.799615949677174864e+00 1.623518300586352714e+00 2.707065211902360824e-01
1.129867845703128593e+00 2.799211249999997153e-01 2.202882421875004479e-02 1.726600949218753067e+00 4.561133906250022241e-01 3.534817080078135332e-01 7.418154600959326217e+00 3.682575765458653144e-02 4.059058919593188541e+00 2.733465908578004200e+00 1.646504597194685893e+00 2.670887480209168108e-01
1.238075550781237100e+00 2.802709199218766933e-01 2.478682519531241052e-02 1.680655910156240385e+00 8.563456152343849881e-02 3.163134287109354292e-01 5.401247972237080752e+00 1.135069279073063347e-01 4.068122794974460277e+00 2.875012667809831779e+00 1.704510409165116647e+00 2.779560478626822428e-01
1.183764088867188535e+00 2.783704277343754252e-01 2.474944238281249695e-02 1.804166784179690675e+00 2.857742109374995509e-01 3.085756650390633626e-01 6.304014112732257757e+00 7.390496452371232705e-02 4.091259454383384231e+00 2.879925563276423350e+00 1.624599356516554183e+00 2.696663566677068302e-01
1.142666077148441151e+00 2.793305048828128023e-01 2.350438671874997137e-02 1.731879511718753761e+00 3.265980810546886826e-01 3.483704882812506121e-01 7.367321640258223781e+00 3.875457657551562018e-02 4.066899288984440197e+00 2.684632732771460528e+00 1.639992213313942404e+00 2.701155208650860562e-01
1.178172015625001734e+00 2.786879775390631586e-01 2.448558984374996778e-02 1.795782777343754688e+00 2.854290615234368333e-01 3.142658984375008013e-01 6.578044587785216279e+00 4.221796938282085243e-02 4.072973847380965573e+00 2.930872339452614828e+00 1.653693663432835415e+00 2.702823080627950736e-01
1.233427662109368494e+00 2.845694238281265553e-01 2.554098242187515660e-02 1.777538576171870277e+00 2.397640146484378010e-01 2.092750400390636645e-01 5.057230996681678192e+00 8.120199739222577762e-02 4.105114520484968388e+00 2.898818236781168789e+00 1.633368969832287965e+00 2.776238170785588211e-01
1.219902048828127139e+00 2.801703837890633375e-01 2.670244921874997263e-02 1.782537197265629647e+00 2.491349892578112180e-01 2.752954218750006121e-01 5.996005824496288383e+00 4.112312824402789696e-02 4.070834576290152107e+00 2.975577281390034301e+00 1.688146446040774462e+00 2.730440208331532670e-01
1.219808251953121259e+00 2.784524941406253951e-01 2.426815722656259014e-02 1.747944409179689407e+00 2.260264169921875621e-01 2.795331503906250958e-01 5.789133116315969829e+00 6.244379852586721263e-02 4.072098680003651161e+00 2.966667757295419428e+00 1.686448490082306462e+00 2.725002248253898807e-01
1.133158058593752404e+00 2.761287812500001770e-01 2.362923339843750817e-02 1.727788613281254104e+00 6.427585654296895656e-01 3.371107167968763196e-01 7.460029498327502395e+00 7.533025852829715319e-02 4.090718703821834445e+00 2.553898554279931510e+00 1.589624230795245063e+00 2.558236357726065280e-01
1.264546659179681898e+00 2.852363662109388964e-01 2.726619433593754915e-02 1.706280246093749842e+00 2.127457265624996818e-01 2.320229863281258187e-01 4.841224427722397472e+00 1.289757332395765899e-01 4.092259552166559899e+00 3.068996761346189484e+00 1.677887859702071660e+00 2.793670346893036283e-01
1.294825127929689623e+00 2.910833740234393674e-01 3.096710839843758861e-02 1.791524452148440361e+00 1.593077353515621464e-01 1.786058193359382207e-01 4.330228590919366738e+00 1.135943142746108359e-01 4.104624333490599852e+00 3.149689577777511129e+00 1.673129251311884502e+00 2.863557773248695537e-01
1.148543197265627702e+00 2.831611992187503257e-01 2.382293847656256208e-02 1.737135619140626863e+00 4.921427646484412555e-01 3.470533193359382484e-01 7.294682350902341739e+00 3.306176973637553473e-02 4.063331412462965808e+00 2.625099545401248680e+00 1.651395399287427290e+00 2.726419147220137673e-01
