M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
9.933639443359391086e-01 2.833046005859385930e-01 2.046771191406234619e-02 1.759721780273451053e+00 3.242030634765629693e-01 1.815907285156251327e-01 7.376082146055581212e+00 1.365795929473327952e-01 4.352811082391324859e+00 1.210922308167036165e+00 1.101886935801533962e+00 2.749192555345700284e-01
1.001198921875004144e+00 2.842132714843764729e-01 2.051845312499984975e-02 1.796965046875012240e+00 3.754185517578138009e-01 1.943683212890628398e-01 7.139721115309270338e+00 1.386655952483033249e-01 4.351953530304018436e+00 1.256557503677960153e+00 1.107157250349009914e+00 2.751761993861923106e-01
1.027414739257808352e+00 2.693863398437492118e-01 2.031044140624983438e-02 1.724592349609389119e+00 3.741041357421893143e-01 1.423388691406245743e-01 6.960990751479813277e+00 1.597333139698748905e-01 4.346133328293431575e+00 1.270393427645591045e+00 1.128944824136781211e+00 2.611041018331326513e-01
9.874207070312501777e-01 2.802105302734376191e-01 1.962416992187487538e-02 1.768235823242201299e+00 4.676577783203141325e-01 1.854375390625002673e-01 7.454742068091646523e+00 1.506435785064873523e-01 4.356831115772185292e+00 1.189274920201701002e+00 1.093860858729090335e+00 2.684174491354294756e-01
1.081712772460938332e+00 2.572504755859392200e-01 2.189336621093751142e-02 1.765449430664082664e+00 2.909399863281240117e-01 1.477461249999998394e-01 5.910175754385677216e+00 1.959645041921825315e-01 4.353753719540160105e+00 1.350713701029154334e+00 1.147059948561981013e+00 2.511703465337749019e-01
1.000684511718748171e+00 2.780482441406252336e-01 2.026676660156232976e-02 1.750739224609387801e+00 4.257026054687519934e-01 1.720644257812499189e-01 7.190240478234058763e+00 1.612881094874381305e-01 4.355994170118744790e+00 1.202649194318395010e+00 1.101789830478779431e+00 2.677794018671075804e-01
1.005048429687504408e+00 2.825182890625014265e-01 2.062621972656235661e-02 1.801898398437512094e+00 4.117169169921890415e-01 1.959146914062505351e-01 7.046786539751030531e+00 1.498195806069934355e-01 4.354166706038998136e+00 1.254479472782694893e+00 1.106698695503083307e+00 2.725815519118603425e-01
1.012945256835925179e+00 2.689245498046852756e-01 2.076467382812471202e-02 1.628288346679695575e+00 3.019711718749992779e-01 8.877405175781229174e-02 7.160205444382707896e+00 1.646793452104628186e-01 4.348995094688039131e+00 1.158937644860514871e+00 1.116839525077213180e+00 2.619360219321225092e-01
9.703634677734389591e-01 2.862801337890628073e-01 2.041400976562486591e-02 1.746941083007828910e+00 4.434098886718765842e-01 1.875900117187500604e-01 8.034721261549373494e+00 1.148738616121445233e-01 4.350802897557201732e+00 1.144183204394177311e+00 1.091962632439497982e+00 2.745477417947102539e-01
1.037483677734373222e+00 2.692353759765625520e-01 2.070298339843737109e-02 1.753815926757826382e+00 3.698481796875014438e-01 1.499757783203121975e-01 6.756205910979391049e+00 1.533180642717430764e-01 4.345646018763487994e+00 1.306591450010396782e+00 1.134836472688899978e+00 2.611611782464401954e-01
9.929008525390642381e-01 2.758258759765615520e-01 2.043782714843742770e-02 1.865072614257819783e+00 6.654636777343726495e-01 2.453536503906265931e-01 7.505508044142061408e+00 1.828196841578133836e-01 4.368242300914563891e+00 1.164668804966364268e+00 1.082316395938458298e+00 2.594103797372127596e-01
9.852185478515665951e-01 2.869920732421884502e-01 2.001481835937485299e-02 1.781322412109387132e+00 3.531444208984391153e-01 1.961872421875006378e-01 7.490504818966734035e+00 1.215086487194560472e-01 4.350333029923771022e+00 1.226621064926463056e+00 1.100389104292710529e+00 2.781376953688489140e-01
9.779215683593813768e-01 2.897883623046890178e-01 2.018153222656236465e-02 1.795305538085950836e+00 3.864286074218770128e-01 2.136101894531259593e-01 7.678449845596190926e+00 1.193536406367785574e-01 4.351062327347123393e+00 1.213182248836515598e+00 1.095184682087857908e+00 2.802955393760025449e-01
9.913542714843713854e-01 2.787396601562504017e-01 2.220297363281234157e-02 1.676735490234391612e+00 3.869314199218765182e-01 1.315554794921870718e-01 7.682000738634610748e+00 1.431206850865651969e-01 4.356232845268259268e+00 1.095675806051344958e+00 1.096439990358510252e+00 2.681724243888415904e-01
9.836470585937535649e-01 2.896793007812515919e-01 2.104969335937483324e-02 1.765435243164074963e+00 3.018705068359383570e-01 1.872255195312503284e-01 7.483851482583010473e+00 1.217390298909631491e-01 4.354853637652576381e+00 1.187475470829156166e+00 1.093487587233429759e+00 2.821174160358650984e-01
9.751749267578138092e-01 2.859722548828131927e-01 2.028628515624985792e-02 1.750646842773452061e+00 4.373899833984396524e-01 1.838956289062500249e-01 7.848041487803961047e+00 1.207116570113488940e-01 4.350774722531247640e+00 1.164769672960376257e+00 1.094506676571262105e+00 2.747850794453303158e-01
9.859650859374988752e-01 2.835728447265629670e-01 2.037487890624983117e-02 1.738897092773449726e+00 3.119768476562500004e-01 1.675785439453125192e-01 7.636547323763873685e+00 1.211799147115837916e-01 4.350282938924181053e+00 1.186407728023513020e+00 1.100748972685798632e+00 2.756053269398630601e-01
1.020270435546881460e+00 2.745262626953142715e-01 2.055234472656241804e-02 1.916696830078138847e+00 7.243408916015626753e-01 2.133277666015627461e-01 7.149527214950232690e+00 1.581869064634291999e-01 4.352665812135714241e+00 1.310226633446567313e+00 1.116436375955189186e+00 2.588581776781231913e-01
1.061978769531256139e+00 2.665258994140650151e-01 2.218131933593745636e-02 1.913879436523454602e+00 7.947118408203150963e-01 1.973614472656248786e-01 6.157946748000472148e+00 2.031108336462110753e-01 4.360512033572865320e+00 1.346393589996460971e+00 1.128849517584781248e+00 2.505966181385489988e-01
1.029149831054673836e+00 2.664361337890604475e-01 2.131553124999968282e-02 1.600112756835946337e+00 1.435858603515610121e-01 6.228780761718814146e-02 6.966060696719607037e+00 1.545283411292156517e-01 4.343268037269843340e+00 1.194957547496898975e+00 1.132412396411118127e+00 2.631031735552303297e-01
9.996003574218728094e-01 2.784491162109378748e-01 2.026645019531233063e-02 1.743309029296886914e+00 3.715754003906259206e-01 1.663176533203123697e-01 7.355804343988967098e+00 1.457228740316345583e-01 4.350621803462921378e+00 1.213336211823704991e+00 1.108137693490461873e+00 2.692528021986633213e-01
1.068248152343753032e+00 2.615839052734396653e-01 2.117462109374998805e-02 1.872280532226583416e+00 5.110767705078136380e-01 1.766059335937499586e-01 6.387874702905323332e+00 1.574905303172933757e-01 4.346233511640460456e+00 1.403553246299831248e+00 1.150567410758836617e+00 2.501202436903105508e-01
1.007284568359373633e+00 2.764899863281252701e-01 2.063042089843734883e-02 1.751038321289074551e+00 4.719129931640646536e-01 1.714718916015624817e-01 7.008403316592671572e+00 1.786363651437974931e-01 4.360191280518841417e+00 1.196026775879039494e+00 1.100067671922148049e+00 2.660626940652759398e-01
1.013841793945302383e+00 2.700218486328108680e-01 2.044085449218725065e-02 1.660954086914072425e+00 3.253684199218750961e-01 1.123600214843745310e-01 7.060749126915631280e+00 1.681299409840160131e-01 4.350380562602238044e+00 1.185506728240819374e+00 1.115811666867080776e+00 2.625666451991553463e-01
1.053579594726558710e+00 2.640687451171873645e-01 2.128223535156239382e-02 1.727178949218765247e+00 4.187972412109395859e-01 1.400222216796873920e-01 6.146413928407469918e+00 2.079474272178485073e-01 4.357091765911272674e+00 1.278247361257397463e+00 1.128529820400897332e+00 2.554468640414317981e-01
1.028476239257815728e+00 2.745476210937510264e-01 2.046756445312488543e-02 1.839697646484390603e+00 5.453074990234392239e-01 1.866456884765625712e-01 6.936024856029387564e+00 1.388898501430126109e-01 4.343482167205219291e+00 1.341657938953474627e+00 1.132907881561764807e+00 2.615980196662774371e-01
1.064241778320316856e+00 2.632756005859398507e-01 2.129292773437498065e-02 1.876957581054706337e+00 4.902056035156257541e-01 1.840034746093749396e-01 6.452932069769214962e+00 1.563991604794398305e-01 4.347557384574379569e+00 1.392836102979295054e+00 1.146560256132315159e+00 2.523321173195522960e-01
9.762098828125066463e-01 2.921110283203143254e-01 2.054385546874983731e-02 1.789508868164074507e+00 3.464264501953138176e-01 2.105127861328132954e-01 7.693191964540789130e+00 1.117950686404342586e-01 4.350927252923537658e+00 1.206606529774358894e+00 1.094290634896133652e+00 2.837474294416949538e-01
1.071626870117190933e+00 2.624514072265649589e-01 2.151923828125003671e-02 1.899647639648456288e+00 4.651893466796883647e-01 1.794628789062497343e-01 6.430510209309996839e+00 1.413793805715715945e-01 4.344235721470338873e+00 1.427272005453175563e+00 1.155025160920945204e+00 2.521397783945487636e-01
9.984627207031293583e-01 2.854105898437513944e-01 2.140256347656236541e-02 1.799181485351574628e+00 3.895564003906267225e-01 1.930879726562502730e-01 7.147732541443391874e+00 1.508049335490406206e-01 4.360774953263729437e+00 1.203176274041646510e+00 1.094302950392914919e+00 2.763746610687815575e-01
9.886690224609397948e-01 2.832414199218759032e-01 2.014211621093736290e-02 1.774917627929701425e+00 3.803746806640639355e-01 1.930262226562502736e-01 7.388787284804656075e+00 1.484268673938536343e-01 4.357150224761465296e+00 1.197104028750559213e+00 1.094175656751425807e+00 2.735414227826450939e-01
1.026090978515616703e+00 2.696699228515614943e-01 2.096407128906228878e-02 1.693115108398449475e+00 4.074520869140658141e-01 1.218274248046870845e-01 6.899385025147727113e+00 1.698287874363711702e-01 4.348525949834939119e+00 1.229038396874672756e+00 1.125152519817743890e+00 2.610726023653558991e-01
9.845288261718753153e-01 2.823484082031249010e-01 2.109080175781237812e-02 1.754093487304703824e+00 5.168776562500015936e-01 1.855420664062497338e-01 7.574392861034934477e+00 1.505189673080949975e-01 4.361089324610283313e+00 1.131724566679168653e+00 1.086960393386402712e+00 2.697648748296258558e-01
9.850030917968779498e-01 2.833788623046874511e-01 2.089918652343738734e-02 1.799725401367201716e+00 4.771417460937524835e-01 2.090689765625003971e-01 7.614814050177628246e+00 1.497332181140978158e-01 4.361157380727166633e+00 1.160790444597463944e+00 1.086663655611422863e+00 2.718625554794245613e-01
9.825612597656239178e-01 2.835486250000002206e-01 2.043981347656231851e-02 1.730457308593763788e+00 4.337075439453146330e-01 1.624514658203123352e-01 7.755256982998737669e+00 1.157844640230618477e-01 4.347845176521472510e+00 1.173805890742928071e+00 1.102253124857276667e+00 2.728199396482750005e-01
9.788684101562511453e-01 2.843283603515626701e-01 2.083204492187487253e-02 1.751386143554703345e+00 4.449805517578146463e-01 1.848734921874998771e-01 7.701411852230667598e+00 1.361364911006009426e-01 4.359305778585680358e+00 1.133307396360918373e+00 1.085745830664397449e+00 2.731308792809881703e-01
1.056735041015627763e+00 2.662366855468765725e-01 2.129395214843742348e-02 1.834734609375018310e+00 7.102852949218773082e-01 1.777312304687498901e-01 6.025607132433821178e+00 2.133911248649748849e-01 4.359036605955942001e+00 1.330539930516159153e+00 1.128335901536948960e+00 2.515386925237140248e-01
