M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.128377212890624426e+00 2.628674599609353013e-01 2.061306249999999424e-02 1.904548435546898677e+00 1.680656039062508045e+00 1.245303515624995028e-01 4.351271943128620201e+00 2.746746340465363034e-01 4.326229403376085081e+00 1.714421688383725551e+00 1.207692904031989700e+00 2.289186560752637933e-01
1.087020378906250251e+00 2.789962421874995768e-01 1.842339355468748663e-02 1.827666728515638495e+00 7.377779531250050482e-01 1.682002939453129120e-01 4.599710535000630429e+00 2.524303911829886005e-01 4.315313554385416417e+00 1.752507694494522372e+00 1.200394488718944164e+00 2.623657671393798130e-01
1.159700152343746904e+00 2.559856787109348608e-01 2.277099511718745292e-02 1.966638270507840458e+00 2.394077697265645455e+00 1.048364902343742883e-01 3.843041584006452460e+00 3.202564957708068372e-01 4.340608616968244071e+00 1.683739883186075703e+00 1.205065526231873019e+00 2.097434163087097403e-01
1.133615201171876974e+00 2.617339345703110776e-01 2.277141503906253764e-02 1.866384966796890144e+00 2.033060687500010566e+00 1.527987353515632141e-01 4.011815990418577726e+00 3.448336335610352466e-01 4.346078981920800999e+00 1.565357377949985862e+00 1.185277762968791837e+00 2.257549527644741594e-01
1.181514874023446682e+00 2.396501953124971496e-01 2.310630664062470266e-02 1.861417253906267666e+00 5.962342529296899007e-01 1.451650283203144431e-01 4.567272598174491272e+00 2.137362992249283444e-01 4.331069669371142794e+00 1.689099278567848472e+00 1.229588046019677749e+00 2.246926550114540788e-01
1.177473820312510355e+00 2.455775566406228627e-01 2.406578222656223162e-02 1.847657527343768091e+00 4.548811484374965519e-01 1.707107197265644860e-01 4.307582739537404670e+00 2.780113620211895342e-01 4.340296779218602019e+00 1.640888677071662860e+00 1.214371613130958316e+00 2.345815910917677660e-01
1.101757799804684801e+00 2.549216386718726191e-01 1.890948046874998609e-02 1.919603249023466907e+00 1.743483227539072589e+00 1.252878984374997950e-01 5.580387350452567397e+00 1.989986162897350030e-01 4.311267677248448393e+00 1.670587227716456402e+00 1.214742461040800858e+00 2.167402275057977168e-01
1.025310351562494393e+00 2.711248740234370458e-01 1.247539550781249541e-02 1.793172758789084664e+00 4.063751103515626517e-01 2.287651201171873594e-01 5.343353485422343674e+00 2.474318585642596435e-01 4.321955146096412292e+00 1.682356219075814341e+00 1.158077208837463346e+00 2.592469211679030994e-01
1.098047272460936696e+00 2.692305605468741092e-01 1.934379394531243052e-02 1.868132226562507991e+00 4.049815761718745799e-01 1.622982451171889329e-01 5.359881431148458830e+00 1.546912384797010653e-01 4.307423018464680453e+00 1.746520391070527589e+00 1.218086158576977329e+00 2.599275599369170742e-01
1.133397014648439560e+00 2.733463906250001574e-01 2.199054101562502445e-02 1.865558788085947883e+00 9.852461904296951900e-01 1.601899628906258699e-01 4.070820428527891721e+00 3.078279204355164334e-01 4.326269806263646878e+00 1.741740860668406166e+00 1.211476757249670744e+00 2.544509852283294293e-01
1.121734318359373539e+00 2.670903964843739375e-01 2.068076074218751920e-02 1.898235594726583431e+00 1.600958499023448445e+00 1.255734453124992267e-01 4.356197374631410213e+00 2.809663624689397454e-01 4.325739380121087052e+00 1.709234332862202610e+00 1.205327924592658251e+00 2.359469773626309552e-01
1.056401301757808664e+00 2.704333896484383271e-01 1.450068359374999914e-02 1.734799915039072937e+00 1.024423852539066537e+00 1.913501191406253576e-01 4.753646315898732766e+00 2.848325407550680866e-01 4.316274438628916243e+00 1.716763684721145600e+00 1.184024745339071094e+00 2.479302279907916462e-01
1.084965792968749287e+00 2.861057412109385134e-01 1.842984765624999105e-02 1.813340852539067738e+00 2.401958466796871305e-01 1.609293740234380710e-01 4.532459188681195350e+00 2.390718796211064867e-01 4.307466912981092300e+00 1.828304143826831485e+00 1.210530823752003604e+00 2.790208872668477058e-01
