M Y Z alpha diffusion overshoot age log_g L radius Y_surf X_c mass_cc
9.950452358398566011e-01 2.894103916015682842e-01 2.068360058593738532e-02 1.825085404296892699e+00 1.029011641113254383e+00 2.212462114257786605e-01 6.883227984998303128e+00 4.344379390059421198e+00 1.251869740858630120e+00 1.113294404082134426e+00 2.515078140076180135e-01 9.024493826171160749e-02 3.992576841189920955e-03
1.031981555664071015e+00 2.776604863281301183e-01 2.094072851562494425e-02 1.878376661132834080e+00 1.051789359374973643e+00 2.091127822265630154e-01 6.418422357956912627e+00 4.342246308397209376e+00 1.355160581011046306e+00 1.137059069632083030e+00 2.415210340706394343e-01 1.143769600443414330e-01 7.535515875148345727e-03
9.527569399414104190e-01 2.973635483398490154e-01 1.970095263671847730e-02 1.782424282226575452e+00 9.928109721679401201e-01 2.318172993164001328e-01 7.164907959665478998e+00 4.365373787215339973e+00 1.096824755039753851e+00 1.062769278869410750e+00 2.589437759633960168e-01 1.119854736576692267e-01 1.461588318799300320e-03
1.057323107910163262e+00 2.713630141601608425e-01 2.156012255859371396e-02 1.892682788085961576e+00 1.087922071777319477e+00 1.976430927734388332e-01 6.271852061883954832e+00 4.332263710038802174e+00 1.430196465730222188e+00 1.164036766978265414e+00 2.359343102064292985e-01 1.145917804586178979e-01 1.022283747280974993e-02
1.005339967773444476e+00 2.821930869140661935e-01 1.977411474609364755e-02 1.872408853027361486e+00 1.075668731445287518e+00 2.117913154296862666e-01 6.924111441971081859e+00 4.336599800615440259e+00 1.340689604605924679e+00 1.130284541218391281e+00 2.431076750199393233e-01 1.086213585780092250e-01 1.118866320288690493e-02
1.044903663085946732e+00 2.719470634765674411e-01 2.085815527343745299e-02 1.876339011230491183e+00 1.107393578613253826e+00 2.024378149414070849e-01 6.387851098793411175e+00 4.337357447633204188e+00 1.387231724598684268e+00 1.150691892183608900e+00 2.363946204805475459e-01 1.128567001245985302e-01 7.908449928065001272e-03
1.046388965820320260e+00 2.777005463867233126e-01 2.218690917968746054e-02 1.853060267089859048e+00 1.061192804687476565e+00 1.889774736328127813e-01 6.369524314229476403e+00 4.329695005463141122e+00 1.394778911810641731e+00 1.161359302274493688e+00 2.412341224642060855e-01 1.169785766393415666e-01 1.095550742446262278e-02
1.040869326171882658e+00 2.765286333007842545e-01 2.095381347656253418e-02 1.926448487304715629e+00 1.132695360839820697e+00 2.162441230468756803e-01 6.291192516684810165e+00 4.341010870883387440e+00 1.395908111588056943e+00 1.143316759149407114e+00 2.412772460429262467e-01 1.197046517117493353e-01 1.021742139235291315e-02
9.957439135742343073e-01 2.938175273437548807e-01 2.279104394531245373e-02 1.754191101074218828e+00 8.671291269531063994e-01 2.167513950195284755e-01 6.905972460193897433e+00 4.340452386021770970e+00 1.200624404780922694e+00 1.118689270791850099e+00 2.555696457222741969e-01 9.801327932969687573e-02 4.253116414517523966e-03
1.038554050292982422e+00 2.722989116210979832e-01 2.120525390624984977e-02 1.782819982910160084e+00 1.048850708007796451e+00 1.456797294921870767e-01 6.540525845603342603e+00 4.324993795730900814e+00 1.365209650006655506e+00 1.163030104874897663e+00 2.334806148242228041e-01 1.275549264321421683e-01 9.699724658242597428e-03
9.573839448242087435e-01 2.854833188476598727e-01 1.969495654296853082e-02 1.897569754882813209e+00 1.019138398925755640e+00 2.553892583007768557e-01 7.989271487248942094e+00 4.367525331037120040e+00 1.093379790672719398e+00 1.061958243483056119e+00 2.476578063278025987e-01 1.014173258193080268e-01 2.929652275885271263e-03
1.022512241210950856e+00 2.846159921875049958e-01 2.226179638671863317e-02 1.796405905273445569e+00 9.893856455077933987e-01 1.870489609374993423e-01 6.655813468183825243e+00 4.330747626000677641e+00 1.314674571364229161e+00 1.146486722670969849e+00 2.465882544949629107e-01 1.055471485931712555e-01 8.129980256955937623e-03
9.902200522461063192e-01 2.888074731445358090e-01 1.990695214843736863e-02 1.807898546875011281e+00 9.863875117187278496e-01 2.026778159179671024e-01 6.916476590138177727e+00 4.336765065891123427e+00 1.294672664610040602e+00 1.120971727280965169e+00 2.479692881204815236e-01 1.097284847454994827e-01 9.353312507535438067e-03
1.056380010742189457e+00 2.747835585937517533e-01 2.081641845703129795e-02 1.961461014648461898e+00 1.136110811523419306e+00 1.768488525390634614e-01 6.023160308256697348e+00 4.330888561360753286e+00 1.512663346689042454e+00 1.165342427589874941e+00 2.375303274134869524e-01 1.400540353489378997e-01 1.775064835207225758e-02
9.920674057617301367e-01 2.847970947265665020e-01 1.980969531249992394e-02 1.870394976562524958e+00 1.113490959960905080e+00 2.391883627929660139e-01 6.896261237655453513e+00 4.357011249689636934e+00 1.224315084315920066e+00 1.095267013942843315e+00 2.482033351331087434e-01 1.001642157123952409e-01 2.330650540627796519e-03
1.035360259765639279e+00 2.779461577148495954e-01 2.215894775390616495e-02 1.779603186035168205e+00 1.005449243652322133e+00 1.812775307617180698e-01 6.364233924253269059e+00 4.338680478563160747e+00 1.298541540025113017e+00 1.142750876154211559e+00 2.419072295225898062e-01 1.217713431682910796e-01 4.679473804882255429e-03
9.794087314453158166e-01 2.822180014648474344e-01 1.972958691406231577e-02 1.935500028808610606e+00 9.866301796874756835e-01 2.494238574218727300e-01 7.157257164026080254e+00 4.377160912105812152e+00 1.137224626402970618e+00 1.062321648764693371e+00 2.467635949101497639e-01 1.264525520318105778e-01 2.300742511813045222e-03
1.027194133789076647e+00 2.803805283203173460e-01 2.179407568359367775e-02 1.793917582519539700e+00 9.860786757812304293e-01 1.841787377929682001e-01 6.583141317017888738e+00 4.332054759138957323e+00 1.322172296497377664e+00 1.147242785296718859e+00 2.426060141079091070e-01 1.041483707306080642e-01 6.049021104244655354e-03
9.793467026367344008e-01 2.962817783203176014e-01 2.072801367187487864e-02 1.797394394531265371e+00 1.027491685546848110e+00 2.171259873046836597e-01 7.251320534763712189e+00 4.332453964913014488e+00 1.244891994939437252e+00 1.119496801474540781e+00 2.560800831744648454e-01 6.175708641858367737e-02 3.721026050812311064e-03
9.991788979492258749e-01 2.936242783203167894e-01 2.211522216796861159e-02 1.854445252929692867e+00 9.307161933593542935e-01 2.187394443359352292e-01 6.744886412339113235e+00 4.343888219532292538e+00 1.272171020299124322e+00 1.116950382757142091e+00 2.554075453105218996e-01 1.329243273928517322e-01 1.372405918411722520e-02
9.587850029296960397e-01 2.993706464843802761e-01 2.111349658203109589e-02 1.786469018066412229e+00 9.311650102538822082e-01 2.408060151367139856e-01 6.710854842372718565e+00 4.380973727839411858e+00 1.050719613427841148e+00 1.046927767047497682e+00 2.631236364386168036e-01 1.561469238657254011e-01 2.208179807004285664e-03
9.524965717773490326e-01 2.967212563476598897e-01 1.967667089843734562e-02 1.879690100097666683e+00 9.842324550780980896e-01 2.549334990234329856e-01 7.533379435737207253e+00 4.361925839825112838e+00 1.133657451106722114e+00 1.066121710183194571e+00 2.578729189711010950e-01 8.803024267724091079e-02 2.571466265639191316e-03
9.688005961914087916e-01 2.847438115234406930e-01 1.934283544921857473e-02 1.898227205078137692e+00 1.046615054199192985e+00 2.485695844726532044e-01 7.280394667586547186e+00 4.375173858529984194e+00 1.120767878552838992e+00 1.059446045409709214e+00 2.484073237059945261e-01 1.228891150779341246e-01 2.257980739601992640e-03
1.022754683105479900e+00 2.836830634765681314e-01 2.181276660156240138e-02 1.827988250488298050e+00 1.007119375488257251e+00 2.122564233398430422e-01 6.466491546435266358e+00 4.343047954252088338e+00 1.298059217369175178e+00 1.130656921412351412e+00 2.475177647183524621e-01 1.189599103409152148e-01 7.518380718042874146e-03
1.031588022460944387e+00 2.812986152343772694e-01 2.122391943359377975e-02 1.922880297363306568e+00 1.178508863281225949e+00 2.215558945312494366e-01 6.522445348131287624e+00 4.335840655422085632e+00 1.388511634141868178e+00 1.144936056666455482e+00 2.450541977953809847e-01 1.141373358717372721e-01 1.290570895706193155e-02
1.007085296386730500e+00 2.797994785156292519e-01 1.970440234374996186e-02 1.888365172363306366e+00 1.150607724609347127e+00 2.275830126953111987e-01 6.672554792156327963e+00 4.355292147257733504e+00 1.273022727399705900e+00 1.106401380626218511e+00 2.438433136675026147e-01 1.136815866087718813e-01 4.320578099443644557e-03
9.489364277343896870e-01 3.101161977539113046e-01 2.198803613281232958e-02 1.742778817382814704e+00 7.999669790038873574e-01 2.480434570312431419e-01 7.175966837120986597e+00 4.355491527679475006e+00 1.084282619492927591e+00 1.072589251859138892e+00 2.706480561153131736e-01 9.192487169645385814e-02 1.757914310426108824e-03
9.740821665039179900e-01 2.947388012695369985e-01 2.031725732421857389e-02 1.787278190429704594e+00 1.010326762207000684e+00 2.260936762695266722e-01 7.072477194631836106e+00 4.349074397419954607e+00 1.184939508943683828e+00 1.095329494287972993e+00 2.560197377073529235e-01 8.603564838729127473e-02 1.719791089656556946e-03
9.765521450195425723e-01 2.970010488281299987e-01 2.062182421874982421e-02 1.817599048828138608e+00 1.031086805175755572e+00 2.170358032226528400e-01 7.226331220230627572e+00 4.335617203060073699e+00 1.245703296992502374e+00 1.114374002060107616e+00 2.568685388610508769e-01 8.362266985508022554e-02 7.655731818852798756e-03
1.014945773925793659e+00 2.804486928710956950e-01 1.999106201171882424e-02 1.941040499023469090e+00 1.199349861328101507e+00 2.446782861328114234e-01 6.334180192382079078e+00 4.362241698304945459e+00 1.289956232991658736e+00 1.101455697923953370e+00 2.459672604154279629e-01 1.287112506670414491e-01 4.911347689068651032e-03
1.007163755859387333e+00 2.810866254882839477e-01 1.982595556640620246e-02 1.919244561035183816e+00 1.168614273437474482e+00 2.337483334960925585e-01 6.713255652444503951e+00 4.353218409182645132e+00 1.290762954173640509e+00 1.108792135632746145e+00 2.449780275508398331e-01 1.073529480478883774e-01 5.375909477565267609e-03
1.051873863281253207e+00 2.760578715820347639e-01 2.139076953124995767e-02 1.921109117187520088e+00 1.073425838867164916e+00 1.871905283203132431e-01 5.985664280915468538e+00 4.337774163713731035e+00 1.448627759812884719e+00 1.153959545637287754e+00 2.397083073020015442e-01 1.531091332591377474e-01 1.579424203496491638e-02
