M Y Z alpha diffusion overshoot age log_g L radius Y_surf X_c mass_cc
1.022116867675790575e+00 2.785768886718790194e-01 2.065920361328129826e-02 1.887303796386746502e+00 1.148900535644503007e+00 2.305052504882805220e-01 6.648770153573178021e+00 4.345440942387469363e+00 1.316084131308728367e+00 1.127070376358076498e+00 2.427028017354185829e-01 9.520958667243135942e-02 3.796199794026510442e-03
1.042199354980481329e+00 2.718842763671930340e-01 2.115709082031248453e-02 1.819375334472683292e+00 1.122615649414031358e+00 2.060068618164065113e-01 6.624959103089808288e+00 4.330614598701845175e+00 1.356967179899657872e+00 1.157143119455401381e+00 2.358026210127046607e-01 8.059361712853591042e-02 2.637380053350370495e-03
1.011204024414075420e+00 2.827497626953179299e-01 2.088347607421867785e-02 1.806597818847673231e+00 1.031715562499973204e+00 2.102115488281234568e-01 6.377126615131572862e+00 4.356172477781315777e+00 1.236313887597932704e+00 1.107350787697014560e+00 2.471824168277098610e-01 1.343831273802481296e-01 3.079312828185786725e-03
9.910608598632971722e-01 2.886827070312560917e-01 2.054930761718727628e-02 1.751612360351580522e+00 1.080866822753879797e+00 1.968087001953092718e-01 7.148283855342691950e+00 4.331367356994841877e+00 1.238458791748178189e+00 1.127558876119591602e+00 2.491169456426453044e-01 6.942460795681862362e-02 1.993056464105611141e-03
9.481213413086124753e-01 3.100860839843813666e-01 2.098552099609352073e-02 1.754850814453137398e+00 9.160990708007554773e-01 2.324085307617125007e-01 7.259227178456919560e+00 4.346140161539413072e+00 1.133823667544282321e+00 1.083649487062173566e+00 2.693307636325907306e-01 6.443160678045502243e-02 9.521731560345811493e-04
1.026712658691425251e+00 2.787811347656320438e-01 2.230554150390612334e-02 1.721311561035165916e+00 9.488776542968544447e-01 1.920525390624991391e-01 6.344088474744853379e+00 4.347346679899628974e+00 1.218557243857717021e+00 1.126112520148513152e+00 2.433240281500815561e-01 1.342768719035695446e-01 6.381266452827996693e-04
9.828286264648596893e-01 2.958804038085997568e-01 2.106424853515611109e-02 1.790147181152356604e+00 9.619537841796611533e-01 2.192694838867152995e-01 6.838557587579799701e+00 4.348718973469887672e+00 1.202545624860136497e+00 1.100675595848232380e+00 2.575765756324338018e-01 9.472279580496593965e-02 2.863230494923015360e-03
1.012057965820324590e+00 2.799948842773492541e-01 2.048871484374997082e-02 1.849224117187525440e+00 1.068119478515593856e+00 2.244870712890615905e-01 6.601994120719966830e+00 4.355062900482089994e+00 1.252790679247035355e+00 1.109206718991624596e+00 2.444478240271803493e-01 1.122464406642899176e-01 2.425185990743443289e-03
1.041715981445322958e+00 2.725264804687555498e-01 2.110208544921873125e-02 1.834985862792996913e+00 1.127117354492156220e+00 2.142144794921878037e-01 6.638571875114073428e+00 4.330537671086879037e+00 1.366863233160022784e+00 1.157245098760816937e+00 2.365001950288385946e-01 7.990604644197801809e-02 3.483949427987465420e-03
1.014292904296881126e+00 2.848636811523475032e-01 2.141476513671860399e-02 1.883252991699231105e+00 1.047310399902320777e+00 2.206603046874985319e-01 6.679414598402857450e+00 4.343677809025316527e+00 1.310378466994161828e+00 1.125905823253313454e+00 2.480287839118458793e-01 1.331863453647259554e-01 1.346741958778379690e-02
9.922267597656363458e-01 2.831690219726578639e-01 1.939099560546870063e-02 1.975537195312525141e+00 1.165840727539038779e+00 2.567060908203106506e-01 6.892009374476116612e+00 4.363910283026065429e+00 1.247148363185281550e+00 1.086395443542323758e+00 2.473257269759392696e-01 1.109392275546162848e-01 5.260389667886935725e-03
9.478020786132947961e-01 3.066610625000057988e-01 2.029115771484351835e-02 1.800131298828142157e+00 9.719920136718451786e-01 2.400807944335875688e-01 7.411302017753875759e+00 4.347353867084220447e+00 1.150245629385958646e+00 1.081831315946470973e+00 2.660730726050577477e-01 6.175029594504291564e-02 1.504961068374671349e-03
9.619611171875048772e-01 2.965276123046921564e-01 1.986103076171854068e-02 1.850348413574233186e+00 9.987397397460673343e-01 2.351729116210892756e-01 7.332284773087425656e+00 4.352079020407269461e+00 1.187593574505765970e+00 1.084913432643690223e+00 2.569338803127614868e-01 9.939809482463320134e-02 7.010350745849680890e-03
9.788471176757904679e-01 2.903857319335991782e-01 2.023669335937485284e-02 1.831493940917987784e+00 9.991219638671585690e-01 2.364056625976532211e-01 6.778153344051454532e+00 4.368683784706376194e+00 1.148182027369595515e+00 1.073357645314760633e+00 2.541077346142394111e-01 1.263790211008968267e-01 1.906816605335619934e-03
9.389885009765598367e-01 3.011562392578164826e-01 2.039292431640607819e-02 1.791808998046877877e+00 8.930744589843511161e-01 2.468489750976503305e-01 7.651420616860581170e+00 4.364793301065942543e+00 1.053672721074923713e+00 1.055469426872069238e+00 2.617718430685617714e-01 9.773463939631779618e-02 1.341331116338260066e-03
1.050737925781258797e+00 2.695656406250043213e-01 2.055246630859377047e-02 1.865502781738297200e+00 1.072316617675757700e+00 1.838998979492191821e-01 5.955919591124090751e+00 4.343425905685180055e+00 1.398637499748847102e+00 1.145470260765913961e+00 2.336770128623035792e-01 1.533730364534904300e-01 7.825383179818470869e-03
1.047391706054697558e+00 2.699503662109425939e-01 2.096050439453126663e-02 1.856478526855498412e+00 1.147805059081999701e+00 2.146988193359380959e-01 6.574682576834629977e+00 4.331923839074349303e+00 1.384098142859570668e+00 1.158604089773081158e+00 2.343906080354595522e-01 8.320279649584878812e-02 3.945760453241225346e-03
9.499677099609341591e-01 2.908562382812540092e-01 1.911884863281230681e-02 1.873660645507818634e+00 1.010724227050757484e+00 2.448230551757770990e-01 7.742360089877040608e+00 4.365318093858459036e+00 1.115493737762944582e+00 1.061274782660827531e+00 2.518903462012432870e-01 1.085829652426532205e-01 4.522398885030396581e-03
1.066416486816415876e+00 2.673922592773479989e-01 2.205028564453130266e-02 1.836767464843771069e+00 1.039321763671851695e+00 1.897490947265632055e-01 5.870964677055593661e+00 4.344089020383834487e+00 1.371681956459431140e+00 1.152408993680566152e+00 2.339913233651533531e-01 1.486709266974542143e-01 4.817792705725115927e-03
9.711257543945387427e-01 2.949266572265658581e-01 1.995870410156241545e-02 1.893143177246107811e+00 1.030938500488254972e+00 2.382751230468715675e-01 7.454004664471669983e+00 4.343381979360485978e+00 1.239862392520114209e+00 1.100548490800997703e+00 2.553347225239177010e-01 7.696940522843334631e-02 6.985927582281643324e-03
1.039516874023447279e+00 2.757741635742231301e-01 2.115438623046874897e-02 1.889450039062528619e+00 1.085608079101535450e+00 2.167081621093754074e-01 6.339056765310194130e+00 4.343508020259976732e+00 1.358001529691437392e+00 1.139070171325244241e+00 2.407730171314304835e-01 1.087539688617011752e-01 5.697081792581498369e-03
1.002007895019544570e+00 2.811296562500031349e-01 1.926637451171875695e-02 1.872820608398473974e+00 1.272648768066382940e+00 2.521588461914040513e-01 6.563204707878071531e+00 4.358748069167853068e+00 1.253186865774654768e+00 1.098602029087875298e+00 2.456388132871278607e-01 1.147685953095980149e-01 2.000090978625523874e-03
9.929747729492277575e-01 2.911349370117233826e-01 2.175255615234358147e-02 1.810200187500004887e+00 9.358552148437294660e-01 2.205546958007784664e-01 6.824783208559650483e+00 4.350776757441444431e+00 1.206865266046121432e+00 1.104437848756713247e+00 2.535447978223029364e-01 1.268388501300456161e-01 7.955468820717469941e-03
1.032476369628923196e+00 2.750954218750046865e-01 2.198975292968735618e-02 1.747111537597658026e+00 1.013713531738272833e+00 1.457765761718743114e-01 6.702784049628202290e+00 4.324919855412965752e+00 1.315659620021817133e+00 1.159734095815598831e+00 2.362891059911631508e-01 1.233162432586724644e-01 8.708759486348716453e-03
1.005781848144545521e+00 2.854569785156305106e-01 2.097083935546864217e-02 1.789012747070325204e+00 1.030934008789039957e+00 1.942162373046857071e-01 6.806031764455033439e+00 4.336963724590621183e+00 1.273891718538964213e+00 1.129150829403803291e+00 2.470931489068158848e-01 9.373848102852917752e-02 4.123290669733154293e-03
1.053809491210945248e+00 2.730275229492236111e-01 2.188431152343746702e-02 1.854511347167987267e+00 1.082184023437476883e+00 1.876260664062500971e-01 6.254214093620348081e+00 4.333163144092170960e+00 1.397554321259224519e+00 1.160733756813090656e+00 2.374872995399292530e-01 1.255080812522809675e-01 1.002754401453778178e-02
9.537585092773458451e-01 2.967222456054724455e-01 2.078264501953113255e-02 1.828788958496094130e+00 9.168108134765411421e-01 2.455715839843706227e-01 7.689703571548079708e+00 4.357039478374634456e+00 1.114004447336577996e+00 1.073792755614050520e+00 2.572932418857232229e-01 1.037092595373204362e-01 5.521492273863469469e-03
1.065114828125010238e+00 2.644772993164099528e-01 2.089136035156256496e-02 1.873773319335977350e+00 1.236859411621066274e+00 2.166233593750020170e-01 6.381195175102478245e+00 4.327499339577431492e+00 1.440019360430462969e+00 1.173764509252524846e+00 2.297983263669295950e-01 7.479818898368496838e-02 2.460899430617046694e-03
9.826611127929829603e-01 2.958816098632855995e-01 2.181804931640621975e-02 1.772979883300786375e+00 9.268130190429486603e-01 2.104318803710904240e-01 7.348899205191666617e+00 4.329192031600948454e+00 1.229104173249582876e+00 1.125909952325007124e+00 2.552356446802425682e-01 7.004889404276538889e-02 5.371566616035751418e-03
9.456906445312588394e-01 3.048302524414113202e-01 2.009840624999979092e-02 1.815966073730480135e+00 9.688677807616900006e-01 2.463674140624938502e-01 7.548780711727466119e+00 4.348369677566856772e+00 1.146834070800293759e+00 1.079425707737402762e+00 2.642516983096349636e-01 7.192410375252974997e-02 3.344393888818512038e-03
9.808452851562574626e-01 2.908083208007862241e-01 2.148570996093726940e-02 1.826565367675785145e+00 9.457388662109159627e-01 2.364070966796840700e-01 6.756830531230290759e+00 4.372284943088414977e+00 1.116658128749925982e+00 1.070089109852423226e+00 2.549226809071596378e-01 1.571761227996048282e-01 6.124598644652697738e-03
9.744257939453234707e-01 2.921437631835987481e-01 1.987897070312484235e-02 1.821406689453145322e+00 1.063949360839812508e+00 2.371911655273395703e-01 7.060214523040450274e+00 4.355204185691468055e+00 1.182410911404567111e+00 1.087869371223215254e+00 2.542264212455613848e-01 9.347165706837136379e-02 1.777509364913070281e-03
1.063764332519535172e+00 2.731518002929726463e-01 2.242734960937500452e-02 1.887443830566428726e+00 1.105392272460913761e+00 1.924641542968760777e-01 6.246525374366641792e+00 4.326849887379138337e+00 1.446621660528864206e+00 1.174812804054695681e+00 2.378425051167953608e-01 1.176556822523762702e-01 1.250650725088658932e-02
9.360521440429793172e-01 3.105863559570363752e-01 2.063809960937479371e-02 1.787676602539069348e+00 8.825195083007574270e-01 2.459795844726494485e-01 7.630249943011881975e+00 4.347172191132369967e+00 1.116679557611305551e+00 1.075338335829000957e+00 2.691662411718117043e-01 7.055192221046141521e-02 3.442686273439330997e-03
1.044451102539066811e+00 2.707391230468774723e-01 1.898293017578130820e-02 1.881535279785170989e+00 1.050629429199200660e+00 1.683026000976576286e-01 5.923956023450881681e+00 4.329583762889183340e+00 1.524125908810483487e+00 1.160231170972154668e+00 2.274617236478960192e-01 1.636986832030968841e-01 1.630123699412697191e-02
9.500192119140613567e-01 2.951103554687544706e-01 1.967190429687473360e-02 1.829492204589855175e+00 9.907905156249715573e-01 2.470985517578069002e-01 7.277114369211064471e+00 4.375503221395375952e+00 1.066568795539259096e+00 1.048397510083088235e+00 2.576420919378453744e-01 1.207940856174540556e-01 1.064789608679834413e-03
1.023356997070324459e+00 2.751108120117227718e-01 2.031381005859369052e-02 1.878652881347683268e+00 1.091220694824190263e+00 2.309096601562497519e-01 6.432842305561599971e+00 4.356840536259524832e+00 1.280991992894105813e+00 1.113193436061609809e+00 2.405618073737405549e-01 1.311048766487376838e-01 4.817593590407819211e-03
1.002574347656261855e+00 2.897403320312552100e-01 2.133418603515611911e-02 1.834244534179704900e+00 1.000326926757786783e+00 2.285005336914037455e-01 6.696852299457519031e+00 4.346345227526213328e+00 1.259242765204935166e+00 1.115256947099396045e+00 2.527025642938725558e-01 1.145931353099880756e-01 7.984353900161113640e-03
1.031527057617192433e+00 2.820524516601594089e-01 2.143576562499992233e-02 1.896680023925797043e+00 1.085977575195289591e+00 1.970142666015623489e-01 6.595151890169502984e+00 4.328300871345962086e+00 1.409537016525508335e+00 1.155462869960060646e+00 2.443463786583104369e-01 1.216578753612227032e-01 1.624435067476482156e-02
1.062373530273436728e+00 2.758219965820318809e-01 2.103772460937508929e-02 1.984252817382836209e+00 1.231314263183575841e+00 1.787474204101571762e-01 5.841468132008008851e+00 4.333218427790763272e+00 1.527146121258327494e+00 1.165525557447075755e+00 2.400018251897212407e-01 1.511688580462880738e-01 1.923876391899366489e-02
9.648008007812653997e-01 3.022516796875062695e-01 2.096255419921851104e-02 1.765408937500013709e+00 9.447169526366906434e-01 2.274212592773386110e-01 7.118572950159422597e+00 4.346633977150417216e+00 1.162611773621869293e+00 1.092908039449218549e+00 2.626868266208456926e-01 7.850470685816689220e-02 2.034300093554982508e-03
9.608067568359520694e-01 3.027491376953181379e-01 2.102776953124983403e-02 1.764392889648446872e+00 9.271261840820088640e-01 2.211710703124952493e-01 7.113428801769869914e+00 4.351105482361290022e+00 1.140679320525562979e+00 1.085216030224607886e+00 2.632383403916503939e-01 8.971077008660886809e-02 2.012979759200784514e-03
9.668196381836023923e-01 2.953556679687539543e-01 2.065408398437481446e-02 1.769330546386725045e+00 9.683124199218537953e-01 2.162281459960894436e-01 7.368156703873088631e+00 4.344778463661557844e+00 1.162470596391560251e+00 1.097229556815731977e+00 2.553840124470775907e-01 9.358418128367775035e-02 4.454301027625335099e-03
9.900128193359513107e-01 2.970991074218804484e-01 2.147964892578112586e-02 1.821063558593762011e+00 9.346993139648201998e-01 2.145212709960910014e-01 6.729697872145593784e+00 4.343779872509867523e+00 1.254879273906671422e+00 1.111601076193517113e+00 2.583860702698128065e-01 1.023671034813020270e-01 7.229880781530924339e-03
1.031385333007822203e+00 2.762714501953176804e-01 2.112162939453117450e-02 1.842315726562522515e+00 1.065452903808564500e+00 2.143587749023437294e-01 6.531419889664881850e+00 4.341411801590399300e+00 1.323146618019971354e+00 1.137659235133591684e+00 2.405064030914488282e-01 1.104703875458291629e-01 6.190271017090579614e-03
1.075922589843751220e+00 2.731132592773455880e-01 2.240378662109380331e-02 1.934625334960961895e+00 1.146119153808573987e+00 1.805516059570324572e-01 5.857620486027603768e+00 4.328471212179783478e+00 1.506320730005090924e+00 1.178851240823058477e+00 2.384881971083846197e-01 1.434963887066758870e-01 1.719101577458595834e-02
9.828386845703188657e-01 2.866504624023477055e-01 1.993171142578108526e-02 1.854094562011735947e+00 1.060720715820285376e+00 2.351895122070280231e-01 7.081997139449622836e+00 4.356956882242432272e+00 1.198072899794615953e+00 1.090688630749465204e+00 2.493058123759138711e-01 1.118514946726420212e-01 5.041293375242827772e-03
9.841051782226659661e-01 2.871562392578175804e-01 1.985565185546860761e-02 1.820980693847677134e+00 1.089427131835906337e+00 2.310533974609341179e-01 6.978965358316350454e+00 4.355685438034252677e+00 1.192841836660043509e+00 1.092758603155334240e+00 2.499184952968325768e-01 9.932744131249342245e-02 1.296651943851819845e-03
9.715870307617340274e-01 2.956333164062553975e-01 2.027025390624977511e-02 1.765975937011732499e+00 1.041717882812475571e+00 2.073898134765584100e-01 7.260361094736361487e+00 4.337681665706601741e+00 1.201798900486790167e+00 1.108418815474376373e+00 2.552321178317653594e-01 7.356966361615102645e-02 2.685479458654892009e-03
9.423964638671878946e-01 3.011017807617236142e-01 2.024964794921845293e-02 1.809092016601570041e+00 9.227136845702860191e-01 2.509476533203053861e-01 7.546602452151024210e+00 4.365163795220357912e+00 1.067522484605161193e+00 1.056270349180067125e+00 2.620366270494485783e-01 9.768652248837676744e-02 1.657708705221333078e-03
1.050276856933606062e+00 2.739946357421910728e-01 2.201680322265621437e-02 1.817270500000011113e+00 9.836424096679519113e-01 1.647810639648438769e-01 6.012230170793811723e+00 4.338846516591043923e+00 1.362956601679683910e+00 1.151062333503202195e+00 2.381790166368796535e-01 1.419926680772071459e-01 6.608950782374208542e-03
9.886777436523590534e-01 2.925073071289123749e-01 2.090733447265614650e-02 1.805786211914082617e+00 9.917357456054379794e-01 2.347598686523408307e-01 6.787537944983252025e+00 4.352003712400850155e+00 1.205914783259649736e+00 1.099537682593406007e+00 2.551979672370425223e-01 9.327810710847876663e-02 1.314688025815704013e-03
1.002385070800788869e+00 2.826861196289077172e-01 2.030452929687490485e-02 1.970321824218770557e+00 1.111282377441384250e+00 2.481431586914050469e-01 6.903337753760137474e+00 4.356029098536744470e+00 1.278979263194928162e+00 1.102476029916989564e+00 2.466517914569516801e-01 1.305500293954476310e-01 1.204420820870846960e-02
1.008781634765640867e+00 2.876375395507873023e-01 2.169246582031235035e-02 1.794247456542978236e+00 9.562346210937304747e-01 1.967792192382795957e-01 6.532735219762519030e+00 4.344601463934837149e+00 1.257937462359613123e+00 1.120884244420872866e+00 2.501871920630404089e-01 1.208932030347729808e-01 6.131052211444706912e-03
9.951121430664249257e-01 2.830500805664108444e-01 2.169663964843732140e-02 1.666029736816409423e+00 1.012148451171867025e+00 1.622132011718727673e-01 7.108317751277270169e+00 4.339475240109914367e+00 1.143562885003934992e+00 1.119626333363685555e+00 2.442925673395703323e-01 1.166042002658627813e-01 1.817711179567262601e-03
9.894047070312602665e-01 2.896069736328168442e-01 2.023194873046857759e-02 1.811190680175792656e+00 1.044561511718728797e+00 1.950529521484350992e-01 7.219866680635799838e+00 4.327197981859574938e+00 1.301135724814996397e+00 1.133074520794335793e+00 2.484722125092834744e-01 9.368462083339916535e-02 1.057653154660931349e-02
9.822369833984541110e-01 2.970187163085998838e-01 2.121277734374987095e-02 1.787042673828138417e+00 9.500735034179434990e-01 2.181412084960901721e-01 6.679906612267688004e+00 4.353965636015204588e+00 1.186721533612415724e+00 1.093717379132096656e+00 2.592803135125771874e-01 1.104888627340569890e-01 3.115925814467218353e-03
