l n nu dnu n_g
0 3 181.407 0.162 0 
0 4 215.940 0.154 0 
0 5 248.827 0.147 0 
0 6 281.425 0.140 0 
0 7 314.763 0.133 0 
0 8 349.496 0.063 0 
0 9 384.296 0.035 0 
0 10 418.934 0.039 0 
0 11 453.370 0.025 0 
0 12 487.294 0.024 0 
0 13 521.280 0.018 0 
0 14 556.067 0.018 0 
0 15 591.799 0.021 0 
0 16 627.986 0.034 0 
0 17 664.166 0.062 0 
0 18 700.476 0.175 0 
0 19 736.324 0.219 0 
0 20 771.930 0.230 0 
0 21 807.294 0.241 0 
0 22 842.862 0.253 0 
0 23 878.897 0.266 0 
0 24 914.336 0.279 0 
0 25 950.449 0.293 0 
1 -8 179.984 0.218 11 
1 -7 188.829 0.207 10 
1 -6 197.165 0.198 10 
1 -5 218.065 0.188 9 
1 -4 222.604 0.179 8 
1 -3 244.331 0.171 8 
1 2 255.505 0.163 3 
1 -1 276.822 0.155 7 
1 2 288.940 0.147 4 
1 3 316.606 0.140 4 
1 2 325.433 0.134 5 
1 5 352.748 0.127 3 
1 4 370.738 0.121 5 
1 5 393.216 0.117 4 
1 8 416.105 0.059 2 
1 7 437.604 0.043 4 
1 8 465.214 0.033 3 
1 9 488.529 0.027 3 
1 10 509.999 0.019 3 
1 11 539.423 0.020 3 
1 12 571.870 0.017 3 
1 13 600.918 0.021 2 
1 14 619.231 0.029 2 
1 15 648.113 0.060 2 
1 16 682.533 0.124 2 
1 17 717.892 0.267 2 
1 18 752.796 0.280 2 
1 19 787.340 0.294 2 
1 20 821.257 0.309 1 
1 21 844.540 0.324 1 
1 22 864.234 0.340 1 
1 23 897.117 0.357 1 
1 24 931.202 0.375 1 
2 -17 175.631 0.208 20 
2 -16 183.581 0.198 19 
2 -15 193.042 0.189 18 
2 -14 198.533 0.180 18 
2 -13 206.055 0.171 17 
2 -12 214.315 0.163 16 
2 -11 220.182 0.155 15 
2 -10 234.750 0.148 15 
2 -9 241.695 0.141 14 
2 -8 251.593 0.134 13 
2 -7 267.078 0.128 12 
2 -6 274.293 0.122 12 
2 -5 285.124 0.116 11 
2 -4 297.987 0.110 10 
2 -3 310.818 0.105 10 
2 -2 324.104 0.100 9 
2 -1 344.840 0.095 9 
2 0 357.400 0.091 8 
2 1 379.582 0.086 8 
2 2 397.889 0.082 7 
2 3 414.898 0.078 7 
2 4 447.202 0.075 7 
2 5 449.602 0.071 6 
2 6 483.556 0.047 6 
2 7 512.561 0.039 5 
2 8 517.900 0.031 5 
2 9 552.527 0.030 5 
2 10 588.109 0.047 5 
2 11 597.512 0.078 4 
2 12 624.505 0.210 4 
2 13 660.005 0.359 4 
2 14 696.669 0.377 4 
2 15 700.938 0.396 3 
2 16 734.398 0.415 3 
2 17 769.202 0.436 3 
2 18 804.236 0.458 3 
2 19 839.073 0.481 3 
2 20 853.687 0.505 2 
2 21 877.136 0.530 2 
2 22 911.405 0.557 2 
2 23 946.980 0.585 2 
