l n nu dnu n_g
0 3 169.082 0.151 0 
0 4 200.228 0.144 0 
0 5 231.198 0.137 0 
0 6 262.655 0.131 0 
0 7 294.678 0.124 0 
0 8 326.773 0.059 0 
0 9 358.716 0.033 0 
0 10 389.719 0.036 0 
0 11 420.639 0.024 0 
0 12 452.464 0.023 0 
0 13 485.270 0.017 0 
0 14 518.689 0.017 0 
0 15 551.983 0.020 0 
0 16 584.885 0.032 0 
0 17 617.694 0.058 0 
0 18 650.558 0.163 0 
0 19 683.411 0.203 0 
0 20 716.932 0.213 0 
0 21 750.144 0.224 0 
0 22 783.899 0.235 0 
0 23 817.675 0.247 0 
0 24 850.976 0.259 0 
1 -14 155.557 0.249 17 
1 -11 164.444 0.237 14 
1 -6 169.997 0.225 9 
1 -11 176.505 0.215 14 
1 -10 182.793 0.205 14 
1 -9 193.732 0.195 13 
1 -8 206.449 0.186 12 
1 -7 209.726 0.177 12 
1 -6 227.107 0.168 11 
1 1 238.231 0.160 4 
1 -4 249.520 0.153 10 
1 1 269.344 0.145 5 
1 -2 276.502 0.138 9 
1 3 300.517 0.132 4 
1 0 309.192 0.126 8 
1 5 331.922 0.120 3 
1 2 347.776 0.114 7 
1 5 364.700 0.108 4 
1 8 385.021 0.054 2 
1 5 403.053 0.040 6 
1 8 423.779 0.030 3 
1 9 442.783 0.024 3 
1 8 467.292 0.018 5 
1 9 490.950 0.018 4 
1 12 510.075 0.015 2 
1 11 537.080 0.019 4 
1 12 566.568 0.027 4 
1 13 590.588 0.055 3 
1 14 608.282 0.110 3 
1 15 636.028 0.236 3 
1 16 667.472 0.248 3 
1 17 699.316 0.260 3 
1 18 730.842 0.273 2 
1 19 755.920 0.287 2 
1 20 772.609 0.301 2 
1 21 802.371 0.317 2 
1 22 833.901 0.332 2 
2 -26 157.538 0.292 29 
2 -25 162.799 0.278 28 
2 -24 167.606 0.265 27 
2 -23 170.311 0.252 26 
2 -22 176.392 0.240 25 
2 -21 183.726 0.229 24 
2 -20 190.158 0.218 24 
2 -19 192.754 0.208 23 
2 -18 200.262 0.198 22 
2 -17 207.626 0.188 21 
2 -16 212.294 0.179 20 
2 -15 221.716 0.171 20 
2 -14 227.776 0.163 19 
2 -13 234.201 0.155 18 
2 -12 246.787 0.148 17 
2 -11 256.536 0.141 17 
2 -10 261.732 0.134 16 
2 -9 276.898 0.128 15 
2 -8 285.845 0.121 15 
2 -7 293.562 0.116 14 
2 -6 303.131 0.110 13 
2 -5 321.394 0.105 13 
2 -4 324.009 0.100 12 
2 -3 346.748 0.095 11 
2 -2 354.812 0.091 11 
2 -1 375.620 0.086 10 
2 0 386.023 0.082 10 
2 1 410.105 0.078 9 
2 2 416.980 0.075 9 
2 3 448.728 0.071 9 
2 4 452.154 0.044 8 
2 5 481.724 0.037 8 
2 6 503.046 0.030 7 
2 7 515.327 0.028 7 
2 8 548.656 0.044 7 
2 9 566.487 0.074 6 
2 10 581.839 0.196 6 
2 11 613.905 0.334 6 
2 12 643.484 0.351 6 
2 13 648.147 0.368 5 
2 14 681.016 0.386 5 
2 15 713.872 0.406 5 
2 16 739.448 0.426 4 
2 17 747.277 0.447 4 
2 18 781.828 0.470 4 
2 19 814.566 0.493 4 
2 20 847.858 0.518 4 
