M Y Z alpha diffusion overshoot age log_g radius Y_surf X_c mass_cc
1.109219308593751174e+00 2.585534555664082412e-01 2.335529248046891437e-02 1.880200567871122885e+00 1.155944908691387774e+00 1.503956494140635258e-01 6.431183597305864197e+00 4.292135234970794855e+00 1.246875394675775572e+00 2.230594462058028693e-01 7.900001824094363134e-02 1.418051746500700525e-02
1.113381117187500768e+00 2.697812465820318972e-01 2.505581347656253913e-02 1.847108800781265492e+00 1.010227684082022792e+00 1.506935561523450595e-01 5.750355812414182921e+00 4.297515300152811690e+00 1.241833396212212781e+00 2.344997986516454969e-01 1.372404457228713626e-01 2.329570298057671157e-02
1.107944439941404235e+00 2.617760117187512559e-01 2.396017773437526810e-02 1.894338447265644376e+00 1.153624161132790649e+00 1.627380664062512139e-01 6.544068913317868663e+00 4.287690067461207732e+00 1.253265441229874710e+00 2.265355516152859905e-01 8.865924084861943888e-02 1.946865102895084174e-02
1.074629437988277703e+00 2.653555737304696405e-01 2.356121386718750682e-02 1.982464852050782156e+00 9.329949067382692363e-01 2.218125434570348276e-01 7.159443403328737965e+00 4.308692708644557001e+00 1.205874253869284818e+00 2.306415521656526857e-01 1.183868745000202088e-01 2.633977493301800296e-02
1.088547586425779645e+00 2.641845161132818642e-01 2.318644580078138215e-02 1.919279898437506571e+00 1.093965972167953549e+00 1.591906083984393760e-01 7.001950416764175067e+00 4.284165517692525071e+00 1.247509612780581589e+00 2.275931980115586117e-01 1.116031563101899243e-01 3.005135808134581574e-02
1.070930533203130475e+00 2.665602871093782356e-01 2.315899414062507974e-02 1.896636478027351247e+00 9.731286249999784310e-01 2.095486474609389860e-01 7.096225742229628430e+00 4.301651875493834432e+00 1.213279217180279090e+00 2.306483347783546134e-01 6.484109197995956142e-02 1.235932062855821592e-02
1.052249526855479900e+00 2.690916245117203620e-01 2.114485986328145870e-02 1.922255060058608356e+00 1.141816347656228192e+00 1.917774287109379749e-01 7.176828403293415981e+00 4.299523111315192381e+00 1.204911935202524376e+00 2.310085571777232283e-01 6.883804332836732098e-02 1.449696124244013312e-02
1.080208243652351907e+00 2.628982363281278656e-01 2.248161035156261145e-02 1.853394312011731548e+00 1.119444522460915969e+00 1.730974213867200184e-01 6.952604975136743803e+00 4.289098395139104625e+00 1.235312870245937944e+00 2.256868821666625780e-01 6.975252522210605155e-02 1.350963422834391622e-02
1.088423720214844792e+00 2.733889545898449680e-01 2.222866455078140527e-02 1.897379421875015737e+00 1.068007749023429209e+00 1.441327602539075325e-01 6.083061185278593186e+00 4.288408708381449053e+00 1.240723597023875246e+00 2.357415005854833212e-01 1.166272071464036358e-01 2.648855314556891605e-02
1.090216461914062407e+00 2.656892236328139978e-01 2.378713330078133931e-02 1.907263972656260798e+00 1.071237348144511436e+00 1.893899589843768549e-01 6.601706054798508916e+00 4.303711098999289497e+00 1.221115330524546572e+00 2.306922216320298480e-01 1.230990108493617285e-01 2.330239870042445302e-02
1.079485547851573912e+00 2.660341113281277647e-01 2.320178222656257144e-02 1.842320251464865333e+00 1.033713195800768148e+00 1.659632495117204787e-01 6.600612406841583457e+00 4.301708531379093259e+00 1.217320122942695093e+00 2.290337601692680469e-01 7.078257424927064667e-02 9.126230258051754377e-03
1.085755999511722747e+00 2.643508564453150855e-01 2.287101855468769498e-02 1.902204907714862614e+00 1.046432090332012343e+00 1.932141479492198721e-01 6.620965677023138873e+00 4.301100084888557440e+00 1.222510367903545392e+00 2.286053878305071563e-01 7.677198145474568858e-02 1.147750864541501568e-02
1.112356074707033793e+00 2.564362416992212457e-01 2.280206787109395616e-02 1.898027240722685027e+00 1.180966222167948665e+00 1.595701411132823822e-01 6.266660746564197915e+00 4.299124487531741146e+00 1.238624908009163805e+00 2.217398901770166741e-01 8.668194324713696108e-02 1.396620245467583912e-02
1.120946087402339808e+00 2.611137294921878627e-01 2.235459130859408783e-02 1.959611795898458020e+00 1.249340482421861465e+00 1.158236425781263568e-01 5.995014076288156524e+00 4.286799363456385237e+00 1.260961171681797666e+00 2.256237584332805579e-01 1.213520276691843897e-01 2.872004091505529766e-02
1.081380057617185697e+00 2.671737822265630724e-01 2.322171679687526011e-02 1.913398801757823620e+00 1.094514928222637629e+00 1.591216552734388556e-01 7.028628174032308884e+00 4.285083563446614896e+00 1.242048760447354905e+00 2.299821371623367305e-01 8.223827752421480897e-02 2.181460160670277079e-02
1.092718413574210734e+00 2.767585581054703980e-01 2.345092041015644710e-02 1.894804214355476413e+00 1.052497553710926237e+00 1.790774604492208488e-01 6.156721908730814263e+00 4.282545779186818002e+00 1.252143086067298405e+00 2.399239833715179071e-01 1.600474455690664433e-01 4.023999077453769418e-02
1.098621244628912752e+00 2.687750327148449303e-01 2.184224755859388856e-02 1.858260609375007810e+00 9.633343491210792919e-01 1.365991855468762783e-01 5.753515680509175390e+00 4.288658979969408591e+00 1.246306499890673214e+00 2.308061163555464312e-01 1.308974451110182791e-01 2.442136385254906408e-02
1.093245737304688658e+00 2.656676557617200229e-01 2.434528564453148844e-02 1.895407254882824688e+00 1.072325836425764400e+00 1.918791835937512791e-01 6.472277059103340946e+00 4.305975778342723714e+00 1.220197661096017239e+00 2.306720645196529140e-01 1.190690796116459227e-01 1.916254125309847789e-02
1.082361922363275886e+00 2.628795410156272161e-01 2.372827587890643034e-02 2.015827262695315536e+00 9.850082910156100491e-01 2.160823945312528860e-01 7.140794997424495527e+00 4.308895268656131705e+00 1.210049133595517468e+00 2.286134016078190112e-01 9.901575330150089171e-02 2.235676358334991523e-02
1.081763739257819656e+00 2.775925200195301645e-01 2.140203222656264156e-02 1.882107754394541477e+00 9.450190209960864784e-01 1.243361601562510271e-01 5.763785409638884971e+00 4.287007476414478546e+00 1.238969226553485514e+00 2.379956465819569600e-01 1.144796176677845001e-01 2.426669518039699380e-02
1.081811645996095139e+00 2.765858085937502597e-01 2.262966992187512988e-02 1.905966674804703276e+00 1.001268911621085334e+00 1.428951977539074658e-01 6.079919016482413952e+00 4.290329020490095679e+00 1.234716882954428829e+00 2.376209379985104730e-01 1.174786612534227809e-01 2.640062462674357471e-02
1.069680500976566195e+00 2.795348769531257327e-01 2.058979394531268783e-02 1.921135979980478803e+00 1.018608188964838401e+00 1.419064174804700318e-01 6.132223637323900078e+00 4.278579593019035343e+00 1.244386058281355067e+00 2.388196197357538020e-01 1.184884612307184476e-01 3.208667321558643371e-02
1.089016205566407214e+00 2.650600571289070118e-01 2.250502880859394164e-02 1.929297288574246982e+00 1.128907048339829577e+00 1.674575742187512650e-01 6.518421839655585970e+00 4.296519788433691645e+00 1.229815455090868426e+00 2.287849347553088386e-01 6.394891543306660542e-02 1.239646629218774630e-02
1.066330618652348905e+00 2.687751328125020378e-01 2.302318554687515090e-02 1.924392877441414962e+00 1.003307238769511223e+00 2.111440590820325980e-01 6.965615041517256856e+00 4.309713198778666765e+00 1.199498263830406586e+00 2.328976543317183567e-01 8.847196592571981988e-02 1.557054939302941407e-02
1.090207349121088853e+00 2.644507617187533133e-01 2.481946191406263214e-02 2.028326685058587930e+00 9.858176967773302213e-01 2.481937749023477302e-01 7.012383100288423599e+00 4.310160284557894350e+00 1.213249738845115999e+00 2.315193895704394378e-01 1.210486703207091091e-01 2.760949850469823427e-02
1.067801954589849611e+00 2.692308715820326270e-01 2.224570654296899666e-02 1.918426894042984943e+00 1.104777804199201352e+00 1.982982412109383086e-01 6.798448070417289379e+00 4.303148082135178853e+00 1.209205411076564873e+00 2.325784540757002694e-01 8.232161834482884522e-02 1.370509412117849359e-02
1.080025987792974318e+00 2.761922807617175901e-01 2.298987500000002071e-02 1.898109802246125577e+00 9.260196542968770483e-01 1.353905170898435650e-01 5.875124962936562945e+00 4.308222185025253559e+00 1.208004127513078174e+00 2.392052097625492479e-01 7.490030372878141163e-02 9.335457439175626551e-03
1.083887179199224171e+00 2.668689824218766216e-01 2.324932666015646840e-02 1.874236156738306347e+00 1.080059350097641868e+00 1.732806528320321449e-01 6.661327396523504696e+00 4.296140674487652689e+00 1.227231221410876483e+00 2.303948143486914402e-01 6.949954223958827726e-02 1.203579311941845725e-02
1.101889398437504664e+00 2.645406054687519104e-01 2.463080615234385096e-02 1.825341316894541155e+00 9.852372177734227687e-01 1.622642290039076618e-01 6.391313001233367430e+00 4.292173790860220883e+00 1.243416982225829637e+00 2.285654593850924288e-01 9.358190946492454809e-02 1.548159175589732678e-02
1.086565322265627742e+00 2.644361123046888307e-01 2.233912255859403159e-02 1.929488520996118117e+00 1.175164821289044426e+00 1.821970864257820288e-01 6.570878206536170829e+00 4.301585831527672710e+00 1.221355244031513188e+00 2.287592569968659173e-01 7.891498400013771675e-02 1.447157348291476693e-02
1.086150597656256434e+00 2.632169829101607683e-01 2.317755273437504052e-02 1.820236370605481602e+00 1.008907304687480577e+00 1.767202329101572600e-01 6.678923152026548848e+00 4.296668687808039344e+00 1.228711222040663298e+00 2.268268460249409091e-01 7.292093898262742846e-02 1.002601036477489445e-02
1.079260244140631153e+00 2.648856562500022660e-01 2.263460595703135902e-02 1.889852786621099234e+00 1.059980073730449668e+00 1.785745747070325296e-01 6.939425881824403675e+00 4.292485337987026917e+00 1.230408828740680915e+00 2.281536607335250544e-01 8.824081918857747120e-02 1.952042807410066944e-02
1.110843940917970230e+00 2.648812099609390569e-01 2.423740722656256980e-02 1.836616493164083153e+00 1.031328699707021679e+00 1.485630219726574996e-01 5.919183831974333287e+00 4.298246208730534867e+00 1.239211307513179205e+00 2.293140253107530113e-01 1.195779008221738438e-01 1.863997359731654410e-02
1.082521945800778207e+00 2.625596157226577354e-01 2.387476367187508011e-02 1.981602200195313079e+00 9.760543618163893820e-01 2.187279125976592520e-01 7.206027021526765886e+00 4.305352499246344777e+00 1.215058421687070123e+00 2.282410395804571890e-01 9.986369665579884758e-02 2.271959380814772902e-02
1.077226603027347185e+00 2.692623051757814800e-01 2.317207763671906215e-02 1.916340753906272232e+00 1.176031500976543853e+00 1.810870429687508054e-01 6.767857016354702715e+00 4.299153905216913429e+00 1.219399976039634348e+00 2.328476364475136340e-01 8.730679913839156647e-02 1.798922359453643954e-02
1.054490670898446281e+00 2.712200507812519423e-01 2.097217187500011182e-02 1.851941701171872845e+00 9.950303032226461841e-01 1.564492016601573277e-01 6.971280447235918665e+00 4.279501483203211443e+00 1.235814760830135306e+00 2.297732646265564227e-01 8.936657005169593160e-02 2.177164999871651629e-02
1.091517777832025526e+00 2.646507988281256440e-01 2.422867382812511974e-02 1.957101252929693169e+00 1.022477513183575715e+00 1.990298403320336917e-01 6.908657301171693632e+00 4.299769278890402724e+00 1.227809895802814300e+00 2.301642997901670873e-01 1.169151226337480365e-01 2.711367956885690420e-02
1.075388424804698539e+00 2.628932534179718727e-01 2.104018212890645598e-02 1.894879589843756040e+00 1.121251757324200016e+00 1.764340590820321908e-01 6.826270641670796557e+00 4.293211391108684438e+00 1.227034973230211046e+00 2.256157171818027607e-01 7.583940779489836692e-02 1.599049048169712273e-02
1.092439500488287862e+00 2.645002705078138838e-01 2.249685791015621980e-02 1.885220771972692777e+00 9.412710678710873857e-01 1.620456782226581127e-01 5.814142883634278114e+00 4.322744241123606557e+00 1.195357787416687412e+00 2.303602522197930047e-01 9.067996742309696045e-02 4.267934693763971755e-03
1.105712964355472172e+00 2.596405502929720055e-01 2.362266113281247942e-02 1.862855900390659070e+00 9.806258793945199503e-01 1.732624531250029076e-01 6.125557601028419619e+00 4.309353828286107913e+00 1.220981188589629340e+00 2.255260428144451046e-01 7.368547098642856674e-02 5.269887056803871511e-03
1.072294906250006674e+00 2.779906674804691891e-01 2.342382324218773501e-02 1.888571791992196491e+00 1.061145837890612897e+00 1.612746474609384195e-01 6.627484777238286107e+00 4.284340686447759339e+00 1.237939589655028927e+00 2.396334651510548253e-01 1.065152475701838797e-01 2.772484537399370549e-02
1.095001887207034397e+00 2.634307929687513816e-01 2.309390576171899134e-02 1.888983394042990760e+00 1.129729308593733883e+00 1.593051694335945734e-01 6.594955636340831262e+00 4.291186581751010642e+00 1.240524253526372744e+00 2.271440269782031562e-01 8.014541955143889007e-02 1.632193768611863924e-02
1.102102788085943752e+00 2.597853334960973926e-01 2.356931152343743480e-02 1.830076024414086122e+00 9.380864907226440508e-01 1.735777421875025484e-01 5.957375135707319913e+00 4.317986680619791073e+00 1.207884197582753671e+00 2.260551818650828049e-01 1.031277888200989867e-01 5.303144791112463820e-03
1.068338112304690002e+00 2.738781743164069860e-01 2.313433447265640305e-02 1.923012833984381054e+00 1.006181696289048633e+00 2.083267011718771822e-01 6.609828205559227676e+00 4.308333188178740336e+00 1.204077868106331106e+00 2.375501904971966671e-01 1.429251860550524167e-01 2.804620028332955109e-02
1.101856421386719687e+00 2.590422788085959271e-01 2.282967431640641268e-02 1.918700035156275963e+00 1.113755090820292670e+00 1.935557749023463781e-01 6.142857430840856559e+00 4.315919269582448869e+00 1.210528706515290098e+00 2.254377298015020625e-01 9.822771594763816949e-02 1.039764487287976949e-02
1.049375716796885794e+00 2.921229731445313949e-01 1.993578710937518247e-02 1.835598229492191091e+00 8.662869497070265767e-01 1.506828291015635535e-01 5.739498270059756990e+00 4.274570482413067474e+00 1.238992242225754215e+00 2.466378871624804736e-01 1.478469980940177175e-01 3.736365140417685637e-02
1.114466482421872850e+00 2.645963505859355025e-01 2.337664453125020206e-02 1.896151106933624986e+00 1.051536033203115839e+00 1.225350380859382277e-01 5.523273190955093170e+00 4.312629864885432873e+00 1.220777209201881819e+00 2.301042765999708750e-01 1.221804289420050788e-01 1.375243089356266608e-02
1.113750981445316590e+00 2.558711328125035656e-01 2.234026123046882126e-02 1.877829523437523074e+00 1.062569192382798899e+00 1.501331914062508377e-01 6.167030985446292135e+00 4.293259054862883062e+00 1.248130686375058529e+00 2.202669539512091823e-01 8.609970449924814195e-02 1.317839438782413865e-02
1.090592535156250431e+00 2.671826997070322340e-01 2.380846875000024176e-02 1.940957453613297412e+00 1.067296506835919478e+00 1.827299326171890337e-01 6.553178304040893742e+00 4.303237039099690797e+00 1.222085573378448364e+00 2.320350908688595115e-01 1.049208395195895122e-01 2.037029995648716174e-02
1.109548398925779722e+00 2.623605561523449370e-01 2.410784082031277795e-02 1.881290971679703050e+00 1.160075290039043638e+00 1.514023461914073276e-01 6.496704049675497750e+00 4.284973934565410758e+00 1.257877666413064199e+00 2.267492721073598727e-01 9.900402866713653438e-02 2.221883977590389039e-02
1.099801236328125764e+00 2.645992939453138404e-01 2.420310009765644019e-02 1.887577318847676100e+00 1.098035615234357110e+00 1.787693764648456696e-01 6.373152057920415281e+00 4.302489727149029441e+00 1.227706432115067692e+00 2.297810330807764923e-01 1.068945033774102576e-01 1.795128573696322047e-02
1.081335192382816057e+00 2.675148535156271490e-01 2.352624316406272745e-02 1.930412089843767998e+00 1.034241474121074811e+00 1.975913544921891751e-01 6.734037062383184669e+00 4.305005163093905907e+00 1.214226735542550673e+00 2.322427873038682700e-01 7.964751840147318851e-02 1.478051042403157565e-02
1.097201880859375978e+00 2.778564111328125086e-01 2.388163085937514488e-02 1.852914632324238697e+00 9.560287832031192368e-01 1.389689599609383874e-01 5.643579278098463270e+00 4.293677761393129622e+00 1.238230498341434949e+00 2.405307887851865778e-01 1.348480284162187626e-01 2.555163716632334256e-02
1.069109164550785085e+00 2.676156459960948308e-01 2.311110595703143658e-02 1.939940882324229454e+00 1.022017853515605701e+00 2.126350083007826908e-01 6.864796181018999022e+00 4.315336740680442595e+00 1.193483104578910270e+00 2.322329187623458080e-01 1.021054847732671966e-01 1.557110843333215852e-02
1.097289900390628015e+00 2.648753081054696645e-01 2.351808886718766145e-02 1.881466282714871818e+00 1.105569554687485745e+00 1.602220253906263825e-01 6.255611697207023703e+00 4.303160046706149267e+00 1.224732678527973073e+00 2.294298498636527517e-01 9.607606322820742839e-02 1.489642505019159180e-02
1.100786762695318943e+00 2.582479204101588155e-01 2.250284814453142393e-02 1.894381108398466518e+00 1.174254748535135784e+00 1.744995825195327366e-01 6.288346333207220695e+00 4.306888504776338777e+00 1.221728166979082264e+00 2.236682426662091328e-01 8.529835362896577566e-02 1.109015502953866923e-02
1.087400220703132581e+00 2.641745903320333322e-01 2.189175195312522207e-02 1.886772221679705375e+00 1.177173765136700023e+00 1.686297583007823342e-01 6.422594806120446975e+00 4.297494619839993923e+00 1.227372165809275772e+00 2.276471192774260355e-01 9.667855687840828938e-02 1.805980733955814960e-02
1.100256663085935172e+00 2.636855478515628959e-01 2.368494189453156096e-02 1.921654631835961968e+00 1.173853377929668707e+00 1.753467924804700817e-01 6.360513493463415102e+00 4.304269355724203550e+00 1.225335961682647801e+00 2.289603930721767766e-01 1.069487548731803406e-01 1.831406031289969580e-02
1.078276578125008767e+00 2.799596074218740904e-01 2.197701806640635358e-02 1.850101607421888339e+00 8.797607856445263108e-01 1.228703007812505521e-01 5.736378965694089338e+00 4.289435391824436117e+00 1.233396093563727591e+00 2.401288890914113627e-01 1.050277252692855406e-01 1.956585450435504095e-02
