l n nu dnu n_g
0 3 160.077 0.122 0 
0 4 190.043 0.117 0 
0 5 220.290 0.111 0 
0 6 250.569 0.106 0 
0 7 281.222 0.051 0 
0 8 311.255 0.029 0 
0 9 340.447 0.031 0 
0 10 369.428 0.021 0 
0 11 399.523 0.020 0 
0 12 430.738 0.015 0 
0 13 462.040 0.015 0 
0 14 493.063 0.018 0 
0 15 523.699 0.029 0 
0 16 554.545 0.052 0 
0 17 585.648 0.146 0 
0 18 617.413 0.183 0 
0 19 649.042 0.193 0 
0 20 681.095 0.202 0 
0 21 712.806 0.212 0 
0 22 744.564 0.223 0 
0 23 775.902 0.234 0 
0 24 807.221 0.246 0 
1 -19 142.496 0.271 22 
1 -18 148.908 0.258 21 
1 -17 156.449 0.246 20 
1 -4 163.084 0.234 7 
1 -15 165.816 0.223 18 
1 -14 173.617 0.213 18 
1 -3 180.651 0.203 7 
1 -12 188.361 0.193 16 
1 -11 197.545 0.184 15 
1 -10 201.470 0.175 15 
1 -9 214.068 0.167 14 
1 -8 227.210 0.159 13 
1 -7 230.965 0.151 13 
1 -6 248.685 0.144 12 
1 1 257.860 0.137 5 
1 -4 270.503 0.131 11 
1 3 287.665 0.124 4 
1 -2 297.013 0.118 10 
1 5 316.113 0.113 3 
1 0 328.261 0.107 9 
1 7 344.621 0.102 2 
1 6 362.271 0.051 4 
1 3 375.979 0.037 7 
1 8 394.751 0.028 3 
1 5 414.269 0.023 7 
1 8 432.498 0.016 4 
1 9 451.234 0.017 4 
1 8 475.611 0.014 6 
1 11 495.122 0.018 4 
1 12 513.536 0.024 3 
1 11 539.551 0.050 5 
1 12 565.350 0.102 4 
1 13 582.649 0.216 4 
1 16 604.988 0.227 2 
1 15 634.811 0.238 4 
1 16 664.369 0.250 4 
1 17 690.743 0.263 3 
1 18 706.446 0.276 3 
1 19 731.000 0.290 3 
1 20 761.163 0.304 3 
1 21 791.241 0.319 3 
2 -37 137.688 0.379 39 
2 -35 145.441 0.361 38 
2 -34 148.878 0.343 37 
2 -33 151.331 0.327 36 
2 -32 154.182 0.311 35 
2 -31 158.226 0.297 34 
2 -30 162.959 0.282 33 
2 -29 164.979 0.269 32 
2 -28 169.569 0.256 31 
2 -27 175.179 0.244 30 
2 -26 181.101 0.232 30 
2 -25 184.044 0.221 29 
2 -24 187.833 0.211 28 
2 -23 194.919 0.201 27 
2 -22 201.589 0.191 26 
2 -21 206.648 0.182 25 
2 -20 211.590 0.173 25 
2 -19 217.883 0.165 24 
2 -18 221.691 0.157 23 
2 -17 229.775 0.150 22 
2 -16 239.745 0.143 22 
2 -15 245.793 0.136 21 
2 -14 251.555 0.129 20 
2 -13 264.081 0.123 19 
2 -12 275.152 0.117 19 
2 -11 278.417 0.112 18 
2 -10 291.563 0.106 17 
2 -9 301.665 0.101 16 
2 -8 308.568 0.097 16 
2 -7 316.846 0.092 15 
2 -6 334.870 0.088 15 
2 -5 337.433 0.083 14 
2 -4 357.603 0.079 13 
2 -3 366.010 0.076 13 
2 -2 383.476 0.072 12 
2 -1 396.010 0.069 12 
2 0 413.300 0.065 11 
2 1 427.364 0.042 11 
2 2 447.621 0.034 10 
2 3 458.841 0.027 10 
2 4 488.297 0.027 10 
2 5 490.210 0.040 9 
2 6 520.769 0.068 9 
2 7 538.030 0.181 8 
2 8 551.386 0.300 8 
2 9 582.846 0.315 8 
2 10 598.093 0.330 7 
2 11 614.644 0.347 7 
2 12 646.063 0.364 7 
2 13 671.253 0.382 6 
2 14 678.631 0.402 6 
2 15 709.889 0.422 6 
2 16 741.754 0.443 6 
2 17 758.999 0.465 5 
2 18 772.705 0.488 5 
2 19 804.284 0.512 5 
