l   n     nu      dnu
  0  14   1459.23    0.30
  0  15   1554.45    0.17
  0  16   1649.27    0.11
  0  17   1743.25    0.08
  0  18   1837.95    0.07
  0  19   1933.59    0.06
  0  20   2030.18    0.06
  0  21   2126.64    0.07
  0  22   2223.08    0.10
  0  23   2319.52    0.16
  0  24   2416.20    0.30
  0  25   2513.97    0.69
  1  14   1502.60    0.27
  1  15   1598.28    0.14
  1  16   1692.62    0.09
  1  17   1787.00    0.07
  1  18   1882.52    0.06
  1  19   1978.82    0.05
  1  20   2075.65    0.05
  1  21   2172.26    0.07
  1  22   2269.35    0.10
  1  23   2366.03    0.15
  1  24   2463.26    0.29
  1  25   2559.90    0.66
  1  26   2659.59    1.99
  2  15   1641.81    0.28
  2  16   1736.43    0.17
  2  17   1831.09    0.13
  2  18   1927.13    0.10
  2  19   2023.75    0.09
  2  20   2120.58    0.11
  2  21   2217.56    0.15
  2  22   2313.95    0.21
  2  23   2411.21    0.33
  2  24   2508.22    0.60
  2  25   2602.63    1.38
