l   n     nu      dnu
  0  14   1844.12    0.29
  0  15   1963.29    0.16
  0  16   2082.00    0.11
  0  17   2200.05    0.08
  0  18   2319.04    0.06
  0  19   2439.21    0.05
  0  20   2559.80    0.05
  0  21   2680.52    0.07
  0  22   2801.07    0.10
  0  23   2921.66    0.18
  0  24   3042.91    0.36
  0  25   3165.13    0.95
  1  14   1899.39    0.26
  1  15   2018.53    0.14
  1  16   2136.91    0.09
  1  17   2255.91    0.07
  1  18   2375.64    0.05
  1  19   2496.34    0.05
  1  20   2617.23    0.05
  1  21   2738.05    0.07
  1  22   2858.97    0.10
  1  23   2979.95    0.18
  1  24   3102.13    0.35
  1  25   3224.11    0.92
  2  15   2073.40    0.27
  2  16   2192.17    0.17
  2  17   2311.66    0.12
  2  18   2431.91    0.09
  2  19   2552.84    0.09
  2  20   2674.09    0.11
  2  21   2794.84    0.15
  2  22   2916.25    0.23
  2  23   3037.48    0.38
  2  24   3160.07    0.76
