l   n     nu      dnu
  0  13    976.77    0.46
  0  14   1046.11    0.24
  0  15   1115.95    0.16
  0  16   1185.07    0.12
  0  17   1253.65    0.10
  0  18   1322.36    0.08
  0  19   1391.98    0.10
  0  20   1462.63    0.14
  0  21   1532.93    0.21
  0  22   1604.12    0.38
  0  23   1674.96    0.83
  1  13   1006.80    0.40
  1  14   1077.20    0.21
  1  15   1146.57    0.14
  1  16   1215.61    0.10
  1  17   1283.88    0.08
  1  18   1353.16    0.07
  1  19   1423.37    0.09
  1  20   1494.53    0.13
  1  21   1565.23    0.20
  1  22   1636.42    0.34
  1  23   1707.50    0.75
  1  24   1776.20    2.16
  2  14   1110.68    0.40
  2  15   1179.57    0.25
  2  16   1248.67    0.17
  2  17   1317.55    0.14
  2  18   1386.85    0.15
  2  19   1457.18    0.20
  2  20   1528.72    0.27
  2  21   1600.11    0.40
  2  22   1668.97    0.69
