l n nu dnu n_g
0 3 148.166 0.137 0 
0 4 178.800 0.130 0 
0 5 208.908 0.124 0 
0 6 238.312 0.118 0 
0 7 266.518 0.112 0 
0 8 294.187 0.053 0 
0 9 322.416 0.030 0 
0 10 350.852 0.032 0 
0 11 378.810 0.021 0 
0 12 406.914 0.020 0 
0 13 435.694 0.015 0 
0 14 464.802 0.015 0 
0 15 493.813 0.018 0 
0 16 522.768 0.029 0 
0 17 552.084 0.052 0 
0 18 581.370 0.145 0 
0 19 610.867 0.181 0 
0 20 640.550 0.191 0 
0 21 670.196 0.200 0 
0 22 699.819 0.210 0 
0 23 729.308 0.221 0 
0 24 758.672 0.232 0 
1 -34 150.688 0.466 37 
1 -19 153.319 0.444 22 
1 -8 155.998 0.423 11 
1 -31 158.831 0.403 34 
1 -30 163.424 0.384 34 
1 -25 168.982 0.365 29 
1 -10 173.442 0.348 14 
1 -3 177.851 0.331 7 
1 -4 181.446 0.316 8 
1 -25 186.378 0.301 29 
1 -24 192.637 0.286 29 
1 -1 197.325 0.273 6 
1 -4 201.478 0.260 9 
1 -13 208.237 0.247 18 
1 -20 215.698 0.235 25 
1 -15 221.441 0.224 21 
1 -8 226.110 0.214 15 
1 -11 235.201 0.203 17 
1 -10 244.267 0.194 16 
1 -15 249.282 0.185 21 
1 -10 257.905 0.176 17 
1 -1 268.257 0.167 8 
1 -6 274.553 0.159 13 
1 -7 284.249 0.152 15 
1 4 294.897 0.145 4 
1 -9 302.850 0.138 17 
1 2 314.883 0.131 7 
1 5 323.418 0.125 4 
1 -6 337.022 0.119 16 
1 7 345.954 0.113 3 
1 -4 360.732 0.107 14 
1 7 370.745 0.052 4 
1 -2 386.641 0.038 13 
1 9 397.172 0.028 3 
1 0 415.473 0.023 12 
1 9 425.304 0.016 4 
1 2 447.438 0.017 11 
1 9 455.408 0.014 5 
1 6 479.532 0.017 9 
1 5 490.868 0.023 10 
1 12 509.773 0.047 4 
1 7 533.491 0.097 9 
1 10 542.359 0.201 7 
1 15 567.387 0.211 3 
1 10 591.137 0.222 8 
1 11 600.503 0.233 8 
1 14 626.086 0.245 6 
1 13 652.437 0.257 7 
1 14 666.919 0.270 7 
1 17 686.291 0.283 6 
1 16 713.787 0.297 7 
1 17 738.962 0.312 6 
2 -64 143.990 0.892 67 
2 -63 145.082 0.849 66 
2 -62 147.539 0.809 65 
2 -61 150.424 0.770 64 
2 -60 152.518 0.734 63 
2 -59 154.876 0.699 62 
2 -58 156.812 0.666 61 
2 -57 159.962 0.634 60 
2 -56 163.058 0.604 59 
2 -55 164.723 0.575 58 
2 -54 167.713 0.548 57 
2 -53 170.026 0.521 57 
2 -52 172.286 0.497 56 
2 -51 174.489 0.473 55 
2 -50 176.568 0.450 54 
2 -49 177.458 0.429 53 
2 -48 181.674 0.409 52 
2 -47 184.882 0.389 51 
2 -46 188.462 0.371 50 
2 -45 192.462 0.353 49 
2 -44 196.954 0.336 48 
2 -43 201.017 0.320 48 
2 -42 204.104 0.305 47 
2 -41 205.562 0.290 46 
2 -40 209.651 0.277 45 
2 -39 213.577 0.263 44 
2 -38 219.068 0.251 43 
2 -37 223.546 0.239 42 
2 -36 228.030 0.228 41 
2 -35 231.827 0.217 41 
2 -34 235.349 0.206 40 
2 -33 237.730 0.197 39 
2 -32 243.231 0.187 38 
2 -31 249.613 0.178 37 
2 -30 256.187 0.170 36 
2 -29 262.876 0.162 36 
2 -28 263.557 0.154 35 
2 -27 271.368 0.147 34 
2 -26 279.269 0.140 33 
2 -25 287.782 0.133 33 
2 -24 291.018 0.127 32 
2 -23 296.873 0.121 31 
2 -22 305.999 0.115 30 
2 -21 316.083 0.109 30 
2 -20 319.307 0.104 29 
2 -19 326.629 0.099 28 
2 -18 337.393 0.095 27 
2 -17 346.704 0.090 27 
2 -16 349.383 0.086 26 
2 -15 359.062 0.082 25 
2 -14 370.808 0.078 24 
2 -13 376.567 0.074 24 
2 -12 384.652 0.071 23 
2 -11 400.046 0.067 22 
2 -10 404.286 0.064 22 
2 -9 417.696 0.041 21 
2 -8 432.922 0.033 21 
2 -7 436.672 0.026 20 
2 -6 457.417 0.025 19 
2 -5 462.269 0.037 19 
2 -4 480.479 0.063 18 
2 -3 491.390 0.165 18 
2 -2 505.395 0.275 17 
2 -1 520.677 0.288 17 
2 0 534.182 0.303 16 
2 1 549.555 0.318 16 
2 2 565.319 0.334 15 
2 3 578.953 0.351 15 
2 4 601.197 0.368 14 
2 5 608.397 0.387 14 
2 6 638.139 0.406 14 
2 7 641.584 0.426 13 
2 8 667.476 0.448 13 
2 9 687.393 0.470 12 
2 10 697.429 0.493 12 
2 11 726.282 0.518 12 
2 12 739.753 0.544 11 
2 13 755.691 0.571 11 
