n l nu dnu
9 2 901.209035943 2.83789143869
10 0 909.533038246 2.51520386584
10 1 943.783193619 1.61836172448
10 2 978.780283845 2.29780822263
11 0 985.933999865 0.63870513827
11 1 1019.16169537 1.06138436362
11 2 1053.34776738 2.83718681195
12 0 1059.16257337 0.999947976919
12 1 1094.72859155 0.484336082635
12 2 1128.41994268 1.36538220635
13 0 1133.38176152 0.510042337369
13 1 1166.79517735 0.384473410563
13 2 1202.25173906 0.958378315029
14 0 1205.82331238 0.316157399608
14 1 1239.60935956 0.476451871858
14 2 1271.67693852 0.802991028704
15 0 1279.67365584 0.404058427216
15 1 1314.17379737 0.468533252814
15 2 1346.68529017 0.899645480084
16 0 1356.21393291 0.36445859469
16 1 1391.33795937 0.324689516093
16 2 1424.32988316 1.62981068623
17 0 1432.08520186 0.516007912026
17 1 1468.41655444 0.33028592081
17 2 1501.72674986 1.13018404534
18 0 1509.38787906 0.341978575149
18 1 1544.60725832 0.294153383492
18 2 1578.23260283 1.39571136877
19 0 1585.54777561 0.42987606018
19 1 1620.50105138 0.312139619923
19 2 1654.17348881 1.10505745641
20 0 1660.11695877 0.378859278884
20 1 1695.66732385 0.315988330859
20 2 1731.72016239 1.2107897855
21 0 1734.4546058 0.596742241997
21 1 1771.57619027 0.359427478529
21 2 1806.69968205 1.50821809439
22 0 1810.86769404 0.626002512992
22 1 1845.7636493 0.411355360794
22 2 1882.58550983 1.82542125662
23 0 1886.74500489 0.690462615848
23 1 1922.74367371 0.52342842969
23 2 1960.41126241 1.90350883391
24 0 1965.62381783 1.13385327388
24 1 2000.5933351 0.651358345617
24 2 2037.35658543 1.7925533468
25 0 2042.05193102 2.03860862788
25 1 2074.98150469 1.11324737966
25 2 2113.08448953 1.92244545409
26 0 2117.22350449 1.08907115073
26 1 2157.59019205 1.04274824242
26 2 2190.10122257 2.12500059262
27 0 2194.7556499 1.07732293864
27 1 2233.88398968 1.46017315738
