n l nu dnu
13 1 1212.51184 0.821048537965 
14 1 1292.04915 0.658887384874 
15 1 1372.45164 0.80497626839 
15 2 1412.10517 0.898200666985 
16 0 1417.689945 0.326400106661 
16 1 1453.4942 0.268626635944 
16 2 1494.00722 0.751314532642 
17 0 1499.65169 0.4452834966 
17 1 1535.58006 0.383564026913 
17 2 1575.49057 0.60897780144 
18 0 1581.139835 0.256882103175 
18 1 1617.67673 0.221430431373 
18 2 1658.167475 0.700224258785 
19 0 1663.66736 0.350982731261 
19 1 1699.32824 0.304625561907 
19 2 1739.57662 0.801788788076 
20 0 1745.53503 0.711422331934 
20 1 1782.11445 0.785830322713 
20 2 1822.294395 0.939830831814 
21 0 1827.26955 0.778736336781 
21 1 1863.67541 0.825681749481 
