n l nu dnu
10 0 437.798325 0.258688804416 
11 0 477.07249 0.111920438372 
11 2 510.769542 0.339128533917 
12 0 515.314225 0.188020216942 
13 0 552.769773 0.0665230196598 
14 0 591.3546625 0.168156052391 
15 0 629.724885 0.0609589463403 
15 2 665.338093 0.111649046159 
16 0 668.964954 0.071108563541 
17 0 707.829964 0.128722666545 
17 2 743.545813 0.223866870296 
18 0 747.003431 0.137725709023 
19 0 786.256405 0.399997193042 
20 0 826.832749 0.687016927632 
20 2 823.00635 0.970962376166 
21 0 864.873385 0.607000002322 
