l n nu dnu n_g
0 3 163.906 0.147 0 
0 4 194.580 0.140 0 
0 5 225.146 0.134 0 
0 6 255.884 0.127 0 
0 7 286.959 0.121 0 
0 8 318.224 0.058 0 
0 9 348.437 0.032 0 
0 10 378.083 0.035 0 
0 11 408.426 0.023 0 
0 12 439.929 0.022 0 
0 13 472.196 0.017 0 
0 14 504.296 0.016 0 
0 15 536.177 0.019 0 
0 16 567.670 0.031 0 
0 17 599.231 0.056 0 
0 18 631.427 0.158 0 
0 19 663.876 0.197 0 
0 20 696.602 0.207 0 
0 21 729.023 0.217 0 
0 22 762.048 0.228 0 
0 23 794.792 0.240 0 
0 24 825.962 0.252 0 
1 -17 145.355 0.267 20 
1 -16 152.517 0.254 19 
1 -15 161.088 0.242 18 
1 -4 166.439 0.230 7 
1 -13 171.610 0.219 16 
1 -4 178.537 0.209 8 
1 -11 186.327 0.199 15 
1 -10 197.968 0.190 14 
1 -9 202.547 0.181 13 
1 -8 212.888 0.172 13 
1 -7 229.355 0.164 12 
1 -6 233.164 0.156 11 
1 -5 250.034 0.149 11 
1 2 263.015 0.141 4 
1 -3 274.646 0.135 10 
1 4 293.138 0.128 3 
1 -1 303.944 0.122 9 
1 6 323.590 0.116 2 
1 1 338.596 0.111 8 
1 6 353.709 0.105 3 
1 7 373.416 0.053 3 
1 4 389.102 0.039 6 
1 7 407.753 0.029 4 
1 8 427.314 0.023 4 
1 7 450.277 0.017 5 
1 10 468.694 0.017 3 
1 11 491.009 0.015 3 
1 10 517.668 0.018 5 
1 11 538.274 0.026 4 
1 14 557.480 0.052 2 
1 15 584.787 0.106 2 
1 14 614.418 0.228 4 
1 15 641.644 0.240 3 
1 16 656.959 0.252 3 
1 17 682.390 0.264 3 
1 18 713.506 0.277 3 
1 19 745.325 0.291 3 
1 20 775.979 0.306 3 
1 21 807.203 0.321 2 
2 -31 150.727 0.312 34 
2 -30 153.372 0.297 33 
2 -29 156.173 0.283 32 
2 -28 161.117 0.270 31 
2 -27 165.694 0.257 30 
2 -26 168.080 0.245 29 
2 -25 173.334 0.233 28 
2 -24 180.135 0.222 28 
2 -23 186.035 0.211 27 
2 -22 187.985 0.201 26 
2 -21 194.251 0.192 25 
2 -20 201.889 0.182 24 
2 -19 207.770 0.174 23 
2 -18 212.783 0.165 23 
2 -17 220.653 0.158 22 
2 -16 223.927 0.150 21 
2 -15 232.887 0.143 20 
2 -14 244.234 0.136 20 
2 -13 250.734 0.130 19 
2 -12 257.282 0.123 18 
2 -11 271.378 0.118 17 
2 -10 280.255 0.112 17 
2 -9 287.050 0.107 16 
2 -8 297.736 0.102 15 
2 -7 310.499 0.097 15 
2 -6 315.734 0.092 14 
2 -5 331.232 0.088 13 
2 -4 344.712 0.084 13 
2 -3 354.870 0.080 12 
2 -2 374.502 0.076 12 
2 -1 382.092 0.072 11 
2 0 404.817 0.069 11 
2 1 413.902 0.065 10 
2 2 436.363 0.043 10 
2 3 451.950 0.034 9 
2 4 468.812 0.028 9 
2 5 497.697 0.027 9 
2 6 501.231 0.040 8 
2 7 532.942 0.070 8 
2 8 554.002 0.187 7 
2 9 564.350 0.307 7 
2 10 596.712 0.322 7 
2 11 622.755 0.338 6 
2 12 628.801 0.355 6 
2 13 660.932 0.373 6 
2 14 693.960 0.391 6 
2 15 705.279 0.411 5 
2 16 726.207 0.432 5 
2 17 759.095 0.453 5 
2 18 791.452 0.476 5 
2 19 809.502 0.500 4 
