Teff L dnu02_median dnu02_slope r_sep02_median r_sep02_slope r_avg01_median r_avg01_slope r_avg10_median r_avg10_slope
5.514263968047235925e-02 6.845417646489339314e-02 5.100383258181889756e-02 8.869246798574850765e-02 6.898446400378852039e-02 7.774573790436896392e-02 6.301757712285011026e-02 1.158340702769449920e-01 1.818318998296942213e-01 2.292931341494199859e-01
5.666697894022062337e-02 5.984920355849571855e-02 5.302050062019024457e-02 8.863008056593173201e-02 8.970775895930940824e-02 7.031814891521100119e-02 6.774502162219941948e-02 8.056198556128980892e-02 2.495284325275369808e-01 1.839718887296150351e-01
5.922835554441126943e-02 5.447168773424047872e-02 5.714922985756154539e-02 7.329438395374537896e-02 5.786250864907512698e-02 7.078637049295564976e-02 5.305170229277474114e-02 1.172857164819722520e-01 1.845063946173036151e-01 2.723636503759599425e-01
6.199008424949527946e-02 4.708446006526388616e-02 6.385430305799416617e-02 7.231007956982911378e-02 5.872470884388000800e-02 7.825754359300146623e-02 7.618447681227043244e-02 1.211955257886922072e-01 1.427749797533043041e-01 2.776238382662692405e-01
5.404432779027847078e-02 6.030823339937492478e-02 6.091115184329279342e-02 6.004691768787536604e-02 8.847775820852044060e-02 8.101069218513672066e-02 5.712102628425681783e-02 1.396061026173160413e-01 1.370179363269596329e-01 2.614558536569886460e-01
5.672860918315054263e-02 4.799475582226012810e-02 5.912419725118467362e-02 7.243758556207900712e-02 6.294427285061546251e-02 6.957202844945840903e-02 6.262125906145103726e-02 1.202350774950177448e-01 2.006062248597318964e-01 2.477359894650511263e-01
5.651985651735317445e-02 5.827822278512016091e-02 4.888066585906965938e-02 6.230681125893551553e-02 7.600992431862631238e-02 7.920874348960134370e-02 5.702664073180732651e-02 1.176899425634384960e-01 2.149278616688748145e-01 2.291513308071732868e-01
5.755289259970177568e-02 5.402651613187702678e-02 4.924962434179164933e-02 7.815605310765613711e-02 6.594570901214819036e-02 8.170279035235314402e-02 6.842831373805523254e-02 7.805435754719397545e-02 2.798939834762049772e-01 1.869897596930178429e-01
5.188062985950187694e-02 5.279396376451298695e-02 5.820623440035292001e-02 1.146672794889771890e-01 4.645563784924899159e-02 7.928958677508504693e-02 9.953511731317757349e-02 1.173344354169748444e-01 1.616891489635710333e-01 2.181479661685974680e-01
5.531938590290822605e-02 5.956804466845817131e-02 5.810392597857211294e-02 8.270913045920411100e-02 7.225392230189003895e-02 7.428716423577988448e-02 6.591482816063479189e-02 1.249882767275147105e-01 1.467847950578567151e-01 2.600705265071812100e-01
5.614210956914158362e-02 5.401818039792808529e-02 6.047644182471106911e-02 5.472219094835687608e-02 1.052959108163040031e-01 7.962913228877474547e-02 9.452609792651087139e-02 7.174875543087290419e-02 1.770312599669661702e-01 2.464099208304336708e-01
6.427135924071221418e-02 5.556060413109170648e-02 5.270673814922649525e-02 6.357857422989678098e-02 7.455247768529957297e-02 8.029518416136519066e-02 7.246086041040429582e-02 7.567847510755505713e-02 1.838585358804029901e-01 2.770371910040457797e-01
5.028895140744974596e-02 6.859232787797377162e-02 5.103172390657601670e-02 6.443317086730743215e-02 6.787492356689660278e-02 7.832776193678156473e-02 7.717103413202751339e-02 1.285839275975266816e-01 1.463011894841785010e-01 2.673949892232821424e-01
6.140399885125993884e-02 6.064624921604606922e-02 6.770459395346549447e-02 6.592859656977188842e-02 7.350842442417754308e-02 6.126733228425348260e-02 5.797317747454725639e-02 9.362044895836908742e-02 2.780320519385950928e-01 1.799151263295142300e-01
5.362229625189713494e-02 5.532507820588383751e-02 5.587344529069684235e-02 6.945498905575461790e-02 6.722771431210274040e-02 7.626699256133873117e-02 1.309625117368127534e-01 1.314286068639283211e-01 1.590644142058527943e-01 2.007739515157322963e-01
5.627477123539183917e-02 5.801880966586168281e-02 5.555739592397641868e-02 5.285071052035782840e-02 8.567481762043260840e-02 7.780888853833954621e-02 6.530259701956982188e-02 8.643610408138130419e-02 2.207104537812235312e-01 2.413654516134653705e-01
5.538304636169327083e-02 6.581545586144059434e-02 5.317236523801993631e-02 7.120335078200017154e-02 6.781552861335236881e-02 6.795752229986272430e-02 8.897455347433430584e-02 6.734534686673737669e-02 2.595626304954550267e-01 2.027702000071044119e-01
5.403750444572218842e-02 6.326937294513459986e-02 5.311679351677173200e-02 1.021528075345134456e-01 6.614034855153695658e-02 7.050053023440508437e-02 6.894411291250279739e-02 8.042298855223835308e-02 2.074703078283343105e-01 2.339452334788405252e-01
5.396183899557607105e-02 5.445611631743055292e-02 5.981753235057535312e-02 6.203859938616580749e-02 7.061691421025563520e-02 7.050511822215560498e-02 1.410308812548432544e-01 1.202141147191109344e-01 1.620266653005654756e-01 2.053322192433212068e-01
5.713138158891575835e-02 6.351139219682060133e-02 5.499955439800168627e-02 6.036527977649251697e-02 6.753404892874124987e-02 7.493837357716116865e-02 1.227673593892265741e-01 1.328838877543582764e-01 1.563645017867381914e-01 2.095042206035439558e-01
5.276809302503378957e-02 5.390917818810636586e-02 5.818770469390367739e-02 1.054305470177766546e-01 4.765308581485323824e-02 8.357405848609099352e-02 1.126165851896554632e-01 6.545506719946042606e-02 1.864510900987252917e-01 2.339545902863939542e-01
5.297743193916663873e-02 6.627678604275147323e-02 5.360835859479096827e-02 5.515306553658888555e-02 8.503137565125010178e-02 7.545922404155740171e-02 7.255041431806648344e-02 5.631478194393200326e-02 2.284161638789778681e-01 2.542123980529181759e-01
6.381766918120317100e-02 5.440469842452208549e-02 6.360542264183557948e-02 5.971378572770801030e-02 7.761735037750587540e-02 6.854886186639030932e-02 9.357664961256946523e-02 1.131901357669149039e-01 1.653776711666908317e-01 2.401477552346597266e-01
5.424834663902075582e-02 6.287756670311858698e-02 5.681964407649439663e-02 6.827503386233269023e-02 7.297431701153966888e-02 8.192532541210059693e-02 7.069236586581058301e-02 1.001677695061762713e-01 1.595942018166018050e-01 2.724254291068045619e-01
5.454316940232718791e-02 5.990764097212426115e-02 5.631636977801068172e-02 7.940134099249043786e-02 7.096905751790194561e-02 7.548296859584806284e-02 6.580854008804369604e-02 7.923017645927728225e-02 2.733000825172856585e-01 1.850406536766907306e-01
4.900378967728218071e-02 7.288563837117606470e-02 5.142210633649198920e-02 6.603061957198505527e-02 6.570890415205001001e-02 6.601522708004442519e-02 1.060332053928192408e-01 1.364414616408960168e-01 1.775023631541185476e-01 2.089566846231363795e-01
