Teff L dnu02_median dnu02_slope r_sep02_median r_sep02_slope r_avg01_median r_avg01_slope r_avg10_median r_avg10_slope
6.504926926342220750e-02 5.608826865149268287e-02 5.776529594029118642e-02 6.993336702743670197e-02 7.001210761207929401e-02 6.854301421490936741e-02 6.046757261994703536e-02 1.076288709970285584e-01 1.975674039170486340e-01 2.469448297563443806e-01
5.563768106074325898e-02 5.897520746377254292e-02 5.827349983025896518e-02 8.339794744878332999e-02 5.622358134932476520e-02 7.626281325789224796e-02 5.994760250189648532e-02 1.065057390605284454e-01 1.980881519680723346e-01 2.466877760587275759e-01
6.446569239859180345e-02 5.207815002186055864e-02 5.737972316629286196e-02 8.773840459907655820e-02 6.471047802364142398e-02 7.731289526490649211e-02 6.076290749006958702e-02 7.369815155759933123e-02 2.692900025188917912e-01 1.925635949590695783e-01
5.078198984964194668e-02 6.008544087254995281e-02 6.112084568225128328e-02 6.429639661128470907e-02 6.473632379622838717e-02 7.214663376206804923e-02 1.176190969981342205e-01 1.295478887992908279e-01 1.543870839585889665e-01 2.252782996699615736e-01
4.989697246607711217e-02 5.299906295546814861e-02 6.195396694939848264e-02 6.660206154555732561e-02 6.253952520073223498e-02 8.567173671252173439e-02 7.309878937598514315e-02 1.214927896704941224e-01 2.381345267990328252e-01 1.876105683247329403e-01
5.969589492589292418e-02 6.137278110715125440e-02 6.341763933011573817e-02 9.073439794207913134e-02 5.681576071625358410e-02 7.111442071829779388e-02 6.366700173460511369e-02 7.037476160941960601e-02 2.087935643040795541e-01 2.540137776121052515e-01
5.423555280371977066e-02 6.098499853673904070e-02 4.989767566847928132e-02 9.680773478031166890e-02 6.966760991547983617e-02 7.563331990863673970e-02 7.359046510408025210e-02 8.125314138547119758e-02 1.654810323216452661e-01 2.724484695754369468e-01
4.783924042612710398e-02 5.778576073655870837e-02 5.979725875918230626e-02 6.822658768949370345e-02 7.013402900420044606e-02 7.606045111366752098e-02 7.627417632925977131e-02 7.683228909282327490e-02 2.045806935723254449e-01 2.624695132763617544e-01
5.748608043274013729e-02 5.626158704423389612e-02 4.803792361295874253e-02 9.612280303550721494e-02 8.852603593847954699e-02 8.315941395611385623e-02 6.371954379955459269e-02 9.152642195156793226e-02 1.649250199886209411e-01 2.502351702402230704e-01
5.349655744308335487e-02 5.574689762489330042e-02 6.390733328898440258e-02 9.361711497869798504e-02 5.726976320952079785e-02 6.832667576904602469e-02 5.902773384274817570e-02 9.197544354807776767e-02 2.015412817211094110e-01 2.550911985738389398e-01
5.441685107166487068e-02 5.091196811660216037e-02 6.474515575882103247e-02 9.052829705104535607e-02 7.419830128161163108e-02 7.722960831674999249e-02 7.617501779279595153e-02 8.659012997411193180e-02 1.726124283082890731e-01 2.525922423283078477e-01
5.060074783302382501e-02 5.616578607765634196e-02 6.317230263764612996e-02 8.707828192863324712e-02 5.938624114023085404e-02 7.623228773067675101e-02 9.259310432636370936e-02 1.187419000642071232e-01 1.379026866353238179e-01 2.581266616262382074e-01
5.156285657112320148e-02 5.787880172686069025e-02 6.268254147676143029e-02 1.086421986824272073e-01 5.188451060219947258e-02 7.511818385383757513e-02 6.737487682557587176e-02 1.180466304855237597e-01 1.800534939871980267e-01 2.267559057884926954e-01
5.481429538891992997e-02 5.683534616919982269e-02 5.624378787141594283e-02 1.040258040481214646e-01 5.259945361328278307e-02 7.568657097926727306e-02 1.082378324134956327e-01 1.155481232803106661e-01 1.579374685441924941e-01 2.180713176917939145e-01
5.802178995583838483e-02 5.161452660913500717e-02 5.784484136080662864e-02 6.166331432593664952e-02 1.104068561523694203e-01 8.855972929521591097e-02 5.881151255947254797e-02 8.345561911995845461e-02 1.640460131653999065e-01 2.655757974558669576e-01
6.007533162303214241e-02 5.275842867625449989e-02 7.220435080536485861e-02 6.192677398734566102e-02 8.744877300349995775e-02 7.022719976251250162e-02 5.302171507903349207e-02 9.127230580792644599e-02 2.088505062051255745e-01 2.422146150499049078e-01
5.488465484711217007e-02 5.768512107439176945e-02 6.520438736612511887e-02 7.599034481732855340e-02 6.205109355317169062e-02 7.307794845053440513e-02 9.261558284748877545e-02 9.991369351262222032e-02 1.675722531511335545e-01 2.510049203800916451e-01
5.520538487817053946e-02 6.400305319155731587e-02 4.955726943869103590e-02 4.808253647056350000e-02 1.106222448374096640e-01 7.812862127776390442e-02 1.211685102196072839e-01 7.612005262146481765e-02 2.014782963035594288e-01 1.956340307612124962e-01
4.633026639799234930e-02 5.754796350397033827e-02 5.608582159053463606e-02 6.660292847487371548e-02 6.301215149666766768e-02 7.476780354752636526e-02 7.704247081636468597e-02 9.580055475611101712e-02 1.949748352331443502e-01 2.678352041828148122e-01
5.042896734694267413e-02 6.510927657713047600e-02 5.815022756784107849e-02 6.836326989493181350e-02 7.540515593847453568e-02 7.345138374334571341e-02 6.061517861422518333e-02 9.622668907609641109e-02 1.747199082210062482e-01 2.775299430200057760e-01
5.311564475488136233e-02 4.986219601963114839e-02 5.437218390067072998e-02 1.131817068773944140e-01 4.946659325466194052e-02 8.195335195036927700e-02 8.127087604817827271e-02 1.090418149043075047e-01 2.196299950558114333e-01 1.881056372340937644e-01
5.981593493983294874e-02 5.237379377328331420e-02 5.905048310576894305e-02 5.048677791856055058e-02 7.586922506779220088e-02 8.424504509522910689e-02 5.755994157907286940e-02 1.351691100970887349e-01 2.027474998474168011e-01 2.226821885759544817e-01
5.262107548615774233e-02 6.511083582651253088e-02 6.199406099041225582e-02 6.529403052402930896e-02 8.579370589506167544e-02 7.785029284006776684e-02 6.522327210097038364e-02 8.003078593390276774e-02 2.041069008380548278e-01 2.419750395648308516e-01
5.192094296901754447e-02 5.434012363887338881e-02 5.745535805681890873e-02 7.667486982651881833e-02 5.965469951403528509e-02 7.145412833675836295e-02 6.583281294438063369e-02 9.258966999519926966e-02 2.171036682338636503e-01 2.529737264845342559e-01
5.902441266250748469e-02 5.703173332974349058e-02 4.740216876445033090e-02 6.550708932503943038e-02 6.836924185043061208e-02 7.533029717470558773e-02 6.438448484056992493e-02 1.309445185262301803e-01 1.941697893792967144e-01 2.378362641470262995e-01
4.893599322977028321e-02 5.977025701611708708e-02 6.517449858062331070e-02 6.341772792204662668e-02 6.059029299001728736e-02 7.422607967661967732e-02 6.516642102083076982e-02 1.274609363564128406e-01 2.524184913771208016e-01 1.828393018304412532e-01
5.938232955875646230e-02 5.718315791455043373e-02 5.504955066738228403e-02 6.246074871491950897e-02 7.246074662664284127e-02 6.634105558979290496e-02 8.216912564149485287e-02 9.907478442697416343e-02 2.616416953524747235e-01 1.842368055070118527e-01
6.167118196430564775e-02 5.270991234626486860e-02 6.012150059628382920e-02 7.285893038083481044e-02 6.545490117860575108e-02 7.670608924445612709e-02 9.314473797750781603e-02 1.391641668192976078e-01 1.362584777373490041e-01 2.419101017550945587e-01
5.350946302883310968e-02 5.157701654844681904e-02 5.930524594370734093e-02 6.766523291210219115e-02 6.273164377524405311e-02 7.452606142089135410e-02 8.590022822118870138e-02 8.945405859434259199e-02 2.720873578417519756e-01 1.832436917134919463e-01
5.764014343197377405e-02 5.267433864426487172e-02 6.013996187584929459e-02 5.594415107169314200e-02 8.830736846305903276e-02 7.698776610490458416e-02 7.168936842991387171e-02 1.006947647044234839e-01 1.728822903847826165e-01 2.630398468891351205e-01
8.032463658650376703e-02 5.116371569258811036e-02 5.287178562345649230e-02 5.569188187514759886e-02 9.373860992307821161e-02 6.944810472169249405e-02 7.884213049279996388e-02 1.166940304118942867e-01 1.516166889390457295e-01 2.496084157337934151e-01
5.898242927776606997e-02 5.116981707562104353e-02 5.210852238487671817e-02 5.671905948254660212e-02 7.917297631659485357e-02 7.573378149036331941e-02 7.153109663237355864e-02 9.259985161971540091e-02 2.413203712628633479e-01 2.206620944572791065e-01
5.512998956019342367e-02 6.056506753518426517e-02 5.768295067861065051e-02 9.196711183593883621e-02 5.595831636861924724e-02 7.685412305993630233e-02 5.461343925895648793e-02 9.414049533163190708e-02 2.625899962310916935e-01 1.904985101398371239e-01
5.756850411848089821e-02 5.357703908283871497e-02 5.259049963927007326e-02 6.132770408571231596e-02 6.977120219502369602e-02 7.325450209153418213e-02 5.894146779920975132e-02 1.189077647230768753e-01 2.781041822582308032e-01 1.759571340066226064e-01
5.872060452269070585e-02 5.608172343961120854e-02 5.233396439046976434e-02 5.582602970865414849e-02 9.398687981876521769e-02 7.414474520241605415e-02 7.656359260379315412e-02 8.477113909117996171e-02 1.737323909404259736e-01 2.738389302819938531e-01
4.715381826212883265e-02 6.589856476070506119e-02 6.761051863409303642e-02 7.435479639006546682e-02 6.425818320196581557e-02 7.003105015649639664e-02 6.814011804936645489e-02 1.194622078693529516e-01 1.968684478363733892e-01 2.262222948394526367e-01
5.524273574175679602e-02 6.337484885297375858e-02 5.913584008462915986e-02 5.281649653801653854e-02 1.164984140631381004e-01 8.251463870634234699e-02 6.736365172777104837e-02 1.001869016190221756e-01 1.362849734235762333e-01 2.665814992427738006e-01
5.546451673829043416e-02 6.077031082823768082e-02 5.778626574183440279e-02 7.056834344730922304e-02 5.869623047367308888e-02 6.931878613728717498e-02 7.570512180327172713e-02 9.691676347786155887e-02 2.826350581797658079e-01 1.721386031724688459e-01
5.485201793450754371e-02 5.206866578567492104e-02 6.086773351332475795e-02 1.010350549144057447e-01 6.192887016833308750e-02 6.973474044016521323e-02 9.771800474312698770e-02 9.704012460134096851e-02 2.075338206793027329e-01 1.972209672198179109e-01
5.303523790067063426e-02 6.524386006916728376e-02 5.651718752138835261e-02 7.483517911839325520e-02 6.107632990992872823e-02 6.999931237343323676e-02 7.560742937794288909e-02 6.641818883157746267e-02 2.192948766143352768e-01 2.579723982831627072e-01
5.101989359334941493e-02 5.237806385876022514e-02 5.788100285431645869e-02 1.147373912827979459e-01 5.365481760966814978e-02 8.295739717490048515e-02 5.373510314233571200e-02 1.253315749741353291e-01 2.333430268865472890e-01 1.749617286231890112e-01
6.200321864173620467e-02 5.964595595297990382e-02 5.092160669376086940e-02 5.996146869924851713e-02 7.877011177511319961e-02 7.738006625177858144e-02 6.870790485607175535e-02 5.819335008935900416e-02 2.073381653362864896e-01 2.770781517036656205e-01
5.816179260514914989e-02 5.447258591733646765e-02 5.723416414266216390e-02 6.963706652740905834e-02 6.694291222912190920e-02 7.176222133610314635e-02 7.893830332562032370e-02 9.991422602797478403e-02 2.733177262854665779e-01 1.696190016031564329e-01
5.487022677482293609e-02 5.180897190273622832e-02 5.869478082696956422e-02 6.593608350024418585e-02 7.142790657412899369e-02 9.090707378159587626e-02 7.189557255703479810e-02 1.230731365369187175e-01 1.431516042354183116e-01 2.682346433101304162e-01
5.790696984786921492e-02 5.409058057898914057e-02 5.734564039616013575e-02 6.901515436829000483e-02 6.411960338822440819e-02 8.012395285997145344e-02 8.469995852545357529e-02 1.266719497115390836e-01 2.025705170164467939e-01 2.034556733070561896e-01
6.361826501695734548e-02 5.628321478504262620e-02 5.240369036047093365e-02 6.832295917446004618e-02 6.374003564391629573e-02 6.914603196827309728e-02 6.502338906852365985e-02 1.207773644955486975e-01 1.639546993314348888e-01 2.767303501553725065e-01
5.504033235022435383e-02 5.898224178261535916e-02 6.273153584770740920e-02 6.270383838543303057e-02 6.436215544573058167e-02 7.438258365982708398e-02 9.842253085015310876e-02 7.508805364018722450e-02 2.661399988080498380e-01 1.821467292300720242e-01
5.365228614688857811e-02 5.607869948760819262e-02 5.401664892104979243e-02 5.763903259596616507e-02 7.434452257077417414e-02 7.407138752726710740e-02 6.808931051299960124e-02 7.986425346797160207e-02 2.819442781298305833e-01 2.002995806396442313e-01
5.617734743326267127e-02 5.850380281596162524e-02 6.017107411279040696e-02 5.682838875594735384e-02 7.831989517890665387e-02 7.308057411054129371e-02 5.871411281413856792e-02 8.813638719908094277e-02 2.475125286632894051e-01 2.225558889160810516e-01
5.638189774225946943e-02 6.321259384506602852e-02 5.934722160904247479e-02 6.215851814475885362e-02 7.145368266033469418e-02 7.495388873403976970e-02 6.125744529879460776e-02 9.239574407338252415e-02 1.923811683352056323e-01 2.664578395571159386e-01
5.484122172675161971e-02 5.714222255650572985e-02 4.922702544231506716e-02 5.112338914097300929e-02 1.120675800131876315e-01 7.473331529492617531e-02 1.234539612081975712e-01 9.822306874123960807e-02 1.744125747156269335e-01 2.047756411602766613e-01
5.025897127804569708e-02 5.899118031207412766e-02 5.431945155665889036e-02 6.472363287946888977e-02 6.406280773925857042e-02 7.274459741490402198e-02 7.187201367538184615e-02 9.510084649925484857e-02 2.128470224416781631e-01 2.550794762032750351e-01
5.676453804843458600e-02 5.611578824268916021e-02 4.556043527804905929e-02 6.877316487360965458e-02 6.981710781329757143e-02 8.033280196502166903e-02 9.552519664467311322e-02 8.333183689487384804e-02 2.578923704556634333e-01 1.858867597836879604e-01
6.458922653290083415e-02 5.194249006746458341e-02 5.480678844643089437e-02 6.775163816063088651e-02 7.619088785055477819e-02 8.424287297158249144e-02 1.054428778769510161e-01 7.153222179139991088e-02 1.973942320910649084e-01 2.261067642110195230e-01
5.768961682729430857e-02 5.218484931978253916e-02 7.325514878424316256e-02 6.048454805324990358e-02 7.366952671481608039e-02 6.459177877872304685e-02 7.100565741460183877e-02 1.068312085718096799e-01 1.791506274475592186e-01 2.611370380879203257e-01
5.967154132518826676e-02 5.872798297878877027e-02 5.653381681798844149e-02 6.633358334086808528e-02 8.020991183565526206e-02 6.949193991672000803e-02 6.566356627899036513e-02 1.090063900418588722e-01 1.661995598583277112e-01 2.681617076056141413e-01
5.398877412923883123e-02 6.607293438035678756e-02 4.976359314315668275e-02 7.081452480105000780e-02 6.840065636476183597e-02 7.210078762146068798e-02 7.290867087910682387e-02 7.873256796988845063e-02 1.953123868061247825e-01 2.719051039048551166e-01
5.032408649462803002e-02 6.160398976580562513e-02 5.428434125312783104e-02 6.951492825358006333e-02 6.342819145773272160e-02 7.704397715287907011e-02 7.880034088852626295e-02 8.840271917717348882e-02 2.021144820303481249e-01 2.544829435261988237e-01
5.914425034145153609e-02 6.472845581504865775e-02 5.600114749721280677e-02 5.600677625146189414e-02 9.779849580907017115e-02 7.498947819508368362e-02 5.635201562160976202e-02 1.004094859611423668e-01 1.624452476798828315e-01 2.721246468280363873e-01
5.527713060044362609e-02 6.239599235409079570e-02 5.065920457899721063e-02 6.230991616675373573e-02 7.108543867127878335e-02 8.160044187388597325e-02 5.601351487452034539e-02 9.620193750918774878e-02 2.147986267640125124e-01 2.496577966068291299e-01
6.322406652777556868e-02 5.280731526674414117e-02 7.461814029812545435e-02 6.323831698470269713e-02 6.607024170878890434e-02 6.917649196486112817e-02 1.120049364279314813e-01 7.514758137257883386e-02 2.360524853497836528e-01 1.876604240987080618e-01
5.313910675216396845e-02 5.769489213742687306e-02 5.448239376492742397e-02 6.372802134523636308e-02 8.876315671906565008e-02 9.321580581094887630e-02 1.308866191642536758e-01 1.075004204913721645e-01 1.399865252064682319e-01 2.106030586081367451e-01
6.038907851230314316e-02 5.335933369682503008e-02 5.915190333033376602e-02 6.265176500601353504e-02 7.711461679594440455e-02 8.593930717879812164e-02 6.411927850273764495e-02 1.229503853409978503e-01 1.474424285051122996e-01 2.668819031309342393e-01
6.356859694847173670e-02 5.171719924632852544e-02 6.538858682127712818e-02 9.748051497221144057e-02 5.018980622167907441e-02 7.224350556691383485e-02 7.340066910532497269e-02 1.007998993517834757e-01 1.700049816616397980e-01 2.552062401043699302e-01
5.623060429754760114e-02 6.201682784066231413e-02 5.001131674445772474e-02 5.540540142251688255e-02 7.090235912166574506e-02 7.412811774729140268e-02 7.762394020555783702e-02 9.126751578587573299e-02 1.881658964349614827e-01 2.742480203994631660e-01
4.520182654159921737e-02 6.303396441214928481e-02 5.824463635451446880e-02 7.370200446583592691e-02 6.953641286320655368e-02 7.814848535835038079e-02 1.229814689401838024e-01 7.858415302165050464e-02 2.200940350026511505e-01 1.904730130398586685e-01
6.098438887229570837e-02 5.612437581937492620e-02 6.627298640281735487e-02 7.940515959379486344e-02 5.963197972228997251e-02 6.748740898052929538e-02 5.480521188713059072e-02 1.261752821978601169e-01 2.675047012720395134e-01 1.616085052518677068e-01
6.113669943861504280e-02 5.722178679226595094e-02 5.984220058533850500e-02 6.125210060085618108e-02 6.955429268031829149e-02 7.070322769135911622e-02 6.832141147236531209e-02 7.521403987016729575e-02 2.735668109879257348e-01 2.031874298807886947e-01
6.090535697247260322e-02 5.243861999542043240e-02 5.704209456101586723e-02 5.916939540983084250e-02 9.744241943989652432e-02 7.184370062408126922e-02 7.344522548242717053e-02 1.027118044358221322e-01 1.513254331887992632e-01 2.736759498902337495e-01
5.928218790593836607e-02 6.270603794295828703e-02 7.055748487613648645e-02 6.483275829726936612e-02 7.157222114320201112e-02 7.178685992916469805e-02 6.456685642814259662e-02 9.221946129904808054e-02 2.075859162209804099e-01 2.348902159571597537e-01
6.593402315191009000e-02 5.421556984208113911e-02 5.920882280143723031e-02 5.493467269878326426e-02 9.579557877569445934e-02 7.308552383312350020e-02 7.498867094875125150e-02 9.027459473903232112e-02 1.637787104610487765e-01 2.677838327481379399e-01
5.246708026042891382e-02 5.778662266234544514e-02 6.240791002891628303e-02 1.175145768967499615e-01 4.756262735841788186e-02 6.741634247866898355e-02 6.727215070800134089e-02 9.134317637618614982e-02 2.193685242591335016e-01 2.168609889711515526e-01
5.089719540963077299e-02 4.590397666472644661e-02 6.624737296399445252e-02 6.297575448760683869e-02 6.709002342189991641e-02 6.752186863546830176e-02 8.341584187090524127e-02 9.736711463375603837e-02 2.756040972629902885e-01 1.829767546490216334e-01
5.585770727628253107e-02 5.870338002294830243e-02 6.145970897178108100e-02 7.030555516301183194e-02 6.933137659423224686e-02 7.294866564483873383e-02 6.690934911368166815e-02 7.693775569192372321e-02 2.640378542976730136e-01 2.035086472236267707e-01
5.337999713958614667e-02 5.563712268197122668e-02 6.112992708592364377e-02 6.446856590501889861e-02 6.977538694445002687e-02 7.012759693334608135e-02 8.352399316184278000e-02 7.762095816100086920e-02 2.567829815310802566e-01 2.075534704557799592e-01
6.936255341252382800e-02 5.915474224950188764e-02 6.113946403942079055e-02 6.874915373596082735e-02 9.299831134330384386e-02 7.050913962790232581e-02 1.170325528472351967e-01 1.164316985670950516e-01 1.650297658581983407e-01 1.795926183188580050e-01
5.007344903558735155e-02 5.874663988727465286e-02 5.844042772112018752e-02 6.694387329178622115e-02 7.200933923432481509e-02 8.096245104004497206e-02 9.663711442197622792e-02 1.174719054353932229e-01 1.843780961717838007e-01 2.143367037607084302e-01
5.378562113981633086e-02 5.988900054840105847e-02 5.610714783998785316e-02 5.697712497405485466e-02 7.729485258600482522e-02 7.118550255185090991e-02 6.526324522504990677e-02 9.543566710098422279e-02 2.698310980433701323e-01 1.942307399904799337e-01
5.873944918580294161e-02 5.324248288660315270e-02 6.050343017695476028e-02 7.758779139703633754e-02 6.281922863188689476e-02 6.925302021738957703e-02 7.814788159965140035e-02 6.287365790747047323e-02 2.496441886604938987e-01 2.271888693367104806e-01
5.018862086787482385e-02 5.648756891672969405e-02 5.514545828541116135e-02 6.682954113170869181e-02 7.077193508501099239e-02 8.063001549216433639e-02 8.087329902484188815e-02 8.261269054560860248e-02 1.854919949244014099e-01 2.709688757262485592e-01
5.379365901788352167e-02 5.309367419634138108e-02 5.083971104779410471e-02 8.275320150698625699e-02 7.221631291911585759e-02 7.523690697121160342e-02 5.944138230172728993e-02 7.999827423212094168e-02 2.745655894663912022e-01 1.980612883404277436e-01
5.783074165447077419e-02 5.315952455834380835e-02 6.290030261019732838e-02 6.749768091205538001e-02 6.201547660546172930e-02 7.334457423489920691e-02 1.295185822001716780e-01 6.757877013361129892e-02 2.338873936019378319e-01 1.922669534888508946e-01
4.835550549695175060e-02 7.097898328755281039e-02 5.782176701574526234e-02 6.458343913850829454e-02 6.187451779098828569e-02 8.103777897510494599e-02 1.065171719564654979e-01 1.341008265250723253e-01 1.448067505368546837e-01 2.299232592767562477e-01
4.849575527492110127e-02 5.591505798753013123e-02 5.503150714100069063e-02 6.686265284341175175e-02 6.415772276552286768e-02 8.026910071998656637e-02 9.192045055524825092e-02 6.761455686193740267e-02 2.751306419808794423e-01 1.946025538695617396e-01
6.102839823482358178e-02 4.262294199700881331e-02 6.407188550962218676e-02 6.212580180177683375e-02 7.501135695065741515e-02 9.158633931833914943e-02 5.846007020785762287e-02 1.212469604545411139e-01 1.634609861998061742e-01 2.603852593255671088e-01
7.410095723162278547e-02 5.442666574508724792e-02 6.213562068023900653e-02 6.828494577146392019e-02 5.997595751403765607e-02 7.230340194973423895e-02 1.020458502306708509e-01 8.908742309409493909e-02 2.339016226481345218e-01 1.837375551349147706e-01
6.099870546793065285e-02 5.925913043210839087e-02 5.343149823326126535e-02 5.557784499655298027e-02 7.147010527001129709e-02 7.722332072005208548e-02 1.171587188085557590e-01 1.345766720189469356e-01 1.484892826555687662e-01 2.218147213970120268e-01
5.384619977611064534e-02 5.288891757906120927e-02 5.481789903633330768e-02 5.560642956099424300e-02 7.779128045545813386e-02 8.280840474784863237e-02 7.969629147386370072e-02 8.226040193088077213e-02 2.683327714459456947e-01 1.919514039935036886e-01
6.167804444499976751e-02 4.681492389960523193e-02 6.461535662464681917e-02 8.013764254298887113e-02 6.681153723110637432e-02 7.738456487339188949e-02 6.371602690643850264e-02 9.585076667091181613e-02 2.706624788186564601e-01 1.723286579872542468e-01
