r_sep13_median Teff r_sep02_median Fe/H L dnu13_median radius dnu02_median r_avg01_median r_avg10_median Dnu0_median log_g
1.530466233326403525e-01 4.808497380830443341e-02 2.315679592979639351e-02 9.570296183409068846e-02 7.649015592786685691e-02 5.377405901557105045e-02 5.836646994898764262e-02 9.719935926688121064e-02 2.026027061117413319e-01 5.411848126329213415e-02 1.217904113919185127e-01 1.566700216890925049e-02
2.982939341375690501e-01 6.750829789531077874e-02 1.660233242525309405e-02 1.002376504762143711e-01 5.887664928116451840e-02 1.047484129209138998e-01 2.266110384691912005e-02 8.492110872604724525e-02 4.570089568633269733e-02 1.052682631850196393e-01 7.481115850715568116e-02 2.037019291210000541e-02
3.142319610058016410e-01 4.152059402308728303e-02 2.040303554815022999e-02 9.773171127132429525e-02 4.565863243055746229e-02 6.587088220568908248e-02 2.857282087590581540e-02 1.246496915512426001e-01 5.703458021167760045e-02 8.508623485664948416e-02 9.990400681688337003e-02 1.933584920303096227e-02
2.991805496096310302e-01 4.611651809723976009e-02 5.023702692283060073e-02 1.114346354841395520e-01 3.300898294746389822e-02 2.914603816054578064e-02 4.135585214256724818e-02 7.751174891769212205e-02 5.542530482877387754e-02 1.995570829045250835e-02 2.108931883114842087e-01 2.573444628717939942e-02
2.773614833810746361e-01 1.197316268236857939e-01 2.526587072744515550e-02 1.131832263226303231e-01 3.156796084277314202e-02 1.717543983283200543e-02 2.549545002086554477e-02 1.463748405057820889e-01 2.008402691198427070e-02 1.238181534487634849e-01 5.657108532974348264e-02 4.337083585241992972e-02
4.776889338717062866e-02 2.261203448895532098e-01 2.669496022489379825e-02 9.450627332982267093e-02 2.165936958315509142e-02 1.981826926870466563e-02 1.616273707269003795e-02 4.007463549803171043e-02 3.954556844683291411e-02 9.218566782262788487e-03 4.418638661760480590e-01 1.656651534083450339e-02
5.451572310665785820e-02 6.180353437942766315e-02 4.158335361007158004e-02 9.335234186762278452e-02 5.024856611886974189e-02 1.257271630206553345e-02 1.465028962282423353e-02 3.554146984694780964e-01 2.403300133342558056e-02 1.606780639383283485e-02 2.486859397068772459e-01 2.707202908884691339e-02
3.339840577477883876e-01 5.658712318549724563e-02 2.790082251390968784e-02 1.329695327090724133e-01 6.072583499578226157e-02 1.618861876091818100e-02 3.263406578601728281e-02 5.540970997369628476e-02 3.022356536352209175e-02 1.197362096880164734e-01 1.072531320332598820e-01 2.638732724251987780e-02
8.849774044231621672e-02 2.929212350011266563e-01 1.386931365396541598e-02 9.770695209600673004e-02 1.941437862904232467e-02 1.109502471943953593e-02 4.547775530470026667e-02 6.451434164141058025e-02 5.086310604376222816e-02 1.361939038512514910e-01 1.617298836531310402e-01 1.771636496384751749e-02
2.291079722601449542e-01 5.371771348023821752e-02 2.806944790499956571e-02 1.058394651863836800e-01 3.533848269522768537e-02 5.352106458999666277e-02 1.926576217108603301e-02 5.186652819735024234e-02 1.977467810189206462e-02 6.017844668364922406e-02 9.180327620259029486e-02 2.515171625264415178e-01
1.517124342943985960e-01 6.243172231432685126e-02 1.756626684202768074e-02 1.071128038700425028e-01 3.772318949187617593e-02 9.869393944727004875e-02 4.606913401260721852e-02 3.123538526316874120e-01 4.615531923456634572e-02 9.989834018958971065e-03 7.662397570764990784e-02 3.356752813458822177e-02
2.072924849399918334e-01 1.726777003469716909e-01 1.633194051267401747e-02 1.418651227336678589e-01 2.032476317216424383e-02 1.437764407479694140e-02 3.233468780347455857e-02 5.284257524494003627e-02 3.377876787164248162e-02 3.847789659683694546e-02 2.404407740837773422e-01 2.925564261906210897e-02
3.820026870880740000e-01 5.931912443962669007e-02 1.893347959150801577e-02 1.287332157442748759e-01 2.776232111042014825e-02 1.986778483949640239e-02 2.048873436094721112e-02 9.889898015425485633e-02 2.163663962405956362e-02 1.032017645493184671e-01 9.936257042032388409e-02 1.979269807769574660e-02
1.164154863143670726e-01 6.264866175754206512e-02 1.890930244555346501e-02 1.013174042511475886e-01 4.698400267017085324e-02 6.406704383307856854e-02 2.000499291313281858e-02 1.132634637699367203e-01 2.803917569996657380e-02 2.946361665957831014e-02 3.827662846703773769e-01 1.612056501514857673e-02
3.153115003489487256e-01 8.249279637615009042e-02 1.812140628388566807e-02 1.176652419349241002e-01 3.498781818957703849e-02 2.214090547410784912e-02 2.943769837392581218e-02 1.367114027637469920e-01 3.338904743267490094e-02 4.446578898653791995e-02 1.456489002593200355e-01 1.962749357620077739e-02
5.578445009706298197e-02 1.892288440382332571e-01 3.029916627998128359e-02 9.383775568235645792e-02 3.420200094822906101e-02 4.151352194364855974e-02 1.310716494900903417e-01 1.505015577078683831e-01 1.663172866139341760e-02 1.080540132624643705e-02 2.152083025006345240e-01 3.091562132425538373e-02
1.585197943510030238e-01 6.489378055069230933e-02 1.534958632552418586e-02 1.014984243178850831e-01 3.012257272589085114e-02 3.765966319496543563e-02 2.831640929316302582e-02 4.467727422954110295e-01 1.584420693813106545e-02 1.150101780540727092e-02 6.441119305203306389e-02 2.511060914989373533e-02
1.872944475408135356e-01 3.488132835123832626e-02 1.731629450809152315e-02 1.056081693343261796e-01 3.851869514918138809e-02 6.730366044818555937e-02 1.625252716744498421e-02 5.700851825516483479e-02 2.944931493641261833e-02 8.192846027495050143e-02 3.377002219226474256e-01 2.673836211154295359e-02
1.493760115590763438e-01 2.063566977580833517e-01 1.768246905651938219e-02 9.811573906519137356e-02 3.530982714850781218e-02 2.138461427608652834e-02 2.878859936597263566e-02 3.512533375367471455e-02 2.166237180814751043e-02 1.348977832307012847e-01 2.262312031752701236e-01 2.506934980276905728e-02
2.915910247779909259e-01 3.820149324820810294e-02 4.669677081659355522e-02 9.752151549051860102e-02 4.103779855699207779e-02 2.711100717490841708e-02 2.745253729895692080e-02 2.762981922753270925e-01 1.644177794127308842e-02 1.815593990935357449e-02 9.874447283808235332e-02 2.074746967179526974e-02
7.443995323856181234e-02 5.090395151554350656e-02 2.085496606512324269e-02 9.587308369085130455e-02 3.386807227276996540e-02 6.352103139941894794e-02 1.525670856000481239e-02 5.140952441457767863e-01 1.756651117357588623e-02 3.525343064520109621e-02 5.677098704665061585e-02 2.159606024652199405e-02
8.034897982045047238e-02 2.837071877092167127e-01 1.655063276164430580e-02 9.274870162212230096e-02 2.493839397426271878e-02 2.225303806453789168e-02 2.682792459207114510e-02 2.889618797820758256e-01 2.362040354272199744e-02 3.150946285012289072e-02 8.660960068949247193e-02 2.192379459128120794e-02
7.212603177222497164e-02 3.750095753279747424e-02 2.166506086056483454e-02 9.921160613602829359e-02 7.592751992571167285e-02 1.554900225863917185e-02 1.724887510158720771e-02 3.288586309422111831e-02 3.278500350995913054e-02 5.434123758449821429e-02 5.167988037409727564e-01 2.396003848279502565e-02
5.531223384607206195e-02 7.688857193967732484e-02 4.925074019526753943e-02 9.516848192732443867e-02 2.504088070854120635e-02 1.384857190352544766e-02 1.417580753313299469e-02 5.611833465950495370e-01 2.061288247767402090e-02 1.324033539579108111e-02 4.645201788153435762e-02 2.882612959641000713e-02
3.345154281695503218e-01 4.514496591473902282e-02 3.077610554319466785e-02 1.252731798574246436e-01 6.752230738570107194e-02 1.987397217903530411e-02 3.095249137962678004e-02 1.081212978171191413e-01 3.950593794837208711e-02 2.539423456259820924e-02 1.506317313856213314e-01 2.228834785701749172e-02
2.372691303251407424e-01 1.654240465716362019e-01 2.462533099188006502e-02 1.096033432902379229e-01 3.606144712680922626e-02 1.234798584555430422e-02 2.720657759261467870e-02 4.523651977171148919e-02 6.744952756778374581e-02 1.136336557693439359e-01 1.422119119293791811e-01 1.893052321790840084e-02
2.911594656487390687e-01 6.025776258735009161e-02 6.785006777662908051e-02 1.180319843212064013e-01 2.716636503871987240e-02 5.446257768606358601e-02 4.378362163323677031e-02 3.774509540148003606e-02 5.378120907074588480e-02 1.728166978827727907e-01 5.610972691076816787e-02 1.683542604228810760e-02
1.274965850493723074e-01 1.318483314548971330e-01 2.926750150148885524e-02 1.017391813698831499e-01 2.377424376693462738e-02 9.856952433668752372e-03 1.544062617474244344e-02 4.171611692916814551e-01 2.451788362698204340e-02 5.566153025226101836e-02 4.184682689007605816e-02 2.138916818801228983e-02
2.339178622623735160e-01 7.201489609466688036e-02 1.951371867724830192e-02 1.098604147143541071e-01 6.078901940886032029e-02 1.670439555970943193e-02 2.602074535063099436e-02 2.966734993570248335e-02 2.338399433408308303e-01 2.712724416893249127e-02 1.465381347827318659e-01 2.400627570395893681e-02
5.461211394507698574e-02 9.968813095148011671e-02 4.524443561793678459e-02 1.136037933550280848e-01 2.523255848430250303e-02 1.408678532163624639e-02 1.498385410839814420e-02 1.092307341434169826e-01 2.187458625314143978e-02 4.495216991625854835e-02 4.302111837474991707e-01 2.627965415582500519e-02
4.889706765871058847e-02 1.058823227333085398e-01 1.409184507936885739e-02 1.000705852077160701e-01 1.397935286715610015e-01 1.737805797222078188e-02 4.964179580350474436e-02 6.439486363123583801e-02 2.578791229565011167e-02 2.437870327758175915e-01 1.430287181675550801e-01 4.724627000335076404e-02
1.867909151625873621e-01 6.908605389235381034e-02 2.599885100928927412e-02 1.017424529845389891e-01 2.657670037758283130e-02 4.041119850606834235e-02 1.745077815532970755e-02 2.301272280047997609e-01 1.172453191997442912e-01 1.163897958367444002e-01 5.031000994258020415e-02 1.787069692838095039e-02
4.490936236324050840e-02 2.094142393756509568e-01 3.644802371808562175e-02 1.018940935660205410e-01 3.935304283367532102e-02 1.828892105907111570e-02 1.452136680183328810e-02 7.936069902205149240e-02 1.721474489720433917e-02 1.944529726475608539e-02 2.018920550590738439e-01 2.172581540393368205e-01
2.251644717756654257e-01 6.693190458869498205e-02 1.964418541579142016e-02 1.004421791971664979e-01 7.084475173052078023e-02 3.283894899583555960e-02 5.010683850949017304e-02 5.320377646676771599e-02 1.476107802231091393e-01 1.028681632734551425e-02 1.961586513270826559e-01 2.676669544253021046e-02
1.894375697980814344e-01 3.981708341814666624e-02 1.564246708609108236e-02 1.091306835810498532e-01 4.525887221155622253e-02 2.100528287901309854e-01 2.218597271746620622e-02 1.612171637662520307e-01 1.983088233107229217e-02 8.791968535199538859e-02 7.298161468034845833e-02 2.652517626780942842e-02
5.684929000736632654e-02 2.180616812055826137e-01 3.071661551987464253e-02 1.002423972843474731e-01 4.326406797957758205e-02 1.288098612738094832e-02 2.570339583883661169e-02 4.981172139690290962e-02 2.253228528202761427e-01 1.306747628230517724e-02 2.069219300255305816e-01 1.715758551201897880e-02
3.293378645764585833e-01 3.147526375155677847e-02 3.354324294440697712e-02 1.030156534574391547e-01 6.109030030870570005e-02 1.007207318799621665e-02 3.024164504351730537e-02 4.965875918887932561e-02 1.695650530319908755e-02 4.045684629039734970e-02 2.655975229937376225e-01 2.855432295370582962e-02
1.197264228411417525e-01 4.941921977025211937e-02 2.977661432636397737e-02 1.441517528874117215e-01 2.585333456566289712e-02 2.505300757132232839e-02 1.512864031507141389e-02 3.454880970705845322e-01 2.111993543251325725e-02 3.174416879689945237e-02 1.676244203898262231e-01 2.491438603295043422e-02
5.728471919650888339e-02 1.993491199679866543e-01 1.877088438068205342e-02 9.931196031613004349e-02 1.630428779420834209e-02 1.424366306022829473e-02 1.383970042054759146e-02 2.113327547264078898e-01 2.174808267674117196e-02 1.641089462989346257e-02 2.952234309541775237e-01 3.618050187648800403e-02
1.790992395140930671e-01 2.192166179208924481e-01 1.260571025366448786e-02 1.035136107611306922e-01 4.615348272940570512e-02 3.296812942782485073e-02 1.520239047421691886e-02 8.547216157452407204e-02 2.804298128559060133e-02 1.108692537669545564e-01 1.435391660205418973e-01 2.331725627116086608e-02
3.366454198887009475e-01 2.986486645584020966e-02 3.802810624575789916e-02 1.308511469490133139e-01 3.213206685197843998e-02 3.807763031604705778e-02 2.442688793463860739e-02 6.477339512313839975e-02 2.422255024904955770e-02 5.596290092914447956e-02 2.040710192067742290e-01 2.094400984991684825e-02
2.646071889476067085e-01 1.431874402167327698e-01 2.028263196295986698e-02 1.091131211789385519e-01 2.217264314513673479e-02 1.262934277919748605e-02 2.332573436124905572e-02 3.147339171919993905e-02 2.425325165143311923e-02 8.630781879062908446e-02 2.325797597431963626e-01 3.006767550372028280e-02
2.184216960183479328e-01 6.126118118457158507e-02 2.174470228426125806e-02 1.101870327070865324e-01 4.106302576558466810e-02 1.827037457067830217e-02 3.248633951573903778e-02 6.432068054574005544e-02 3.233196551676776470e-02 1.616203031615420088e-02 3.296035865064024795e-01 5.414738506866605128e-02
1.796278679286885116e-01 6.384418344313975979e-02 2.148515641066928161e-02 9.873108667326840893e-02 7.283644975414245437e-02 3.889386136061581678e-02 1.978594461666230431e-02 2.503238159604096597e-02 2.950859661251880109e-02 2.171814573935433243e-02 4.039306564124433008e-01 2.460566945245597908e-02
1.293365501938421036e-01 1.194528726965661258e-01 2.350932594846258730e-02 1.007051445501525866e-01 6.863497366043976033e-02 1.353637166236847794e-02 2.816705131832421272e-02 4.351403033402693327e-02 2.897866739816564591e-02 3.551412914234777091e-02 3.531985540175897054e-01 5.545232907771414921e-02
6.804919140429756264e-02 8.210537866273517893e-02 9.748401482440069432e-02 9.487343101213696617e-02 2.579787398932591527e-02 3.028650138489243082e-02 2.556187023440350398e-02 2.568127247306455085e-02 2.633606664955373544e-02 9.534655311336752773e-03 4.806696031102746791e-01 3.362014094357788224e-02
3.202985071307888898e-01 3.921451886337121162e-02 2.405377985259497461e-02 1.159813720564300543e-01 6.188049950700767049e-02 2.417533676188691333e-02 1.806272889436871809e-02 1.258785881785152716e-01 2.662059674723027056e-02 1.125899323631401050e-01 1.090417131932428785e-01 2.220242645142310803e-02
1.414498080552885340e-01 6.857856013685287300e-02 1.806587305427231546e-02 1.019324107620610403e-01 7.229210120667919903e-02 9.085688509514294742e-02 2.698854953217850669e-02 1.756610363836249022e-01 3.279361890697150145e-02 1.506092228909521567e-02 2.277915150118424992e-01 2.852871956599036321e-02
2.815529983003586811e-01 1.181388731151728627e-01 5.454416572838161059e-02 1.084392932358867884e-01 3.958175260216584973e-02 9.806601707204066001e-03 2.110293876038127348e-02 8.108221361787763815e-02 4.320002064248101153e-02 7.045036600085502476e-02 1.461208112923352009e-01 2.597996499689979658e-02
5.305378879273316139e-02 1.112363656194082090e-01 1.691408016944432116e-02 9.771804678513149045e-02 1.080963295180758094e-01 1.364651416238380627e-02 3.483177420606744373e-02 4.862111437323214658e-02 8.082892408597100453e-02 4.057847035370156646e-02 3.727042087229121559e-01 2.177038321093895112e-02
2.180349456919624673e-01 9.891966064828985883e-02 1.803219274155554164e-02 9.769105971394549670e-02 4.462218772434928954e-02 6.941381427366359602e-02 2.026585625426569753e-02 5.693856294588860861e-02 1.844134276826260577e-02 1.048131751269254508e-01 1.910755307735790276e-01 6.175167133731229718e-02
5.063584395641607810e-02 2.839474831359764528e-01 1.546010477145054636e-02 9.137502024994606509e-02 1.038928754228314738e-01 1.044215841432996790e-02 1.403811358683299815e-01 3.799582273915625558e-02 1.983149154368453113e-02 1.290925062642157284e-01 6.803862448983274969e-02 4.890693314383010720e-02
6.586048945041485247e-02 3.031452706818033582e-01 1.931881919054697153e-02 9.837374846099762593e-02 1.779355520224712439e-02 1.627742023383084782e-02 1.521114536665246209e-01 1.859606247942185986e-01 2.828666447209243762e-02 1.529059498161115978e-02 7.073500742981130018e-02 2.684635143590110087e-02
1.635837430916611823e-01 5.957387844207314570e-02 2.479625596523982525e-02 9.918305731223428512e-02 3.161289203489408423e-02 8.363242822657794562e-02 1.546480947175200502e-02 2.600697030280809188e-02 2.786981082510544758e-02 9.313390021711403025e-03 4.262083571367653034e-01 3.275440716917726175e-02
3.191713492035522237e-01 7.720999275616165225e-02 1.578077963246960272e-02 1.126662405412531126e-01 3.126721511366237910e-02 2.281571617184065606e-02 3.745760381562248525e-02 1.931790484528969620e-01 2.472407764238257477e-02 9.070471814386024678e-02 5.255246869550640743e-02 2.247078983079189504e-02
1.917607696467679146e-01 5.289509891772103956e-02 1.921226865990824720e-02 1.007337148968234092e-01 1.683369569499246765e-01 1.065377037872470428e-02 1.504563894274493774e-01 1.041597148041966403e-01 5.374156920064832033e-02 2.566353029851948381e-02 8.924787304367313989e-02 3.313834377564296024e-02
2.261347108497795966e-01 4.690378943399147599e-02 1.390846625615873786e-02 1.164540221303802525e-01 6.963609888575354734e-02 2.531101310860668641e-02 1.989835193668439139e-02 2.338074967271572269e-01 3.182724620172110164e-02 6.196507659895091752e-02 1.321107813169971334e-01 2.204294655381901225e-02
5.269003929231094729e-02 3.007254911237975947e-01 1.981500424009079511e-02 8.725509781509402374e-02 1.926525818704557386e-02 1.907122543317993357e-02 2.249036643012788245e-02 2.458218901279973223e-01 4.422394218430718976e-02 8.611260636575829297e-02 7.259467557315053832e-02 2.993440322713997528e-02
5.952880316797063559e-02 1.096082413133501465e-01 2.145781519539110074e-02 9.234540890236889177e-02 1.452362106599476566e-01 2.893827054113118358e-02 1.776549388074766950e-02 8.751619252649894820e-02 1.857983130482898093e-01 3.285458821971792148e-02 1.985108318811458494e-01 2.043983066344027405e-02
2.329868807907842232e-01 4.633241100626486059e-02 2.391822691978388524e-02 1.041294996509353199e-01 6.837406140877189120e-02 2.534226938334856877e-02 1.192847144859322805e-01 7.153728933532771395e-02 1.700910850108167116e-02 1.783357493568923924e-02 1.690629791022773554e-01 1.041889844798029319e-01
2.938386251685716766e-01 4.803746124180313659e-02 1.898303547443605174e-02 1.101559828129127228e-01 6.058630307601436255e-02 1.853090250494777991e-02 7.495543399340098834e-02 5.261602865218736186e-02 5.784838095313768469e-02 3.138463256345529889e-02 1.984943209232453709e-01 3.456889263588740907e-02
2.318199482302238379e-01 4.424264013065540291e-02 3.021237060458322604e-02 1.280877098751028453e-01 3.078877778269018678e-02 3.989123194797876415e-02 1.253625164201573050e-01 3.474970856286639653e-02 2.038497341746835570e-02 2.099292178125056196e-02 2.653972999836416991e-01 2.806990126338131455e-02
6.462329441900056815e-02 5.434204449730999087e-02 2.011454842181920402e-02 1.362120940607565445e-01 8.995011621213411246e-02 1.467919127431617336e-02 3.162213204609840705e-02 2.172424903563818233e-01 3.682207241329098213e-02 8.141829507239795038e-03 3.090242189220435698e-01 1.722596786960887971e-02
3.035334917349686301e-01 5.667198809275419968e-02 1.428836596961530897e-02 1.102328280867744814e-01 6.900187575914015770e-02 6.897981833581300071e-02 1.063675084557719336e-01 3.179441704365029014e-02 2.605534656989675485e-02 5.496464254225598423e-02 1.389029088468546336e-01 1.920680856250454524e-02
3.348465374638914804e-01 6.062086202793030149e-02 3.348454765779339259e-02 1.165003618126496526e-01 5.421650536207715115e-02 1.334494612358353913e-02 1.856270757836709154e-02 7.593180185604896104e-02 6.635743007870327503e-02 9.110858049471248776e-02 1.119940478638395548e-01 2.303167168040311588e-02
3.451005513267168534e-01 2.473390916905680859e-02 1.625067860404421846e-02 1.253409563438415975e-01 7.162747701930254063e-02 2.594493813786288849e-02 2.528663562331652861e-02 1.126426461518708622e-01 2.245000877970612999e-02 1.321593375451379504e-01 7.915920593858474796e-02 1.930365536055867956e-02
5.939992383279810162e-02 6.017196922949906435e-02 2.197587711282272468e-02 9.757809852353892255e-02 8.553098951957455176e-02 4.675420580041252799e-02 2.284719857845243784e-02 2.590334873403328242e-01 1.286525621244211104e-01 1.826431748564763535e-02 1.797765604548223484e-01 2.001480999767774743e-02
3.047097727467651396e-01 4.888256155077715798e-02 1.126233431096647537e-02 1.144867674630318938e-01 3.164459016939966812e-02 3.799078168836528963e-02 2.209514240806845567e-02 1.640512108980733130e-01 3.545887801520007654e-02 1.048619231777899730e-01 9.701248983527605008e-02 2.754354773628648126e-02
5.224626989974055780e-02 3.509185521770261662e-01 2.054516712990544711e-02 1.018244966886104053e-01 2.040736246191059838e-02 1.273509209265544229e-02 1.795395536162548156e-01 1.219503983267596070e-01 3.281729486704902665e-02 3.098124721477721333e-02 3.358639792099784444e-02 4.244816760431278230e-02
5.261231512170977398e-02 6.802029226263889283e-02 2.367547501385856498e-02 9.499393789944680921e-02 1.091938506985752760e-01 2.381310427697017063e-02 1.504808676436655140e-02 6.542916934583771493e-02 4.421997373848141760e-02 3.347031596598417508e-02 4.409366481681089578e-01 2.858683074402180307e-02
5.296758452677676615e-02 8.480043634807295228e-02 1.917244007200893594e-02 8.950260967072438956e-02 2.354612490487602294e-02 1.129886264867627915e-01 1.770701352430666120e-02 5.160137107307875143e-02 2.512340580207170909e-02 6.881517791346621060e-02 4.202091886583956826e-01 3.356602101945919264e-02
1.814456750325237067e-01 6.308805317104448918e-02 3.334126608353969734e-02 1.035222462003814181e-01 1.318384836189047116e-01 1.141750423536862930e-02 2.774024844054002667e-02 1.442678870470408825e-01 1.631247791487742405e-01 6.124722459989696138e-02 6.020092079654800615e-02 1.876571162543742149e-02
5.451126861895263381e-02 1.314072440506769412e-01 2.026962224530099235e-02 9.551744698763686703e-02 8.826880932652748923e-02 1.801873880782960125e-02 2.285189398367192329e-02 1.258784112560376034e-01 2.077271488831543278e-02 1.520981544650758417e-02 3.834673993516957702e-01 2.382663503684716647e-02
2.808066258877114918e-01 8.526806696306940547e-02 3.620904589441358012e-02 1.107180141754168928e-01 2.306370180418516533e-02 2.410290346496098829e-02 4.590419053368872959e-02 5.676272655218150137e-02 2.771353833857974694e-02 3.114062806509768425e-02 2.539211897859739442e-01 2.438936853472076227e-02
2.042241315537675905e-01 1.160992837071400802e-01 1.920548967271243010e-02 1.050840954098112012e-01 4.447318888791860353e-02 1.304688851188600708e-02 2.222573817408690644e-02 3.055087953985923671e-02 4.214001178546823712e-02 1.580024281308997983e-02 3.627267351193840250e-01 2.442331482487560337e-02
2.847495987941536799e-01 5.175007648263420246e-02 8.265937755169704138e-02 1.123248402187572020e-01 6.271973946343170625e-02 1.068475660474048870e-02 1.501426525088655345e-02 3.465455100402049793e-02 3.662423653952662922e-02 1.108320429245576860e-01 1.776663611190642811e-01 2.032015404652995696e-02
9.307662162049817889e-02 4.123331922641219199e-02 8.048908846439047082e-02 1.049654899912037809e-01 3.473012590828410823e-02 2.789389408639503937e-02 1.862278735502098659e-02 3.462872141417071975e-02 3.658076633910137959e-02 1.520044732596315465e-02 4.912320615586947548e-01 2.134667670986521368e-02
