r_sep13_median Teff r_sep02_median Fe/H L dnu13_median radius dnu02_median r_avg01_median r_avg10_median Dnu0_median log_g
1.628614669323622532e-01 8.439358293147190826e-02 2.910822051060091634e-02 9.410203495875266166e-02 5.083787310095925355e-02 1.442202764615523741e-02 1.163392156675325806e-01 7.641448311998433329e-02 6.090014678580428498e-02 1.682327067150359012e-02 2.743430096250665806e-01 1.945466804980638953e-02
3.295900215725047766e-01 4.323116495773746820e-02 2.160635551037678667e-02 1.186773683936959145e-01 3.891761810564108720e-02 2.398185483077689903e-02 2.317186983164677000e-02 1.474624126344514230e-01 1.929470212803213736e-02 1.085435140590997605e-01 1.064630032000124099e-01 1.906011477602452542e-02
6.878495013739746589e-02 2.899337298312144040e-01 1.587401901091400891e-02 1.057259239857541999e-01 2.366606405022945656e-02 1.339014972922490318e-02 2.400681920560901114e-02 2.963806654874058186e-02 2.711866849290111778e-02 1.759475288966055873e-01 2.050207430780514595e-01 2.089333703335794629e-02
2.492934066111524849e-01 5.293383178470923572e-02 1.952507159811787615e-02 1.191059116835303938e-01 6.789540131113566690e-02 1.430574002568726216e-02 3.352713565722361538e-02 1.200559717724967862e-01 2.271745669114745569e-02 1.745747208552085247e-02 2.617332806863113537e-01 2.144932009296703426e-02
8.214849144479811904e-02 5.489331003422491528e-02 4.183607774568211951e-02 9.842594922058904572e-02 4.295211965871776477e-02 1.614378935391787284e-02 1.578936156155704915e-02 5.406827158989930826e-01 2.324754901615140243e-02 2.044697214771170127e-02 3.533044099973499386e-02 2.810322291792177393e-02
7.529564345277739434e-02 6.010349378958808331e-02 1.734551282106895978e-02 9.645099717336616529e-02 5.092238058361262670e-02 1.511174432587278696e-02 2.149671274996983392e-02 3.325829037521398357e-01 1.724387297979040543e-02 1.878432573507981054e-02 2.714975502496124182e-01 2.316486238712169368e-02
8.976604268393217900e-02 2.820463703879726447e-01 5.364590123113590486e-02 1.007526580898267798e-01 4.400296209383903340e-02 9.529753216449530356e-03 3.581821857839212475e-02 5.188152107145811015e-02 2.365192045288266529e-02 2.289125393221521365e-01 5.441703150352021623e-02 2.557508136843868185e-02
7.903997992668675143e-02 5.294054252855508874e-02 1.490897180720658632e-02 9.494472294666692069e-02 8.778909262502604394e-02 1.286444839715009669e-01 7.789747893056706007e-02 1.856744914094440035e-01 2.057531361019311264e-02 2.192486015998555693e-02 2.159530216989934970e-01 1.970704038517450893e-02
3.156000947528104783e-01 3.595828409626414951e-02 6.326123328699470583e-02 1.109208882148616654e-01 3.667438900472520108e-02 4.662201008954958148e-02 9.862246115194797658e-02 2.975653446943796535e-02 1.908830993328754916e-02 4.040387542700037138e-02 1.775606580407823321e-01 2.553126153233816614e-02
1.547869162226293005e-01 6.453694904013544675e-02 2.111966423268898246e-02 1.084623069626334813e-01 7.572049087767776521e-02 1.115635132405486465e-02 3.598761406042381983e-02 1.022114756169811428e-01 1.967334019613733720e-01 7.979227225098710352e-02 1.278237523819238108e-01 2.166880506849101773e-02
2.854079272512742294e-01 4.933795179600902053e-02 2.168579080722779842e-02 1.110548280317701225e-01 6.229226817832886343e-02 1.200429995433808898e-02 9.239326492475416486e-02 8.875173954069172366e-02 2.480986402193821952e-02 2.711382610905580665e-02 1.636523362313777874e-01 6.149590315323416601e-02
2.987816918468985117e-01 7.190584659043462723e-02 2.265061609652069957e-02 1.133550522778385139e-01 2.593054519457102525e-02 2.443994551562201148e-02 1.323707427818217319e-02 7.666763269565536609e-02 2.753345723044885174e-02 1.069576980829665680e-01 1.874468694652672851e-01 3.109357072559447085e-02
1.652431661215829073e-01 7.897514956560396093e-02 5.342547396080350730e-02 1.075468325409013465e-01 5.976832972469055955e-02 1.756108724786790629e-02 1.530056004026989977e-02 3.689613066072675029e-02 8.554193459696081414e-02 2.124323746551629727e-02 3.347046947359516578e-01 2.379340333912453864e-02
1.286754679419284120e-01 5.060423371775905899e-02 1.388864214029743478e-02 1.041544761435585775e-01 1.075707160140893653e-01 1.545479003342143352e-02 2.390190232960946737e-02 2.411499948107738434e-02 2.090614618079799508e-02 1.058482747097864302e-02 4.438386874996965714e-01 5.630511104678576073e-02
2.935546070487612402e-01 5.445497362096269472e-02 1.839178059400810306e-02 1.008516484118181233e-01 4.228749589601893399e-02 4.208247116491160150e-02 2.155121249702822081e-02 2.877648425168925495e-01 2.387775724193586316e-02 1.699507710159298482e-02 7.644560532259422891e-02 2.174252858347545600e-02
2.943998990475752420e-01 8.097595147537621496e-02 1.257643719931133240e-02 1.125400266040696429e-01 4.178518831256972793e-02 4.392899217928528111e-02 3.356132336607689504e-02 5.967939743958359383e-02 3.083125331289144136e-02 1.922394308206524238e-01 6.624450380364932389e-02 3.123759643895901786e-02
5.057471483190841693e-02 6.119491157926588293e-02 4.133070581166440466e-02 9.534677786740274053e-02 1.358651119177321231e-01 4.073046720406185012e-02 3.794042533817302415e-02 6.861551716532500456e-02 1.771968556644358816e-01 1.616261293211070094e-02 2.523382232199814501e-01 2.270367646793844743e-02
1.738892357276502210e-01 5.494587628930847067e-02 8.771958804804992627e-02 1.011862368687734826e-01 3.180206409702238807e-02 1.996210677412798423e-02 1.587736362508668578e-02 3.118611671186772780e-02 2.115534252174036331e-02 2.438693202896642306e-02 3.976830885227731205e-01 4.020604878463317211e-02
6.070302724097869501e-02 5.681683294560570252e-02 1.994395706185961639e-02 9.840524866401975657e-02 2.285036424065059815e-02 4.610197006052842855e-02 1.272383769399762846e-02 5.665319684692258217e-01 2.711981800257913869e-02 2.796652595835398200e-02 4.263997396676967588e-02 1.819647569543078949e-02
