Teff Dnu0_median r_sep02_median dnu02_median Fe/H r_avg10_median r_avg01_median
5.593370285393417518e-01 4.218669709869337509e-02 2.360848523224260698e-01 6.243485830627342609e-02 6.920562510823489999e-02 1.482233887259961497e-02 1.592859975243082413e-02
5.081878119506401115e-01 4.668160037571093823e-02 2.671441900715122442e-01 8.650530619641923213e-02 5.772736266508238928e-02 1.239211897327770900e-02 2.136160976735754918e-02
6.081082396681664060e-01 4.108747713088714559e-02 1.019705140691964801e-01 5.810888747470535631e-02 1.092300725652278481e-01 9.940787925146587350e-03 7.155402116667015922e-02
5.983445341915550886e-01 4.287023113673536778e-02 1.697665066566491632e-01 5.692918457416461936e-02 9.983627052838019156e-02 1.818895954770357801e-02 1.406431336481209042e-02
6.367610466123163615e-01 4.323374200923302269e-02 1.609041796025158788e-01 4.173375930736010486e-02 6.039825593436647100e-02 2.649675096481047404e-02 3.047226556939774955e-02
4.268115144416503859e-01 1.958672172379430365e-01 1.758426071131314605e-01 3.328007562205925751e-02 1.164052618964581676e-01 1.139755135631106281e-02 4.039577233244665694e-02
4.408647554863576179e-01 8.812332238878610446e-02 2.795885422863628178e-01 4.664431378255940591e-02 5.945219951815732679e-02 4.865446577128065830e-02 3.667240076649610353e-02
3.625621400273133510e-01 1.062552254301698529e-01 2.935611922334446788e-01 3.844835082757374484e-02 8.860451452234299752e-02 7.948570055435842663e-02 3.108287640479682687e-02
4.722097738619887575e-01 4.561945790540579415e-02 3.193470582579855943e-01 2.095859805570274292e-02 9.807149297187653381e-02 3.019513487731999984e-02 1.359848406972056535e-02
5.655407188577697974e-01 3.697341809866660362e-02 1.654745418504840471e-01 3.722585629896014991e-02 1.105046924409893300e-01 7.331697068383091764e-02 1.096380176929908842e-02
4.841673727399171678e-01 4.257004113628932995e-02 3.052238204012296396e-01 4.811905113099072817e-02 4.353337581776685339e-02 1.419342268669214480e-02 6.219291608711415703e-02
5.148834367998029737e-01 4.186325567832774319e-02 2.700111844582550047e-01 2.730753837876213203e-02 4.719923521771058478e-02 6.328601329741745385e-02 3.544933616972403834e-02
6.093000763217727433e-01 5.724355296915582120e-02 1.678867112487730517e-01 5.509701253034969548e-02 7.010621298555455572e-02 2.649558696718727624e-02 1.387084697720696903e-02
6.163167173160409851e-01 4.725530925898421136e-02 1.573494704890569806e-01 3.424898635745950853e-02 6.432658818941792978e-02 5.025871579194907818e-02 3.024421259709135501e-02
5.734771083081876553e-01 4.749844393585176544e-02 2.196709403917062597e-01 3.183191888901818617e-02 8.154691918646959914e-02 2.751189305404144747e-02 1.846277623472518392e-02
4.910695434152662631e-01 4.734335074262357307e-02 3.057052156237602403e-01 2.375196321448939593e-02 4.554794328810202880e-02 7.334827521742301459e-02 1.323370849833544784e-02
4.804252102150394221e-01 3.999821492608003626e-02 1.917495976841535610e-01 2.291075626237003976e-02 2.348985079905401285e-01 1.373584219151053123e-02 1.628187073030616314e-02
4.745910035098100388e-01 4.577879178179595360e-02 3.126060169857812765e-01 4.339595091769556101e-02 3.863353983675910791e-02 6.468747095072920061e-02 2.030722601742887198e-02
5.804591533024237027e-01 4.674973466575804010e-02 2.039252720351933112e-01 4.362263000954935688e-02 6.527276791839595194e-02 1.164501862024765189e-02 4.832542344843211019e-02
6.290463809280235630e-01 4.729991323409656057e-02 1.640853142119833574e-01 3.280350547644192427e-02 5.000625825708471250e-02 1.686643377044853148e-02 5.989219412192132302e-02
4.881107787674594523e-01 4.630291161532398836e-02 1.296520828616723464e-01 3.888047325228596168e-02 5.273941819642295747e-02 1.048667735124368325e-02 2.338276579555916557e-01
5.959021870658004483e-01 4.542639110932253366e-02 1.627172747059701385e-01 7.124350676868904109e-02 3.683271962313788839e-02 7.033070178127825978e-02 1.754721894580168681e-02
5.578693680643116437e-01 4.491823751317833291e-02 2.280539445635887397e-01 4.114523245119826311e-02 5.880616159192636472e-02 3.825340468297980939e-02 3.095365113281677710e-02
5.149147334501121831e-01 5.286073555976027877e-02 1.120342226008576164e-01 1.875511955383701510e-02 1.588237594890325177e-01 1.313249836210800547e-01 1.128644572532013120e-02
5.369946641289802258e-01 4.317429127057974964e-02 1.604065346447434981e-01 3.658866841738065562e-02 1.373537551011053126e-01 7.232446370591022466e-02 1.315762273130051223e-02
4.285633469695792619e-01 4.565523865908491241e-02 2.990007098234807037e-01 5.404849153981435006e-02 5.036515196957570828e-02 6.149179490464700554e-02 6.087526613381796098e-02
5.912851322267521637e-01 4.740953715743562863e-02 2.206030878924080396e-01 6.592928195803944569e-02 4.605746168925228118e-02 1.731347121150452958e-02 1.140202786460782665e-02
6.230784456043014785e-01 4.862170208899137258e-02 1.223112688893652766e-01 6.686683946489914432e-02 5.664352868394449680e-02 2.548831425503567810e-02 5.698990101346244896e-02
5.682522083159473603e-01 4.534735394606920211e-02 1.816192170712433718e-01 2.715172640932763531e-02 1.451091940915724965e-01 2.034313608751116623e-02 1.217716407832890486e-02
3.991876580309300371e-01 1.201063095174142586e-01 3.037619865945135333e-01 5.085102454974394642e-02 4.048552431253422262e-02 2.428605170373309557e-02 6.132144529113094100e-02
5.629581621435802985e-01 4.728977053596331026e-02 1.351966288772602498e-01 3.325355993311098629e-02 9.080022188504947855e-02 8.609989978659673970e-02 4.440175683843877036e-02
5.946264816077218018e-01 4.047067601023721095e-02 2.096803939743034917e-01 5.900571920363252565e-02 3.459525112978944356e-02 4.630979454576349824e-02 1.531168352855214257e-02
4.231840106500835974e-01 4.729648122019990825e-02 3.234077451706022233e-01 3.426491474151405897e-02 1.124528373885207710e-01 1.336391506104111539e-02 4.603009576803825109e-02
6.061028559147565442e-01 4.582219601587272928e-02 1.881239772471011984e-01 3.332472331375203184e-02 8.533817152831188468e-02 2.610724137334594769e-02 1.518083460685961360e-02
6.133325212667236626e-01 4.504496647408803151e-02 1.044724930380260541e-01 1.115044672648849988e-01 5.148844781323929504e-02 2.087508912115098453e-02 5.328201502188697342e-02
6.114153898662686437e-01 4.829850917087958467e-02 1.288915398005655855e-01 4.616057230804022915e-02 4.362211258912621070e-02 7.981309517656418051e-02 4.179878108855573926e-02
6.088302161880470020e-01 4.365824626476669246e-02 1.208569127975685498e-01 5.416649824481179626e-02 1.106822654488975738e-01 1.151579959022312402e-02 5.029006146568512636e-02
4.823751966694557192e-01 4.346635639807179541e-02 3.078480001147325673e-01 5.065487452130353063e-02 3.667313374209726223e-02 6.346954047023166401e-02 1.551289808410746991e-02
5.852945767546684497e-01 4.290777256625731562e-02 1.980763827929959420e-01 2.680272600351148171e-02 1.190817732158196973e-01 1.638849379228924513e-02 1.144827487445791193e-02
6.244502562842061399e-01 4.831950825946024208e-02 1.176247490491556802e-01 9.118725921134493428e-02 7.137959327641979490e-02 3.377638959835384952e-02 1.326224432105924285e-02
5.616942847129117178e-01 5.512353329550451209e-02 2.427117873870296427e-01 4.427235355205767775e-02 6.229422040830601137e-02 1.550323049919235911e-02 1.840059014499799417e-02
5.120412900388832123e-01 4.213232168533900812e-02 2.659058741194826325e-01 6.582334112883214683e-02 6.911988301982620320e-02 1.655401365913602985e-02 2.842327634850090601e-02
5.470583507508717247e-01 4.216502982545429490e-02 1.299708672481681426e-01 5.701187105783206421e-02 1.178113750087440292e-01 4.623259088951654078e-02 5.974991521941317579e-02
4.020884537931065372e-01 1.759306983436058625e-01 2.359524208887974761e-01 2.504022366946678096e-02 1.224425601546716008e-01 2.690501669664956477e-02 1.164062645370217940e-02
6.201702920636488203e-01 4.155985633912984145e-02 1.513527088186107372e-01 8.768359537231530665e-02 6.295676412278311540e-02 2.074890231987455008e-02 1.552788096363755602e-02
6.192926077397884477e-01 4.769734623108924654e-02 1.868107709440357256e-01 2.951972820928849134e-02 4.857837545400200963e-02 5.296289338022342613e-02 1.513827804157271383e-02
5.586417458797725555e-01 4.266035116046752035e-02 1.829373620776926501e-01 2.218575927025197292e-02 1.471843489746026135e-01 2.582290039958736599e-02 2.056753223762535637e-02
5.883487011022017210e-01 4.451971104522914335e-02 1.886172925429236147e-01 7.754575525485898901e-02 3.533545190344347664e-02 1.377607440294605079e-02 5.185701374839701144e-02
5.905641051411344433e-01 4.754795503832812825e-02 1.526285218596422077e-01 5.550878604133758359e-02 5.931548131358130305e-02 1.503484423785732098e-02 7.940030636811896969e-02
6.103552666296400142e-01 4.904314339611064860e-02 1.807682148525881771e-01 5.972048018033507960e-02 6.115268102593042487e-02 2.133201203092260564e-02 1.762820188447304995e-02
3.974615046337276469e-01 2.246245301473458189e-01 1.896329247623434466e-01 4.555586869507040337e-02 4.609447393701582296e-02 6.638880203660370294e-02 3.024189578789309926e-02
4.862927161450090741e-01 4.441067647217280395e-02 2.789841490438519922e-01 3.927333727273919772e-02 9.336824505812370278e-02 3.679502123841903866e-02 2.087585476968422532e-02
5.231708592914348088e-01 8.100622940882559742e-02 2.328875522912124962e-01 4.849885633628023274e-02 5.028715933165683188e-02 3.862343439390985428e-02 2.552590894668017169e-02
6.110871879281213337e-01 4.504051280930704976e-02 1.771278356371779605e-01 5.622502780964367536e-02 7.370032754969241262e-02 1.815840654850983671e-02 1.866070171754769663e-02
4.948445296465378562e-01 4.575822175272610537e-02 2.706594214772477525e-01 5.176038065960146539e-02 4.123662256625290623e-02 8.164909100377995554e-02 1.409173289385406980e-02
5.922352757150444180e-01 4.271427218078405891e-02 1.122931934463919645e-01 4.295314634783037322e-02 8.885303825491223939e-02 6.094934125242059547e-02 6.000173280261635045e-02
5.361859660464889377e-01 4.364493522086017319e-02 2.534476766947229009e-01 4.585434063972853441e-02 8.436402835971013037e-02 1.875619952346235103e-02 1.774685351502699668e-02
5.707801539466720309e-01 4.453029085731623898e-02 1.945249469041558932e-01 7.746906326656244346e-02 4.693929234415678692e-02 2.147537959166686411e-02 4.428087308946982575e-02
6.007157164627465740e-01 4.308628093181540025e-02 1.825987759064734428e-01 6.541599239751193229e-02 6.933688025971183888e-02 2.045420469491006366e-02 1.839214934683082794e-02
5.703454175665065851e-01 3.920365021691690766e-02 2.072478784357350001e-01 4.499429529508290615e-02 1.117169419365023064e-01 1.349631917107491259e-02 1.299549737818134210e-02
4.421105901419065676e-01 4.577454097559821578e-02 2.731318645759698849e-01 3.079759361696824543e-02 1.784135379946429900e-01 1.500621603182471231e-02 1.476565666308960779e-02
6.185876659651775578e-01 4.666986133623769045e-02 1.910613870880823462e-01 2.575839128077542575e-02 5.547837673230297806e-02 3.265641118343487470e-02 2.978790641398923120e-02
6.126018423911704369e-01 5.152213707735753268e-02 1.867609611702768235e-01 3.977923133752297308e-02 4.676120424024911987e-02 1.446140248044469612e-02 4.811322130297836230e-02
5.349886845828538684e-01 5.799226136128154269e-02 1.934029212995163061e-01 1.929932587564580498e-02 6.493931567799814120e-02 1.404025437917119298e-02 1.153372368235331957e-01
6.248583325540166822e-01 4.388272619029369437e-02 1.413163673740438497e-01 9.356128955952469628e-02 5.438342297369375827e-02 1.323124301951544846e-02 2.876661832891198173e-02
6.075579321281341372e-01 4.800103752477725971e-02 1.744162489572245733e-01 4.261500411179369729e-02 7.035504045698942610e-02 4.294004235506435063e-02 1.411469446601675871e-02
