Teff Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
5.294310035039611062e-01 5.616963223191980686e-02 2.267630547615679115e-01 9.073849701516334409e-02 3.922751323606501334e-02 1.514647819657277163e-02 4.252382105474998564e-02
4.495420369602067812e-01 4.455095792034100000e-02 1.107744648587268288e-01 3.524126772097885274e-02 2.509942661922396345e-01 9.727213315543564720e-02 1.162487319207121915e-02
6.060384137816144934e-01 5.138413105683820037e-02 1.485156649742062351e-01 7.059067237586605370e-02 6.887009690767667558e-02 2.409979359470730900e-02 3.050122730909126875e-02
4.931160530790736907e-01 4.362035218089733990e-02 2.911014253981379363e-01 2.978274249834485243e-02 6.912590198190296520e-02 6.108403494814221291e-02 1.216948991350107374e-02
5.822966684392508752e-01 4.216466626947263513e-02 1.600490523385515729e-01 3.659274452268389960e-02 1.123609525919909563e-01 1.355200365254798436e-02 5.298391218550219106e-02
6.199401763219065664e-01 4.631761938391003308e-02 1.436629536878509805e-01 7.018883573439847756e-02 4.369611576119473983e-02 2.802405747714540457e-02 4.817024163359383271e-02
5.733847396046977130e-01 5.036573454050016774e-02 2.339054308569097629e-01 3.160177236521552468e-02 7.362030520587918569e-02 1.706600931387339606e-02 2.005600811292422223e-02
5.272080408615972269e-01 4.809488830651235947e-02 1.226879944758024060e-01 1.154313049389709689e-01 1.117917679158709626e-01 5.508361559457642526e-02 1.970238790666949472e-02
6.042983572267677239e-01 4.288786094452759490e-02 1.647519603948245925e-01 4.363381533816357988e-02 9.682194825783557723e-02 1.485284490392355973e-02 3.275321293395718619e-02
5.940279392271720083e-01 4.513891636984875694e-02 1.598554140131184520e-01 3.603234133723340338e-02 4.223093250720960645e-02 4.388682489700855560e-02 7.882763164840939085e-02
5.807967817106445274e-01 4.561865614503823885e-02 1.645485606208616502e-01 9.730084872758151815e-02 8.391670564283992828e-02 1.390838606731915721e-02 1.391006108571486363e-02
4.736909917800001257e-01 4.332161770642493220e-02 1.774260820077386835e-01 8.194246472487379251e-02 8.247830888097897051e-02 3.210818898737628074e-02 1.090323459126072148e-01
5.770974492083743579e-01 4.347867465481523169e-02 2.228798216484214056e-01 5.142958007352563254e-02 7.498665244107882710e-02 1.308806457939629304e-02 1.703975739438814627e-02
6.139798584987069541e-01 4.489425530419832028e-02 1.123186026457519415e-01 1.101675844716399205e-01 7.043335267254960397e-02 2.388904991293579194e-02 2.431729649421741218e-02
4.393006583045662161e-01 4.169738974406625442e-02 6.787258969878461057e-02 1.063631454931966008e-01 2.756302927989220386e-01 2.555216381123639677e-02 4.358376014922793473e-02
6.248915506622634286e-01 4.518951009122498114e-02 1.357137487963033240e-01 6.532539185195410103e-02 5.502112497364493315e-02 5.635396458878483283e-02 1.750470903582431251e-02
5.597385963100495188e-01 4.710991829079285570e-02 1.947316493693980466e-01 3.098799918331944514e-02 1.227099304197322438e-01 3.346810437656912163e-02 1.125380205013884645e-02
5.762288120554140969e-01 4.147549313222469863e-02 2.036191173947488331e-01 2.330976354102709883e-02 1.245926814626519968e-01 1.620387253054023091e-02 1.457025988339315757e-02
5.546594490878083983e-01 4.263671426603862780e-02 1.896740125658527565e-01 2.673233355965238048e-02 1.025246732988749493e-01 5.085003979816780928e-02 3.292277742360512349e-02
5.953096679781515466e-01 5.136414514002136944e-02 2.043769111394019844e-01 2.307814070479297791e-02 8.327203507307825991e-02 1.185768037608250433e-02 3.074141958847152051e-02
6.379326061260235381e-01 5.135684644205787408e-02 1.692933499306736311e-01 5.752784924220447071e-02 5.609925223605022326e-02 1.317104691969698919e-02 1.461904910329317811e-02
4.837017394184730534e-01 2.040114672154579034e-01 1.116521991784723417e-01 6.075732246250839519e-02 6.901564582412746118e-02 4.249651487287425117e-02 2.836511102808643783e-02
6.245638541947917677e-01 4.597847769160417347e-02 1.602057303977327818e-01 3.483072830340282894e-02 3.545953913223912762e-02 6.033265971255660776e-02 3.862901056767271274e-02
4.871256212432168997e-01 1.775698618267445295e-01 1.596772184453644217e-01 6.546090650102084907e-02 6.982804104687929947e-02 1.536028295914490874e-02 2.497806797762903638e-02
5.508437826792720315e-01 4.438438623910063996e-02 2.531162274726956873e-01 5.817388278491669035e-02 5.572994698012858489e-02 1.491231685765172926e-02 2.283945698623472687e-02
6.099496470710473739e-01 5.100644497495228358e-02 1.434260040815517334e-01 7.127075217901690518e-02 6.227093629065149488e-02 1.350329459434503575e-02 4.857292080843519932e-02
5.998804141477729335e-01 4.468423919656256543e-02 1.490879578539401618e-01 9.651569599978912506e-02 5.882180379179777902e-02 3.081740570107413188e-02 2.019248330906342481e-02
4.418653119659889383e-01 4.158187986757510418e-02 1.906061627311152751e-01 2.834675031344255358e-02 2.578883292122459148e-01 1.329027430343614896e-02 2.642129160619603734e-02
5.940532274505724297e-01 4.765323205457401567e-02 2.124349135203160432e-01 6.959263270939518298e-02 3.761611673735956035e-02 1.470063857457441781e-02 2.394923895320839533e-02
4.964383094742561564e-01 4.731714685514478574e-02 2.458094960143759333e-01 1.012556781807067985e-01 5.130273682167066363e-02 1.410612097575582313e-02 4.377051167808983234e-02
5.740742227342509052e-01 4.099996101092702461e-02 1.786041497748306617e-01 6.294254814946627363e-02 1.001606767809442161e-01 1.648983513222694597e-02 2.672860641735392076e-02
4.987026925165428670e-01 5.499427821782484904e-02 2.552863870482652286e-01 2.123168997513660491e-02 1.038535065153689541e-01 3.500985441809698062e-02 3.092159130876440121e-02
4.641145657317795048e-01 4.252908198052306188e-02 2.408886939506324765e-01 4.602730058035919142e-02 1.690668477127443836e-01 1.367721156234818700e-02 2.369629848161316013e-02
6.087509952458330931e-01 4.474110861627353386e-02 1.228421853459244900e-01 8.929038395206739809e-02 4.273816218965808406e-02 7.436076233844748917e-02 1.727640231179592561e-02
6.416139268133034257e-01 4.579165423594991347e-02 1.623734273143720430e-01 4.445726353888025673e-02 6.219596801277604142e-02 2.084075834089356427e-02 2.272700174382492888e-02
5.946876226838662127e-01 4.658662385056280830e-02 1.646006420048067853e-01 3.952855673797536773e-02 5.176220880511041983e-02 1.441577363590479562e-02 8.841857228177368855e-02
4.346440566483927848e-01 6.319357152121941879e-02 2.913377096727683413e-01 4.693247910055782512e-02 1.178885830717407435e-01 3.036409361002796736e-02 1.563950637529297819e-02
5.813469954251949678e-01 5.031504831911993991e-02 2.227766890134854072e-01 2.934344933593036400e-02 7.721581867011327593e-02 2.362269317185463138e-02 1.537930606430146577e-02
