r_sep02_median Teff L Fe/H dnu02_median r_avg10_median Dnu0_median r_avg01_median
1.689537249292910326e-01 2.440879311245713612e-01 1.335626275983298472e-01 5.520611119798336103e-02 5.277828380563285432e-02 1.630811789902933129e-01 3.333457047722009070e-02 1.489955718766781678e-01
1.088617670000572718e-01 9.138056689809466449e-02 1.108903132893693105e-01 5.058791296195321030e-02 3.428675838510150675e-02 5.050603507440175610e-01 6.589532971332194566e-02 3.303700100808452944e-02
1.277339214383015065e-01 7.717812066180189390e-02 1.179219694981425565e-01 9.263847623548804311e-02 1.677685896255841358e-01 1.622959770584176120e-01 3.662596729680994700e-02 2.178369781854542775e-01
3.374117545056377065e-01 8.268372300892927462e-02 1.136087921832447251e-01 4.691124723028911037e-02 1.582702705872787441e-01 1.510447556153020898e-01 5.450518817244716374e-02 5.556426869687122738e-02
8.183880749986417735e-02 3.109634039103525427e-01 1.122932011167646765e-01 4.524533116875831262e-02 2.349690302967625544e-01 1.079112659812177383e-01 7.096641527625155432e-02 3.581254475002856180e-02
8.211354606162007963e-02 8.869328836743942124e-02 1.001712079571810826e-01 6.342908898769610004e-02 4.602138701691928235e-02 5.020125310821386133e-01 3.037954018307288326e-02 8.717941034393246469e-02
3.371575672779808519e-01 8.405216344160440500e-02 1.231290215996838355e-01 6.303182132364017198e-02 6.207169421704639839e-02 2.558005275757513908e-01 3.993263254943701240e-02 3.482457201485595483e-02
2.604702978063968000e-01 6.630953104573814039e-02 1.185167862800537153e-01 8.924014076358706415e-02 1.897444678642069282e-01 1.440619958167687065e-01 1.009537600928883672e-01 3.070302033036017425e-02
1.621460114261381869e-01 2.460435118199086335e-01 1.177279728686697613e-01 6.854329920555456146e-02 1.342356836157149735e-01 1.326462562600346506e-01 4.528601703059161043e-02 9.337124777338745574e-02
3.457764779536348643e-01 7.813336970508284740e-02 1.390577146807919495e-01 7.887679112235589096e-02 1.244332759100926777e-01 1.379595059446693806e-01 5.259157073845130426e-02 4.317129394492107836e-02
1.961765762028394866e-01 1.089418564583217175e-01 1.095256356516687984e-01 8.853886188490837916e-02 9.168330253894597937e-02 3.221371286254486321e-01 5.511878582122842901e-02 2.787785281663855697e-02
7.308146520975430938e-02 1.119287835909640455e-01 9.519174571691857434e-02 6.414712071200760757e-02 3.203808614624163026e-02 4.176434669149081680e-01 2.969654394793471569e-02 1.762727877612709770e-01
3.341455920717904537e-01 7.125350682245787381e-02 1.391246348576640479e-01 6.512590014350305712e-02 2.091578271382950327e-01 1.141434843516601627e-01 3.801403058457913930e-02 2.903502403005031249e-02
3.038723220431334138e-01 1.007383388102054828e-01 1.174682734186385663e-01 3.822528619629492891e-02 2.126328682932295544e-01 1.340192018455611533e-01 4.696158197776838239e-02 4.608212741516864303e-02
6.504454086921596101e-02 2.346082723765396671e-01 1.128145932232164778e-01 1.454779738213842488e-01 8.308504770903651915e-02 2.890799125121973345e-01 3.598479822897841102e-02 3.390486125943137363e-02
3.497307603295951028e-01 6.344045202997126986e-02 1.321334878842535532e-01 5.364469975395982221e-02 4.662434793415908690e-02 2.790705963057363292e-01 3.800427855887741901e-02 3.735137720344744450e-02
7.857999679529238668e-02 1.434145379401665921e-01 1.213016532314860341e-01 9.815397992855555420e-02 1.131940394751026341e-01 3.026043503330112516e-01 1.016723086384139080e-01 4.107913365797166011e-02
3.186079356768992121e-01 8.537156289155865829e-02 1.255235840510986745e-01 5.150129688061189787e-02 1.425842819959916574e-01 1.380822373962389271e-01 1.008208853347380418e-01 3.750821577286286845e-02
1.216169160078275774e-01 2.706354669915290168e-01 1.045297339831929295e-01 3.752330676621446620e-02 1.538113638069479039e-01 2.401300479637808183e-01 3.423084901533707952e-02 3.752231546517014599e-02
1.487215323555575730e-01 2.328856531724796675e-01 1.081471588335444628e-01 3.843086414185605676e-02 5.347981622676014485e-02 3.359206133571686625e-01 2.698590747646621713e-02 5.542845443616731260e-02
2.990980379477604645e-01 1.258755272318695106e-01 1.212283249471853563e-01 5.256213850815154298e-02 1.809543449379636126e-01 1.035069411996970834e-01 7.410744886368036966e-02 4.266723636369195577e-02
9.251419416716918920e-02 1.824891027592231152e-01 1.002533630355710165e-01 8.643083208659707584e-02 7.859535606018799858e-02 1.637704857198282182e-01 7.305305625227279109e-02 2.228936099191505538e-01
9.236299758549945671e-02 2.917010793069602093e-01 1.060391679909979679e-01 3.911738325217459233e-02 1.541233771167643818e-01 2.278139799213058370e-01 3.345405630107815137e-02 5.538795852521941065e-02
8.722392219507674183e-02 1.055276093358848005e-01 1.041797713957149235e-01 3.869196009520995544e-02 3.019978465719071539e-02 5.540137476037997333e-01 4.421709736289723691e-02 3.594610735422595210e-02
1.007221488940891474e-01 1.245969609831522190e-01 1.090001968578392655e-01 2.771517074321634688e-02 5.216591918484392992e-02 5.089558875028651341e-01 4.098009476371227561e-02 3.586362107028185503e-02
3.392661410412309841e-01 6.098467551804150066e-02 1.362531218772603803e-01 1.311165749223089927e-01 1.480619037343942901e-01 9.509412872384731541e-02 4.246937698885006746e-02 4.675407719406639989e-02
1.822516170317100559e-01 2.430827049582615640e-01 1.232055227933888664e-01 3.855283199221793550e-02 7.385446351756685957e-02 2.689778628001216476e-01 3.185578922275870972e-02 3.821920768397419482e-02
6.595659358757344215e-02 1.038738128157732643e-01 1.023915864968778094e-01 5.547865689290683300e-02 2.238439827064200166e-02 5.674495264966523678e-01 3.942977921663922553e-02 4.303564622293500064e-02
3.300760592519678682e-01 1.122828324581348486e-01 1.333605506256473894e-01 4.752091332679250768e-02 8.771272785243847125e-02 1.482125827401177542e-01 8.234321589735175972e-02 5.849111784754951193e-02
3.025699660730876706e-01 8.475193992155093115e-02 1.136976678206170072e-01 5.008060678097491641e-02 3.879152302047191025e-02 3.258592907454143650e-01 5.527745466665768409e-02 2.897155097122564721e-02
1.569037291998769401e-01 8.871818105993990733e-02 1.080385216300299295e-01 2.413620112267931550e-01 2.490251593885405845e-01 8.381666391256917259e-02 4.102122982505543997e-02 3.111450375719476344e-02
3.274712644065744804e-01 8.076387928767585211e-02 1.109850371280414472e-01 5.860850682881597190e-02 4.736532996185811861e-02 3.073311279550670072e-01 3.355594013926503638e-02 3.391891429270203068e-02
3.258452502524906702e-01 8.513202415158403757e-02 1.316761009767645485e-01 5.774521107998249747e-02 1.256831536852927866e-01 1.721812535985589310e-01 4.748190074348542650e-02 5.425510551184115765e-02
7.223218480581183876e-02 1.061870725553299283e-01 1.056257349659364686e-01 4.131523299000702115e-02 2.715231498000171204e-02 5.720004716950846113e-01 3.518818101908813972e-02 4.029880698874040851e-02
7.494879236737120309e-02 2.150919169179157930e-01 1.108113416281695518e-01 1.117569601520880807e-01 1.270388891903604656e-01 1.498407143434190847e-01 3.998050983524848584e-02 1.705308755654273145e-01
2.377005519450759441e-01 1.291686377511405137e-01 1.208727988789080748e-01 2.981303877293334931e-02 9.858604603704973490e-02 1.169137714820849827e-01 8.860074731873411602e-02 1.783444078140732081e-01
3.381044399109217613e-01 6.972382259274546856e-02 1.347202739679547456e-01 6.450736291941196188e-02 9.704010834979541478e-02 1.262026426096219123e-01 6.312225505638525969e-02 1.065790945931635592e-01
6.880655942567712180e-02 2.411685410464364798e-01 9.630571685018059214e-02 4.019561040656166595e-02 3.536462137789091881e-02 4.373527738851292757e-01 3.796950264668726843e-02 4.283667436143666352e-02
2.755764188821488991e-01 7.114856657665472039e-02 1.200458992300239974e-01 4.609720649092757805e-02 8.865176004294440804e-02 1.158532996204062471e-01 2.447926004512007425e-01 3.783424870569336573e-02
2.523127026593514621e-01 9.152766878942918127e-02 1.070010096331549254e-01 4.201820641002386447e-02 2.821357923321480762e-02 3.809754963418891527e-01 4.524050617607479341e-02 5.271083075686196218e-02
3.524042446322986355e-01 7.863690906933040736e-02 1.291900896222869244e-01 4.674449382781643153e-02 1.555728277447110952e-01 1.428359694210876440e-01 5.917278798351659208e-02 3.544267769895233927e-02
2.648372359734952886e-01 6.827830998602274493e-02 1.285942161421288199e-01 8.390264624888431333e-02 1.981294803902845514e-01 1.508285868067677504e-01 5.504092183605494709e-02 5.038860261636153581e-02
2.820483440292815835e-01 8.413555189144170110e-02 1.199618507434936227e-01 5.788911277240461201e-02 6.391246189685681478e-02 1.919308034488624304e-01 2.828223946066638073e-02 1.718396357569928479e-01
2.025106506007117724e-01 1.299793522760107345e-01 1.186424879887930800e-01 4.324571540283032867e-02 1.008609341951690469e-01 2.672486811924569272e-01 3.377473316607895737e-02 1.037374451779490697e-01
3.336025843889903753e-01 7.210263490584818691e-02 1.186693970266646664e-01 7.198142950262938211e-02 7.910840665842167052e-02 1.606331739979683093e-01 9.289333843748644182e-02 7.100903508199102321e-02
3.358422311361755619e-01 8.163180910401715562e-02 1.144449100361719512e-01 4.310495753707653532e-02 9.330227489590202372e-02 2.430345508069257920e-01 3.727320074759222363e-02 5.136606573613875654e-02
3.039267114549364934e-01 1.028764990392290885e-01 1.213989360631354958e-01 3.709814241897181619e-02 1.905986316678612569e-01 1.574031877798204304e-01 4.313589169425030567e-02 4.356199988179506460e-02
3.444364270902194880e-01 7.475223821040700989e-02 1.286537785707965731e-01 4.510195189488001855e-02 1.025769699276960628e-01 1.094410244395518234e-01 1.599331990337516940e-01 3.510441083269730256e-02
1.820082473162597247e-01 5.918864963896221937e-02 1.687358191632999938e-01 1.131482902129075097e-01 1.641961364844681803e-01 2.316352010259615513e-01 4.786359356313352187e-02 3.322406259500716025e-02
3.107400342967356899e-01 5.393055597226641823e-02 1.258694984052769750e-01 7.002630565168596610e-02 9.011938339072952941e-02 2.730673973575792890e-01 3.782601148671440455e-02 3.842081343901181112e-02
1.441500842722407694e-01 1.638219983848721029e-01 1.013655070659878754e-01 4.873332073165762696e-02 7.109685747768162978e-02 1.944603803274897180e-01 4.628562613820035726e-02 2.300862256018698648e-01
1.172396576544427887e-01 8.150936376753560586e-02 1.116094950358696852e-01 5.071988497372224847e-02 4.278610430850034174e-02 5.186594157886340595e-01 3.229584726136783268e-02 4.518023120992750719e-02
6.416072411817229371e-02 3.150709101940267765e-01 1.047730746716854372e-01 3.860086469483345328e-02 1.766134702409379309e-01 1.802824845544698518e-01 3.015153671515208647e-02 9.034693481072217369e-02
7.819364995090739845e-02 8.463562860043037650e-02 9.892288503632457042e-02 6.777534864123922753e-02 3.106412529363765385e-02 5.648317914814102725e-01 3.295794635173737025e-02 4.161862464431313746e-02
1.274662642736916762e-01 6.723928502384496353e-02 1.396125476532324994e-01 5.632881791466516630e-02 2.566220207325138267e-02 3.020919315460072752e-01 3.506664713537240713e-02 2.465323043799346470e-01
1.372261726993870001e-01 9.512205989022162744e-02 1.116001666363688055e-01 5.726543110333894709e-02 5.902071115344561386e-02 4.526045121790893688e-01 4.091814228903298961e-02 4.624280404911570302e-02
1.123790276564528984e-01 1.935771834746035647e-01 1.073679060456386031e-01 8.595255241942414970e-02 2.549104418666178207e-01 1.004154995527157812e-01 7.472003910865201992e-02 7.067734987589516238e-02
2.407193994857828312e-01 1.645010988533429364e-01 1.123765222183872453e-01 3.633658221146715550e-02 7.187706147865736972e-02 2.084502005246933187e-01 1.381155291030372601e-01 2.762360612463183804e-02
1.545584277308256760e-01 1.985650206238110671e-01 1.102653186614755421e-01 7.342181625052315863e-02 5.144626788498274372e-02 2.490640184247489008e-01 6.111451457888054245e-02 1.015646158447525010e-01
3.198241203906336261e-01 9.789207846013696368e-02 1.319055155993138218e-01 5.542573914093001930e-02 1.007733579967839549e-01 1.982776668401901310e-01 6.473230869889406991e-02 3.116921287311734054e-02
3.259933445516566275e-01 9.580869522274468308e-02 1.233310969499048226e-01 4.809933296932594748e-02 3.789815627854142832e-02 1.824616028281023095e-01 1.459254881540373860e-01 4.048228304568680241e-02
8.662177872678916701e-02 3.089217742399010258e-01 1.166483773446078537e-01 5.507025622391076985e-02 1.697013923948663405e-01 1.931472569392163052e-01 3.264979413781816248e-02 3.723936999289036154e-02
2.133572265010028057e-01 8.045542378373800319e-02 1.153090690494897319e-01 8.065205340033201886e-02 7.465581947328939205e-02 1.526285596395969835e-01 2.393596574562152079e-01 4.358219069633585685e-02
2.475800054454386223e-01 7.792846603104183756e-02 1.460858105117808226e-01 4.718384509508505298e-02 8.546928212187031304e-02 2.994505281246623296e-01 3.534194444883423381e-02 6.096011822128677426e-02
2.006222614082440736e-01 2.405480906840138378e-01 1.297004478920922022e-01 4.779946510547761901e-02 1.285002701581871021e-01 1.598147824565545883e-01 3.760683930811638959e-02 5.540784298731413204e-02
3.414237528731235427e-01 7.604821004684753083e-02 1.364402741401160302e-01 5.101738130335436300e-02 5.843589572066564680e-02 2.617402392493953234e-01 3.200276222595241360e-02 4.289148444054519116e-02
2.558259184991893975e-01 7.140762553971488624e-02 1.315075573938669085e-01 4.515809043210687601e-02 5.687858257837723197e-02 2.965662827613216312e-01 5.448402245966537522e-02 8.817192033575771415e-02
2.954112399983446213e-01 1.097546786573475042e-01 1.101012605627262886e-01 4.576268562501076276e-02 5.655566833587769709e-02 2.919781314968092345e-01 5.519785027159535007e-02 3.523848505228841660e-02
7.791712840798556416e-02 1.245981259666940760e-01 1.103398152404320848e-01 5.226170140790163676e-02 4.829662129612172228e-02 4.805333463402188254e-01 2.729401526963737626e-02 7.875924607100884267e-02
3.053387565637954992e-01 9.673942227028939356e-02 1.287342738458205349e-01 7.610388114200906939e-02 1.690226261851029144e-01 1.165411833873620379e-01 7.580546295676786339e-02 3.171439364885247220e-02
3.429899146331978899e-01 5.448060934994383014e-02 1.317739037464654428e-01 7.152307336520537240e-02 5.335059432073310792e-02 1.906028109686860594e-01 1.113009049110119525e-01 4.397818870475649761e-02
1.401355195024618638e-01 2.617806354362967602e-01 1.104461647535683183e-01 5.795749568942082375e-02 1.697807048016196085e-01 9.619685548723906632e-02 2.863086161739883048e-02 1.350717627119948083e-01
2.286444258183018552e-01 1.721437376063317259e-01 1.236033209052367493e-01 7.267314942676524059e-02 1.007031358709276764e-01 1.811848911476743318e-01 5.118617425539066096e-02 6.986116496937180842e-02
1.022555908106299455e-01 2.292465148542955633e-01 1.190147833240106368e-01 9.868876127574617574e-02 8.494173285957605513e-02 1.899259203158529807e-01 9.598804152569817560e-02 7.993865503419052276e-02
7.276198855558850542e-02 1.563931582693529887e-01 1.196730727227645619e-01 1.266072530130744056e-01 1.892492219966281641e-01 2.701732839281775767e-01 3.193098697203763936e-02 3.321103454237617214e-02
8.332893525402659818e-02 3.031430974236533071e-01 1.107742846141694798e-01 6.758252907342064686e-02 2.051865672225078596e-01 1.287013528720837297e-01 3.719883031264509254e-02 6.408440322749328621e-02
3.156085159732223699e-01 5.684525153983136653e-02 1.471471413833554676e-01 5.026971120561366663e-02 7.623884961533095028e-02 2.735749453298855771e-01 3.561241240671925157e-02 4.470317254604130180e-02
1.613076363684481374e-01 8.420295727981438882e-02 1.212630438507813491e-01 6.651853234631190104e-02 7.823803424035628840e-02 2.069385014060446670e-01 2.000907464452936768e-01 8.144054806294946658e-02
9.182917199135730291e-02 7.396788874639556588e-02 1.069641735153753909e-01 5.853445403505812272e-02 3.002531013701326482e-02 5.601440192268715146e-01 3.736669703896237232e-02 4.116828530896645549e-02
7.962730194991861354e-02 3.234155036785883452e-01 9.864854343115321555e-02 2.545823808981672112e-02 2.695118023988677392e-01 1.300583717481109125e-01 3.338412475558213272e-02 3.989611394796243465e-02
2.971134712206348061e-01 1.413018028838408380e-01 1.097782106327911955e-01 4.066705605392599565e-02 2.137169130414101892e-01 1.255155228852600502e-01 3.869792982164562550e-02 3.320909346049130684e-02
9.195200978912114465e-02 3.002500189559678678e-01 1.211935233351844887e-01 5.017574044757028978e-02 1.413271690771132350e-01 2.088239515967110771e-01 4.512695312276899379e-02 4.115063367556285462e-02
1.144956929414940733e-01 8.857217543837250795e-02 1.500782590251439896e-01 1.006455923860210822e-01 1.041931617445844976e-01 3.734998934413126248e-01 2.938930417397087047e-02 3.912592084910036100e-02
8.106361738120948512e-02 8.650844307449183368e-02 1.059632035789653676e-01 6.732986672644122872e-02 2.446789357896227840e-02 5.592482786441324016e-01 4.229851066098561790e-02 3.312018635481171064e-02
3.476945346406256632e-01 7.246082332600650711e-02 1.386257267861527309e-01 5.391009333755129168e-02 1.159942255593501420e-01 1.879664454348066172e-01 4.095327129955201456e-02 4.239487961595508198e-02
3.439368130614104402e-01 7.837400996534243935e-02 1.277688347091461563e-01 1.043517434838541758e-01 1.349037699430739312e-01 7.240157300498051285e-02 4.172539894579801317e-02 9.653785688639442142e-02
3.407799729854401050e-01 6.885451942302216188e-02 1.386715904325449278e-01 5.066720834082730912e-02 1.356412906560351683e-01 1.648256145719575461e-01 5.864464098204665021e-02 4.191516260812620104e-02
1.860981531281135359e-01 9.806412163362517032e-02 1.085150595692467718e-01 1.195508679638994376e-01 5.754405502594521493e-02 2.284791359991484305e-01 1.374958916498226491e-01 6.425271503019865105e-02
1.103760740850941446e-01 2.999024036285014017e-01 1.292072623543655818e-01 5.736094531903123545e-02 1.204325342891153366e-01 1.128177400950909209e-01 1.156376127783182439e-01 5.426542745048332228e-02
8.593926675078605859e-02 1.101539619349464205e-01 1.112642350635624916e-01 4.400679834894950099e-02 4.025461228946908970e-02 5.349413222557696246e-01 3.699191111307317814e-02 3.644789224344362893e-02
3.235885597609398090e-01 6.924630533910627883e-02 1.256141884656776508e-01 5.301529648497323166e-02 1.158424799913177206e-01 1.660254143570883967e-01 1.186695965907906825e-01 2.799815901010620917e-02
3.184537461095276467e-01 1.212433833947672152e-01 1.091931546925046376e-01 5.647437894534480807e-02 1.536342535773239648e-01 1.563257516284869975e-01 4.224662583493801749e-02 4.242870581710673356e-02
2.809601123111573617e-01 1.484539128374766648e-01 1.300071716438799818e-01 3.058442787000763968e-02 2.276543292833773657e-01 9.808749093481075598e-02 4.424544692743296453e-02 4.000710819185721023e-02
1.710423587127633260e-01 2.385298190022716036e-01 1.175224424691499459e-01 6.108375490782712997e-02 1.535947615568472868e-01 1.802775353544263659e-01 3.729959517194817581e-02 4.064973282476620764e-02
9.306487772463718777e-02 1.005902862941093906e-01 1.030709924085894957e-01 4.388046905495249922e-02 2.640470970191034078e-02 5.587128633662633570e-01 4.287626222324416453e-02 3.139953922629346722e-02
1.181481455666176378e-01 2.822727081385080217e-01 1.144785231561343819e-01 3.596122815304399201e-02 1.315986906319410454e-01 2.448398170212972569e-01 3.315678303846084779e-02 3.954410429399684429e-02
9.912543239626521452e-02 1.029057752555777305e-01 1.132854193705884055e-01 3.483416413154372809e-02 2.964938476888838090e-02 5.403209489413289823e-01 3.012815081358022687e-02 4.975072432222747698e-02
2.864301902976840730e-01 8.713089973702947688e-02 1.238256405649411501e-01 5.631313704850696850e-02 1.515235015550553954e-01 1.949681364937715933e-01 5.722399319067866114e-02 4.258450111233263308e-02
3.144350498491985668e-01 1.091197148443230625e-01 1.256933972265786570e-01 4.063375725879996014e-02 1.045584444058742374e-01 1.882522340665734317e-01 5.546669493886009772e-02 6.184070740979206310e-02
3.191226150104267134e-01 1.003675405030019924e-01 1.175581579287928863e-01 3.525569417366913871e-02 1.689731509712883162e-01 1.748133165348560725e-01 5.400283414938425453e-02 2.990669072858066074e-02
1.573054691006109673e-01 2.724097981097048926e-01 1.129258018616512427e-01 4.918664026911608034e-02 9.573353732436175323e-02 1.198783697945506321e-01 1.517962701475350229e-01 4.076411339246936022e-02
3.396085398605806493e-01 7.941579715306719411e-02 1.341095487588228607e-01 6.019440498069091039e-02 3.931057804992944132e-02 1.928733432938613268e-01 2.670608863937623881e-02 1.277816992636713611e-01
2.718976261021087137e-01 1.592846367505895422e-01 1.176318499250905009e-01 3.295604757607896451e-02 7.477512984748518887e-02 1.688651378675490033e-01 3.562557868322359378e-02 1.389639932478743956e-01
3.446196305784880454e-01 8.543608350299866649e-02 1.240507870306924026e-01 3.715303920880110716e-02 7.149361744957001552e-02 2.603501267277150144e-01 4.263035353824463913e-02 3.426636196349014396e-02
1.371318871284172569e-01 9.727792401832627278e-02 1.035930247523265402e-01 1.205043844746215842e-01 1.043082297323262159e-01 2.155871714516892912e-01 3.188158946661963367e-02 1.897157889756731219e-01
1.771912045675558545e-01 2.441932152757321506e-01 1.192251688339051457e-01 2.757584165990349667e-02 1.473993843030006745e-01 2.007853927877548961e-01 4.082923944566373836e-02 4.280055312648412685e-02
1.024799523456393635e-01 6.769336594011247932e-02 1.139651805912600263e-01 2.530352516103312466e-01 1.059374559190419118e-01 2.439523201668997721e-01 7.910562791390889081e-02 3.383084551280622632e-02
