M Y Z alpha diffusion overshoot age radius L log_g
9.014721064453141697e-01 2.752276738281247415e-01 7.829217773437507910e-03 1.847450342285153368e+00 1.169076782226560196e+00 2.713877695312494343e-01 9.310619243951204993e+00 1.202872963408676554e+00 2.122972329740870467e+00 4.233902824119618380e+00
9.223763125000031815e-01 2.651245922851558912e-01 6.435067871093787424e-03 1.695090594726560207e+00 1.078368477050787533e+00 4.075146655273482743e-01 9.050594125499394238e+00 1.296095201297579491e+00 2.484221092415785481e+00 4.178785369582097786e+00
1.022037663085936687e+00 2.748433754882814717e-01 1.303510205078121931e-02 1.872277423828122345e+00 1.260366175781246989e+00 1.578902050781243738e-01 6.304270880667520061e+00 1.214957777857531340e+00 2.182413283263468617e+00 4.280194019559473873e+00
1.029574353515626317e+00 2.678018793945313170e-01 1.082264843749997790e-02 1.834848420898437027e+00 1.264396679687497249e+00 1.723365649414056733e-01 6.319285452077253673e+00 1.279061733023278746e+00 2.476944116091396531e+00 4.241798968527443314e+00
1.092746550292965191e+00 2.892767807617191433e-01 1.715770019531249330e-02 1.835753483886715332e+00 1.308551854492179034e+00 1.163432250976567245e-01 5.021401190117456892e+00 1.334285300653211159e+00 2.524811152915769519e+00 4.229023503396948769e+00
9.208022153320334358e-01 2.734992685546870361e-01 6.822817871093759742e-03 1.719121361816404070e+00 1.200997534667974653e+00 3.728979038085981634e-01 8.739761504531630365e+00 1.260558792880980050e+00 2.476187316988467835e+00 4.199043309378148514e+00
9.024447294921893459e-01 2.732498994140618587e-01 6.075767578125013287e-03 1.806573166503902650e+00 1.126509956542977253e+00 3.795204350585962283e-01 9.179917049136102847e+00 1.242260952594441248e+00 2.390742207283528931e+00 4.204166410584421421e+00
8.736912597656266710e-01 2.698055527343745097e-01 4.735104492187560202e-03 1.704243773437498444e+00 1.261048968261723635e+00 3.968781835937575941e-01 9.915443870440242335e+00 1.260935544160254773e+00 2.383335490298460257e+00 4.177327458965245377e+00
1.036945452636720333e+00 2.648332021484374743e-01 1.024678759765627022e-02 1.846216163085936168e+00 1.151567581054685263e+00 1.903965502929684528e-01 6.735350282307559944e+00 1.352657925101616865e+00 2.728349020036714201e+00 4.199299878604976222e+00
1.052422905761719596e+00 2.711845815429687612e-01 1.315720166015617830e-02 1.833551936035155538e+00 1.263972309570308816e+00 1.739117856445308030e-01 5.837102325688009685e+00 1.280891364021229606e+00 2.413534857740013528e+00 4.252677461620761434e+00
1.049906565429688854e+00 2.724111938476563854e-01 1.267057324218744292e-02 1.850107948242187161e+00 1.276640440917964581e+00 1.599136372070309731e-01 5.740840673907391611e+00 1.265892853642567539e+00 2.419577994369030094e+00 4.260005892917934744e+00
1.031783630859376633e+00 2.667133266601562358e-01 1.115429345703123319e-02 1.824489613769530338e+00 1.245491037597655559e+00 1.805410253906239715e-01 6.385072217930667371e+00 1.284851506931780740e+00 2.482224238289456597e+00 4.240894112856829601e+00
1.033731332031252004e+00 2.677376801757811453e-01 1.037927783203129381e-02 1.816361704589843473e+00 1.313897661132809036e+00 1.847165649414056199e-01 6.599088228329524242e+00 1.332062644269127016e+00 2.642600972948529137e+00 4.210465727440689143e+00
9.526359311523446838e-01 2.736155693359373364e-01 9.879732421875023207e-03 1.850027342773433503e+00 1.179801443847654951e+00 2.204511865234364543e-01 8.223965642822081534e+00 1.214966414942928452e+00 2.112339334815339864e+00 4.249162283843832100e+00
9.165712783203167069e-01 2.568631518554683191e-01 5.007363281250043138e-03 1.698928815429684880e+00 9.482823002929752221e-01 4.272816806640664100e-01 9.351534055015276792e+00 1.318865200915349645e+00 2.532462679934159411e+00 4.161587694616413202e+00
1.041692732421876544e+00 2.678639072265625587e-01 1.184776660156246393e-02 1.834629979980468395e+00 1.262539038574215677e+00 1.748378334960927483e-01 6.144515062991225740e+00 1.276619325810166350e+00 2.479948167341056386e+00 4.250897570184572594e+00
8.827444741210944690e-01 2.686169897460933820e-01 5.025671875000013201e-03 1.829495193847652024e+00 1.057484024414064194e+00 3.788340683593747205e-01 9.798268031065642703e+00 1.254366576826625890e+00 2.240202134877967044e+00 4.190440630567079161e+00
9.201627001953137652e-01 2.761294628906247328e-01 7.282386718749983209e-03 1.862411710937497356e+00 1.242257681152341364e+00 2.159215151367177010e-01 8.266994151329265961e+00 1.210224252276003387e+00 2.253701508833307443e+00 4.238238813273669692e+00
9.637518750000002576e-01 2.742164790039061661e-01 9.142187988281246305e-03 1.880311274414059763e+00 1.240571479980464575e+00 1.959784692382801619e-01 7.653489271358930424e+00 1.238940294211998694e+00 2.296530849027470289e+00 4.237837064525380448e+00
1.194693848144539938e+00 2.606737041015625977e-01 1.352503710937474207e-02 1.661926457519530276e+00 1.509799814941397145e+00 7.720993017578219042e-02 4.098863979822765735e+00 1.528819970054117405e+00 3.307877709518852960e+00 4.156447571778289607e+00
8.539168930664071677e-01 2.757501552734368255e-01 4.390501953125026599e-03 1.838197893554684104e+00 1.190459700195317438e+00 3.746374223632836231e-01 1.018893812080215788e+01 1.223635886176642540e+00 2.213510379348281543e+00 4.196041932677064601e+00
9.784952270507822902e-01 2.705240498046874165e-01 9.239776855468754754e-03 1.846823242675778243e+00 1.235400193359376564e+00 1.971881064453115950e-01 7.492699827973051008e+00 1.271686054220567019e+00 2.441360808597584864e+00 4.222801051597310895e+00
8.900167607421891613e-01 2.769452709960934511e-01 6.966208496093770873e-03 1.863656642578120026e+00 1.151543367187500388e+00 3.218122778320319788e-01 9.507327676131263061e+00 1.202556234138438152e+00 2.151316449712057377e+00 4.227379300500541781e+00
9.544519038085943485e-01 2.796417695312500284e-01 1.127307275390626064e-02 1.872983993164058392e+00 1.225543953613276837e+00 1.903228378906237916e-01 8.021230909728936709e+00 1.202938966771655238e+00 2.096431224781594604e+00 4.257339798201415171e+00
1.034004123535158026e+00 2.692520786132811539e-01 1.153960058593747791e-02 1.820551968749999583e+00 1.264717009277341431e+00 1.802885131835929022e-01 6.390173690062567857e+00 1.303067572138292718e+00 2.533552629436773618e+00 4.230776562068222724e+00
8.665646708984390267e-01 2.687072519531241710e-01 3.969012695312552387e-03 1.787511727539059514e+00 1.138179710937510691e+00 4.122609384765651974e-01 9.971721497889769026e+00 1.248738283058775655e+00 2.335710065759751153e+00 4.184021519676186074e+00
8.766414804687518991e-01 2.704518208007807845e-01 4.944153320312558338e-03 1.719087957031248282e+00 1.256610096191410175e+00 3.888772104492255743e-01 9.839593299191252029e+00 1.257617648372529207e+00 2.390111633706441641e+00 4.181112281393271068e+00
9.267219833984384758e-01 2.708125903320309225e-01 6.426412597656276302e-03 1.873937872070307709e+00 1.045579272949225924e+00 3.691640390625005597e-01 8.745095057585141163e+00 1.254774750358549129e+00 2.471314735992125922e+00 4.209232767963514199e+00
9.788803291015623076e-01 2.808933334960938555e-01 1.255450097656250069e-02 1.862193354980465232e+00 1.220447154296869119e+00 1.786142548828115184e-01 7.440374996691860865e+00 1.225473275351881552e+00 2.162656275524986960e+00 4.253572236153660313e+00
9.399577797851575989e-01 2.778014248046872803e-01 1.004974316406246140e-02 1.825148781249995356e+00 1.188300691406248388e+00 3.029800605468769281e-01 8.483048314358100583e+00 1.238469272382914932e+00 2.218267310456636832e+00 4.223967561263232362e+00
9.302237412109388703e-01 2.700392812499997630e-01 8.466406738281275629e-03 1.843328613281246753e+00 1.109477747558590188e+00 2.594922929687489277e-01 8.923235743784879048e+00 1.223867012111774732e+00 2.162912729673472256e+00 4.235193695897413235e+00
8.902681835937520383e-01 2.708627148437493526e-01 5.596208007812528487e-03 1.785925441406246650e+00 1.108633687500010678e+00 3.915740244140651360e-01 9.552331725666926232e+00 1.246950654990723439e+00 2.319393877905870482e+00 4.195686874838942870e+00
8.779760366210956901e-01 2.702912602539057629e-01 5.333274414062553169e-03 1.726998550292966783e+00 1.234139853515631602e+00 3.882707143554749440e-01 9.825333152216954247e+00 1.251873911549209017e+00 2.296201185371597120e+00 4.185374052571959602e+00
8.727798549804711703e-01 2.673818950195304689e-01 4.318875488281302341e-03 1.665194776855466685e+00 1.248038543457040461e+00 4.237013691406329441e-01 1.004392986222738315e+01 1.283681170882304379e+00 2.425698141730622037e+00 4.162611831604726476e+00
9.701929995117192229e-01 2.705543124999997828e-01 8.983124023437500522e-03 1.870572768554684018e+00 1.196489919921873701e+00 2.095578603515619587e-01 7.762827289345987758e+00 1.262239792040167563e+00 2.339823661081211537e+00 4.226058634455114316e+00
1.040941445312501434e+00 2.680069140624999902e-01 1.181374316406246829e-02 1.827310237304687002e+00 1.266106388183592113e+00 1.747175922851554042e-01 6.214913102067781026e+00 1.289833903159490314e+00 2.497981012489624675e+00 4.242608996785900644e+00
9.480935097656280064e-01 2.625406914062495822e-01 6.754690429687547522e-03 1.717081112792966158e+00 1.044300011718756194e+00 3.968839951171920233e-01 8.515135766316657140e+00 1.299014426941114353e+00 2.603240815753752990e+00 4.187881010329529197e+00
9.440016733398450821e-01 2.505272294921873089e-01 5.241425781249964971e-03 1.769213379394526831e+00 8.715691806640610828e-01 4.289062099609340928e-01 9.337570499269785884e+00 1.371906781170098677e+00 2.477316482394660291e+00 4.142252740194074079e+00
8.803715205078143091e-01 2.715805283203120424e-01 5.119570800781307954e-03 1.716896235351560884e+00 1.258855400390630930e+00 3.891383647461013062e-01 9.724710647139829689e+00 1.259313732660019891e+00 2.424683368293651053e+00 4.181854927981984993e+00
9.756665200195300258e-01 2.827218530273438168e-01 1.420204101562505018e-02 1.873541697265620698e+00 1.158005107421868018e+00 2.443087729492173787e-01 7.558561600415381498e+00 1.200985221931929470e+00 1.990867615344644515e+00 4.268640835593179084e+00
1.040922668457032962e+00 2.702808598632812087e-01 1.160571582031246461e-02 1.834728046386718603e+00 1.297161604980464844e+00 1.658259458007809162e-01 6.150733776542161024e+00 1.294536280004406903e+00 2.547813823103516118e+00 4.238866729180136517e+00
1.217176640624996642e+00 2.905176474609378889e-01 2.219110449218732878e-02 1.817335735839842092e+00 1.404370197265613296e+00 7.120935351562475424e-02 3.623960787821290275e+00 1.439670131748977955e+00 2.967894207019627473e+00 4.212996635659324696e+00
9.484476528320325839e-01 2.756697109374998123e-01 9.985196289062503103e-03 1.847933406249996358e+00 1.228680494628905384e+00 2.076010400390614630e-01 8.387340112834168693e+00 1.243342655651351603e+00 2.214103279693087956e+00 4.226961409260823643e+00
9.138074399414085613e-01 2.788010180664058923e-01 7.520683593749968691e-03 1.796569656249997093e+00 1.272440243652346092e+00 3.260896635742214777e-01 8.768634639070288728e+00 1.234717891556657454e+00 2.353953004504628854e+00 4.213427202581384812e+00
1.023844390136718019e+00 2.781531567382815040e-01 1.415937646484373078e-02 1.854234850585934069e+00 1.201389051757811410e+00 1.616414921874992916e-01 6.263632627496764194e+00 1.226338481638586275e+00 2.140135504744465234e+00 4.273892142043125730e+00
9.285630585937524328e-01 2.744477470703121091e-01 9.007726562499937875e-03 1.810805708984370765e+00 1.232644270507812001e+00 3.111160161132837110e-01 8.943539808435584604e+00 1.251838284879681185e+00 2.283200772963705383e+00 4.208951297976301298e+00
1.037472761718750247e+00 2.743386772460938983e-01 1.291374853515621715e-02 1.873577470214842444e+00 1.272561443847650908e+00 1.570945258789058774e-01 6.016686739403594331e+00 1.257175379318427488e+00 2.347941762453340520e+00 4.259056034060037632e+00
1.041468655761719653e+00 2.683070405273438874e-01 1.253123486328120741e-02 1.835735217773436290e+00 1.225673909667966743e+00 1.826138779296862524e-01 6.039427134034597522e+00 1.255948853366791518e+00 2.358610905504376909e+00 4.265113196650347938e+00
1.046275378906247555e+00 2.673100385742185892e-01 1.215165771484378460e-02 1.802547633300777941e+00 9.533058442382851272e-01 3.208067407226572465e-01 7.545818432265885001e+00 1.418234040406535446e+00 2.631700806065413900e+00 4.158599611171557520e+00
1.034177016601564469e+00 2.668417822265624073e-01 1.137343310546872627e-02 1.811783342285155252e+00 1.248095534179685551e+00 1.850898193359364619e-01 6.513038997088710147e+00 1.309894149468759483e+00 2.538437712580646100e+00 4.226691996520858474e+00
9.502362851562513590e-01 2.719228652343748664e-01 8.244722167968746018e-03 1.872717342285154629e+00 1.231160274414059286e+00 2.031717348632808284e-01 8.022718334617703562e+00 1.219233792656150728e+00 2.333773919492962534e+00 4.245757931093137927e+00
1.026582625488282385e+00 2.668214072265625014e-01 1.105725976562499206e-02 1.811027899902342142e+00 1.217444671386717747e+00 1.955569301757802136e-01 6.614127562252511083e+00 1.312484409093519488e+00 2.521885976607346702e+00 4.222145349233703548e+00
8.965186118164087947e-01 2.715053276367183077e-01 6.079899902343781012e-03 1.694779325195310493e+00 1.206199714355475017e+00 3.968217495117247196e-01 9.446607849698370529e+00 1.276488721811751770e+00 2.415685397744506524e+00 4.178735971293485285e+00
9.302194833984396283e-01 2.790313637695312488e-01 1.015207275390629139e-02 1.864857883789058812e+00 1.149474724121089864e+00 2.252431870117176660e-01 8.716637136423244669e+00 1.175280054479485470e+00 2.013842382763815220e+00 4.266017649320096083e+00
1.038875982910157036e+00 2.662068442382813926e-01 1.254494921874995013e-02 1.846045692871091770e+00 1.250514632324216668e+00 1.710764101562492756e-01 6.159147931566026024e+00 1.253742582303247755e+00 2.306673376014694465e+00 4.262583184061303321e+00
1.004723756835939286e+00 2.684894296874999475e-01 9.722770996093768603e-03 1.828927014160155018e+00 1.240333688476560781e+00 1.864783852539054210e-01 6.971840137665790138e+00 1.296485834336307930e+00 2.530877013727407476e+00 4.219124386752928224e+00
1.038270750000000131e+00 2.705026499023437947e-01 1.413518408203123279e-02 1.817514488769528480e+00 1.148095946289060088e+00 2.039276879882801208e-01 5.795119625436947253e+00 1.205061101729347106e+00 2.085269341557260958e+00 4.298786553202868177e+00
1.025205728027345886e+00 2.681576787109373750e-01 1.049892333984375932e-02 1.808811400878905795e+00 1.262754112792967343e+00 1.841298500976553398e-01 6.657952235740106417e+00 1.317317947692552282e+00 2.582833536228771543e+00 4.216454336254642499e+00
1.035237546874998804e+00 2.667977446289061527e-01 1.231376123046876506e-02 1.870288962890621631e+00 1.148839804199217607e+00 1.969821196289059662e-01 7.387677062178202192e+00 1.317042825272331630e+00 2.431598168283724437e+00 4.219656612242463467e+00
9.182913164062523892e-01 2.745031025390621826e-01 8.264356933593721907e-03 1.775211244628903673e+00 1.138231361816410825e+00 3.506843955078144393e-01 8.961082073837227213e+00 1.250327178113072701e+00 2.243190575850493751e+00 4.206932007813537489e+00
